Group,Item,N,Mean.correct,SE.correct,RT.median.corr,RT.IQR.corr,IES
total,1,648,97,1,2412,1579,2489
Ad,1,106,98,1,2210,1529,2252
MA,1,181,98,1,2302,1331,2340
OA,1,182,97,1,2745,1899,2823
YA,1,179,94,2,2307,1303,2444
total,2,654,97,1,4447,2513,4566
Ad,2,106,97,2,4581,2592,4714
MA,2,182,96,1,4188,2202,4356
OA,2,184,100,0,4552,2662,4552
YA,2,182,96,1,4421,2519,4598
total,3,646,98,1,2464,1188,2515
Ad,3,106,97,2,2158,994,2221
MA,3,181,99,1,2484,1116,2498
OA,3,179,98,1,2511,1155,2554
YA,3,180,97,1,2544,1366,2632
total,4,653,99,0,3763,1710,3786
Ad,4,106,100,0,3780,1605,3780
MA,4,182,100,0,3730,1714,3730
OA,4,182,100,0,3763,1654,3763
YA,4,183,98,1,3842,1818,3928
total,5,647,100,0,2528,1381,2531
Ad,5,106,100,0,2309,1221,2309
MA,5,182,99,1,2433,1346,2446
OA,5,179,100,0,2453,1255,2453
YA,5,180,100,0,2707,1602,2707
total,6,642,78,2,9428,7129,12154
Ad,6,106,90,3,8972,9265,10011
MA,6,180,73,3,8692,6834,11943
OA,6,175,79,3,9503,7518,11964
YA,6,181,73,3,9747,6067,13265
total,7,644,98,1,5184,2923,5283
Ad,7,106,99,1,5604,3177,5657
MA,7,179,98,1,4906,2554,5018
OA,7,179,99,1,5269,2862,5329
YA,7,180,97,1,5210,3026,5359
total,8,643,85,1,7655,5596,9031
Ad,8,105,98,1,7755,5072,7906
MA,8,180,82,3,7734,6084,9406
OA,8,179,90,2,7701,5793,8562
YA,8,179,74,3,7449,5244,10025
total,9,653,94,1,5899,3017,6284
Ad,9,106,100,0,5532,2998,5532
MA,9,183,95,2,5759,3169,6092
OA,9,183,97,1,5950,2845,6118
YA,9,181,86,3,6053,3034,7023
total,10,630,53,2,15262,10196,28787
Ad,10,104,74,4,16805,12388,22698
MA,10,175,49,4,13565,10091,27928
OA,10,175,51,4,15271,9735,29694
YA,10,176,47,4,15570,9990,33420
total,11,628,59,2,13966,9770,23641
Ad,11,101,69,5,16475,8441,23771
MA,11,175,54,4,13188,7368,24294
OA,11,178,65,4,15369,12935,23789
YA,11,174,52,4,11674,8968,22322
total,12,622,25,2,16342,12690,64332
Ad,12,97,44,5,17898,15416,40375
MA,12,174,24,3,14206,12137,58856
OA,12,173,29,3,16342,9212,56542
YA,12,178,13,3,18908,10453,146331
total,13,619,49,2,17343,10754,35198
Ad,13,99,60,5,19523,9893,32759
MA,13,174,46,4,17128,9430,37252
OA,13,172,49,4,18258,10642,37385
YA,13,174,47,4,14642,10640,31069
total,14,607,37,2,18898,12920,50983
Ad,14,92,59,5,20520,7474,34959
MA,14,171,41,4,19174,12208,46841
OA,14,167,33,4,19115,14263,58040
YA,14,177,26,3,15282,12237,58801
total,15,641,56,2,13600,11373,24216
Ad,15,103,74,4,15564,10939,21094
MA,15,181,52,4,13506,10768,25732
OA,15,177,58,4,13524,12298,23469
YA,15,180,48,4,12793,10804,26468
total,16,647,89,1,7707,6052,8642
Ad,16,106,97,2,7869,6506,8098
MA,16,181,87,3,7372,4751,8499
OA,16,177,93,2,7889,7090,8463
YA,16,183,83,3,7699,5352,9269
total,17,638,59,2,13944,10089,23534
Ad,17,104,75,4,13737,9575,18316
