subject,age,gender,block,trial,testform,item,dimension,distractor,puzzle,accuracy,rt
686755,22,Female,1,1,2,28,2,paired,28_flower_double__0000122201000100000011220000020001000100_shape_set_20_T.jpeg,1,12.207
686755,22,Female,1,2,2,29,7,minimal,29_grid_double__10121011111012010000102012020000_shape_set_4_T.jpeg,1,13.859
686755,22,Female,1,3,2,27,3,paired,27_double__1020020012121122_shape_set_17_T.jpeg,0,10.296
686755,22,Female,1,4,2,30,7,minimal,30_grid_double__10211001101112200100121012020000_shape_set_17_T.jpeg,1,11.779
686755,22,Female,1,5,2,44,6,minimal,44_triple__120211201211000011101212_shape_set_4_T.jpeg,1,16.485
686755,22,Female,1,6,2,31,3,paired,31_flower_double__0200010011120100020012110000000002001102_shape_set_20_T.jpeg,1,8.336
686755,22,Female,1,7,2,32,1,paired,32_flower_single__11110100010002000000_shape_set_4_T.jpeg,0,13.407
686755,22,Female,1,8,2,24,7,minimal,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_17_T.jpeg,0,11.324
686755,22,Female,1,9,2,25,2,paired,25_clockwork3_single__112110110000_shape_set_20_T.jpeg,1,5.4670000000000005
686755,22,Female,1,10,2,26,5,paired,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_4_T.jpeg,0,16.614
686755,22,Female,1,11,2,40,4,minimal,40_grid_double__02000000010011100200020010211111_shape_set_20_T.jpeg,0,9.811
686755,22,Female,1,12,2,43,1,paired,43_flower_double__0000010000000200020001000100000012200000_shape_set_20_T.jpeg,1,8.193
686755,22,Female,1,13,2,41,1,minimal,41_single__112012110000_shape_set_4_T.jpeg,0,1.734
686755,22,Female,1,14,2,19,2,paired,19_single__101112201212_shape_set_20_T.jpeg,1,9.523
686755,22,Female,1,15,2,14,5,minimal,14_triple__112110100000000010021222_shape_set_4_T.jpeg,0,11.712
686755,22,Female,1,16,2,15,3,paired,15_double__0000110211121011_shape_set_17_T.jpeg,1,11.543
686755,22,Female,1,17,2,33,1,minimal,33_single__000010221212_shape_set_17_T.jpeg,1,10.728
686755,22,Female,1,18,2,34,3,paired,34_flower_single__11210200122211220100_shape_set_20_T.jpeg,1,15.584
686755,22,Female,1,19,2,42,4,minimal,42_double__1111101211021120_shape_set_17_T.jpeg,1,10.279
686755,22,Female,1,20,2,18,3,paired,18_flower_double__1022102200000100010000000200122101000000_shape_set_17_T.jpeg,0,9.966
686755,22,Female,1,21,2,16,4,paired,16_grid_single__1012121112021101_shape_set_20_T.jpeg,1,7.782
686755,22,Female,1,22,2,22,2,minimal,22_single__112212211220_shape_set_20_T.jpeg,0,4.29
686755,22,Female,1,23,2,23,4,paired,23_grid_single__1110120212111121_shape_set_4_T.jpeg,1,8.132
686755,22,Female,1,24,2,13,3,paired,13_flower_single__01001221122102001122_shape_set_20_T.jpeg,1,10.371
686755,22,Female,1,25,2,45,7,minimal,45_grid_triple__101211020100111110200000010000000100121002000200_shape_set_17_T.jpeg,1,16.94
686755,22,Female,1,26,2,46,6,paired,46_triple__101112200200110212211001_shape_set_20_T.jpeg,1,15.073
686755,22,Female,1,27,2,20,2,paired,20_double__1221010010220000_shape_set_4_T.jpeg,1,6.953
686755,22,Female,1,28,2,21,7,minimal,21_triple__100111201112121010221202_shape_set_17_T.jpeg,1,10.881
686755,22,Female,1,29,2,38,1,paired,38_clockwork3_single__010011110000_shape_set_4_T.jpeg,1,3.66
686755,22,Female,1,30,2,39,2,paired,39_flower_double__0100010001000000122001000000010012120200_shape_set_17_T.jpeg,0,18.167
686755,22,Female,1,31,2,8,1,paired,8_grid_single__0100000000001111_shape_set_4_T.jpeg,1,3.881
686755,22,Female,1,32,2,10,3,paired,10_triple__000012221120010002000000_shape_set_20_T.jpeg,1,7.774
686755,22,Female,1,33,2,11,3,minimal,11_grid_single__1220111101001121_shape_set_4_T.jpeg,0,11.707
686755,22,Female,1,34,2,12,4,paired,12_double__1212102211111221_shape_set_17_T.jpeg,0,5.939
686755,22,Female,1,35,2,17,4,paired,17_double__1222110111201012_shape_set_4_T.jpeg,1,8.066
686755,22,Female,1,36,2,37,3,paired,37_flower_double__0200010001000200020002001211110111120100_shape_set_20_T.jpeg,1,10.967
686755,22,Female,1,37,2,4,1,paired,4_flower_single__02001220000001000200_shape_set_20_T.jpeg,1,3.778
686755,22,Female,1,38,2,9,1,minimal,9_flower_single__10020000020001000200_shape_set_17_T.jpeg,1,5.293
686755,22,Female,1,39,2,6,2,paired,6_single__121210101222_shape_set_17_T.jpeg,1,4.246
686755,22,Female,1,40,2,1,2,paired,1_single__101010001010_shape_set_20_T.jpeg,1,2.13
686755,22,Female,1,41,2,7,1,minimal,7_flower_single__01000200020012200200_shape_set_20_T.jpeg,1,3.1870000000000003
686755,22,Female,1,42,2,3,1,paired,3_clockwork3_single__000011010200_shape_set_17_T.jpeg,1,1.669
686755,22,Female,1,43,2,2,1,paired,2_double__0000020001001020_shape_set_4_T.jpeg,1,3.557
686755,22,Female,1,44,2,5,1,minimal,5_grid_single__0000000010200000_shape_set_4_T.jpeg,1,1.842
686755,22,Female,1,45,2,36,6,minimal,36_triple__111212011010112010220100_shape_set_17_T.jpeg,0,10.839
686755,22,Female,1,46,2,35,8,minimal,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_4_T.jpeg,0,29.999
686897,22,Female,2,1,1,60,4,paired,60_triple__111212220100010000001122_shape_set_20_T.jpeg,0,10.605
686897,22,Female,2,2,1,8,1,minimal,8_grid_single__0100000000001111_shape_set_17_T.jpeg,1,3.738
686897,22,Female,2,3,1,7,1,minimal,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,1,3.1790000000000003
686897,22,Female,2,4,1,57,1,minimal,57_single__020011011121_shape_set_20_T.jpeg,1,5.631
