subject,trial,item,dimension,puzzle,choice,accuracy,rt
3640419,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,4.41
3640419,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,2.797
3640419,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_paired_difference.jpeg,1,4.605
3640419,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,2.42
3640419,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_minimal_difference.jpeg,1,4.113
3640419,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T3_paired_difference.jpeg,0,5.853
3640419,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_minimal_difference.jpeg,1,1.086
3640419,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,2.264
3640419,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T4_paired_difference.jpeg,0,4.571
3640419,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T4_minimal_difference.jpeg,0,0.799
3640419,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T2_minimal_difference.jpeg,0,5.185
3640419,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T4_paired_difference.jpeg,0,3.141
3640419,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T2_minimal_difference.jpeg,0,4.636
3640419,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T3_minimal_difference.jpeg,0,1.007
3640419,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T1_paired_difference.jpeg,1,1.103
3640419,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T2_minimal_difference.jpeg,0,2.068
3640419,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T2_minimal_difference.jpeg,0,1.981
3640419,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T2_paired_difference.jpeg,0,1.369
3640419,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T2_minimal_difference.jpeg,0,3.732
3640419,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T1_minimal_difference.jpeg,1,1.817
3640419,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T2_minimal_difference.jpeg,0,3.727
3640419,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T4_paired_difference.jpeg,0,0.892
3640419,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T4_minimal_difference.jpeg,0,0.588
3640419,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T1_minimal_difference.jpeg,1,0.849
3640419,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T1_paired_difference.jpeg,1,4.592
3640419,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T2_minimal_difference.jpeg,0,3.998
3640419,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T2_paired_difference.jpeg,0,1.001
3640419,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T1_paired_difference.jpeg,1,0.86
3640419,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T4_paired_difference.jpeg,0,1.091
3640419,30,26,5,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T3_minimal_difference.jpeg,0,0.587
3640419,31,52,5,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,52_flower_single__12121202111010011122_shape_set_4_T1_minimal_difference.jpeg,1,0.765
3640419,32,59,5,59_flower_single__11211110102010011122_shape_set_17_T.jpeg,59_flower_single__11211110102010011122_shape_set_17_T4_paired_difference.jpeg,0,1.235
3640419,33,36,6,36_triple__111212011010112010220100_shape_set_20_T.jpeg,36_triple__111212011010112010220100_shape_set_20_T1_minimal_difference.jpeg,1,0.791
3640419,34,44,6,44_triple__120211201211000011101212_shape_set_17_T.jpeg,44_triple__120211201211000011101212_shape_set_17_T3_minimal_difference.jpeg,0,0.938
3640419,35,46,6,46_triple__101112200200110212211001_shape_set_4_T.jpeg,46_triple__101112200200110212211001_shape_set_4_T2_paired_difference.jpeg,0,0.946
3640419,36,54,6,54_grid_double__01001121120112110100100212100100_shape_set_20_T.jpeg,54_grid_double__01001121120112110100100212100100_shape_set_20_T2_paired_difference.jpeg,0,2.124
3640419,37,21,7,21_triple__100111201112121010221202_shape_set_20_T.jpeg,21_triple__100111201112121010221202_shape_set_20_T1_paired_difference.jpeg,1,0.744
3640419,38,24,7,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T1_minimal_difference.jpeg,1,0.908
3640419,39,29,7,29_grid_double__10121011111012010000102012020000_shape_set_17_T.jpeg,29_grid_double__10121011111012010000102012020000_shape_set_17_T4_paired_difference.jpeg,0,0.759
