subject,trial,dimension,item_set,test_form,item,distractor,accuracy,rt,logrt
076hlg2u9qp5j02ui073rpxd,1,2,3,1.0,1,pd,1.0,1.34,0.29266961396282004
076hlg2u9qp5j02ui073rpxd,2,2,3,1.0,6,pd,1.0,6.655,1.895368451847075
076hlg2u9qp5j02ui073rpxd,3,3,3,1.0,15,pd,1.0,2.793,1.0271162869630397
076hlg2u9qp5j02ui073rpxd,4,3,3,1.0,10,pd,0.0,6.078,1.8046756944946014
076hlg2u9qp5j02ui073rpxd,5,4,3,1.0,12,pd,0.0,7.464,2.010091463545043
076hlg2u9qp5j02ui073rpxd,6,4,3,1.0,23,pd,1.0,3.094,1.1294647521508743
076hlg2u9qp5j02ui073rpxd,7,5,3,1.0,52,pd,1.0,7.454,2.0087508010570665
076hlg2u9qp5j02ui073rpxd,8,5,3,1.0,59,pd,1.0,3.517,1.2576083534918454
0cpxpi0rwueyzwtmwm09r1gi,1,2,3,1.0,1,pd,1.0,5.645,1.7307701976016252
0cpxpi0rwueyzwtmwm09r1gi,2,2,3,1.0,6,pd,1.0,16.535,2.805479346433756
0cpxpi0rwueyzwtmwm09r1gi,3,3,3,1.0,15,pd,,,
0cpxpi0rwueyzwtmwm09r1gi,4,3,3,1.0,10,pd,0.0,8.71,2.1644717908644115
0cpxpi0rwueyzwtmwm09r1gi,5,4,3,1.0,16,pd,1.0,18.758,2.9316203280867468
0cpxpi0rwueyzwtmwm09r1gi,6,4,3,1.0,17,pd,0.0,9.775,2.2798281058714296
0cpxpi0rwueyzwtmwm09r1gi,7,5,3,1.0,52,pd,1.0,7.462,2.0098234747989663
0cpxpi0rwueyzwtmwm09r1gi,8,5,3,1.0,59,pd,0.0,13.415,2.5963734838775876
0elzwr27vqu4uwbj8gg93lug,1,2,3,1.0,19,pd,1.0,7.898,2.066609562864458
0elzwr27vqu4uwbj8gg93lug,2,2,3,1.0,20,pd,1.0,7.989,2.078065595499905
0elzwr27vqu4uwbj8gg93lug,3,3,3,1.0,11,pd,1.0,10.827,2.382043014328761
0elzwr27vqu4uwbj8gg93lug,4,3,3,1.0,18,pd,0.0,11.415,2.434928279981759
0elzwr27vqu4uwbj8gg93lug,5,4,3,1.0,16,pd,1.0,8.811,2.1760009408845926
0elzwr27vqu4uwbj8gg93lug,6,4,3,1.0,17,pd,1.0,12.861,2.5541994762839497
0elzwr27vqu4uwbj8gg93lug,7,5,3,1.0,52,pd,1.0,11.632,2.4537599207911636
