subject,trial,test_form,stimulus,correct,choice,accuracy,rt,all_loaded,minimum_resolution
00p7ea3ni73o5a0efu339u44,1,0,a11,4,5.0,0.0,9.583,1,1
00p7ea3ni73o5a0efu339u44,2,0,a24,4,4.0,1.0,8.412,1,1
00p7ea3ni73o5a0efu339u44,3,0,a28,7,7.0,1.0,5.831,1,1
00p7ea3ni73o5a0efu339u44,4,0,a36,1,2.0,0.0,19.637,1,1
00p7ea3ni73o5a0efu339u44,5,0,a43,4,4.0,1.0,10.804,1,1
00p7ea3ni73o5a0efu339u44,6,0,a48,5,4.0,0.0,11.667,1,1
00p7ea3ni73o5a0efu339u44,7,0,a49,6,6.0,1.0,6.903,1,1
00p7ea3ni73o5a0efu339u44,8,0,a53,0,3.0,0.0,10.359,1,1
00p7ea3ni73o5a0efu339u44,9,0,a55,1,3.0,0.0,13.701,1,1
06ou7ksixe715ntgqusjzfip,1,0,a11,4,3.0,0.0,10.88,1,1
06ou7ksixe715ntgqusjzfip,2,0,a24,4,1.0,0.0,5.219,1,1
06ou7ksixe715ntgqusjzfip,3,0,a28,7,3.0,0.0,10.428,1,1
06ou7ksixe715ntgqusjzfip,4,0,a36,1,2.0,0.0,11.873,1,1
06ou7ksixe715ntgqusjzfip,5,0,a43,4,7.0,0.0,3.644,1,1
06ou7ksixe715ntgqusjzfip,6,0,a48,5,6.0,0.0,11.443,1,1
06ou7ksixe715ntgqusjzfip,7,0,a49,6,0.0,0.0,7.024,1,1
06ou7ksixe715ntgqusjzfip,8,0,a53,0,1.0,0.0,7.602,1,1
06ou7ksixe715ntgqusjzfip,9,0,a55,1,7.0,0.0,10.172,1,1
0b408y6ddb6n2hktu87ws0vf,1,0,a11,4,5.0,0.0,13.513,1,1
0b408y6ddb6n2hktu87ws0vf,2,0,a24,4,4.0,1.0,8.788,1,1
0b408y6ddb6n2hktu87ws0vf,3,0,a28,7,7.0,1.0,14.749,1,1
0b408y6ddb6n2hktu87ws0vf,4,0,a36,1,3.0,0.0,18.502,1,1
0b408y6ddb6n2hktu87ws0vf,5,0,a43,4,4.0,1.0,12.037,1,1
0b408y6ddb6n2hktu87ws0vf,6,0,a48,5,7.0,0.0,12.909,1,1
0b408y6ddb6n2hktu87ws0vf,7,0,a49,6,4.0,0.0,21.573,1,1
0b408y6ddb6n2hktu87ws0vf,8,0,a53,0,6.0,0.0,9.868,1,1
0b408y6ddb6n2hktu87ws0vf,9,0,a55,1,3.0,0.0,7.453,1,1
0f2j9hnujo2cudr4oscws8xf,1,0,a11,4,4.0,1.0,11.264,1,1
0f2j9hnujo2cudr4oscws8xf,2,0,a24,4,4.0,1.0,8.69,1,1
0f2j9hnujo2cudr4oscws8xf,3,0,a28,7,7.0,1.0,10.88,1,1
0f2j9hnujo2cudr4oscws8xf,4,0,a36,1,5.0,0.0,10.004,1,1
0f2j9hnujo2cudr4oscws8xf,5,0,a43,4,0.0,0.0,9.919,1,1
0f2j9hnujo2cudr4oscws8xf,6,0,a48,5,4.0,0.0,6.323,1,1
0f2j9hnujo2cudr4oscws8xf,7,0,a49,6,6.0,1.0,5.49,1,1
0f2j9hnujo2cudr4oscws8xf,8,0,a53,0,6.0,0.0,4.771,1,1
0f2j9hnujo2cudr4oscws8xf,9,0,a55,1,6.0,0.0,4.905,1,1
0fn46b0vpigmdhpkswfb0mye,1,0,a11,4,5.0,0.0,12.532,1,1
