sub,age,gender,block,testform,Puzzle,distractor,Accuracy,RT
686755,22,Female,1,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_20_T.jpeg,paired,1,12207
686755,22,Female,1,2,29_grid_double__10121011111012010000102012020000_shape_set_4_T.jpeg,minimal,1,13859
686755,22,Female,1,2,27_double__1020020012121122_shape_set_17_T.jpeg,paired,0,10296
686755,22,Female,1,2,30_grid_double__10211001101112200100121012020000_shape_set_17_T.jpeg,minimal,1,11779
686755,22,Female,1,2,44_triple__120211201211000011101212_shape_set_4_T.jpeg,minimal,1,16485
686755,22,Female,1,2,31_flower_double__0200010011120100020012110000000002001102_shape_set_20_T.jpeg,paired,1,8336
686755,22,Female,1,2,32_flower_single__11110100010002000000_shape_set_4_T.jpeg,paired,0,13407
686755,22,Female,1,2,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_17_T.jpeg,minimal,0,11324
686755,22,Female,1,2,25_clockwork3_single__112110110000_shape_set_20_T.jpeg,paired,1,5467
686755,22,Female,1,2,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_4_T.jpeg,paired,0,16614
686755,22,Female,1,2,40_grid_double__02000000010011100200020010211111_shape_set_20_T.jpeg,minimal,0,9811
686755,22,Female,1,2,43_flower_double__0000010000000200020001000100000012200000_shape_set_20_T.jpeg,paired,1,8193
686755,22,Female,1,2,41_single__112012110000_shape_set_4_T.jpeg,minimal,0,1734
686755,22,Female,1,2,19_single__101112201212_shape_set_20_T.jpeg,paired,1,9523
686755,22,Female,1,2,14_triple__112110100000000010021222_shape_set_4_T.jpeg,minimal,0,11712
686755,22,Female,1,2,15_double__0000110211121011_shape_set_17_T.jpeg,paired,1,11543
686755,22,Female,1,2,33_single__000010221212_shape_set_17_T.jpeg,minimal,1,10728
686755,22,Female,1,2,34_flower_single__11210200122211220100_shape_set_20_T.jpeg,paired,1,15584
686755,22,Female,1,2,42_double__1111101211021120_shape_set_17_T.jpeg,minimal,1,10279
686755,22,Female,1,2,18_flower_double__1022102200000100010000000200122101000000_shape_set_17_T.jpeg,paired,0,9966
686755,22,Female,1,2,16_grid_single__1012121112021101_shape_set_20_T.jpeg,paired,1,7782
686755,22,Female,1,2,22_single__112212211220_shape_set_20_T.jpeg,minimal,0,4290
686755,22,Female,1,2,23_grid_single__1110120212111121_shape_set_4_T.jpeg,paired,1,8132
686755,22,Female,1,2,13_flower_single__01001221122102001122_shape_set_20_T.jpeg,paired,1,10371
686755,22,Female,1,2,45_grid_triple__101211020100111110200000010000000100121002000200_shape_set_17_T.jpeg,minimal,1,16940
686755,22,Female,1,2,46_triple__101112200200110212211001_shape_set_20_T.jpeg,paired,1,15073
686755,22,Female,1,2,20_double__1221010010220000_shape_set_4_T.jpeg,paired,1,6953
686755,22,Female,1,2,21_triple__100111201112121010221202_shape_set_17_T.jpeg,minimal,1,10881
686755,22,Female,1,2,38_clockwork3_single__010011110000_shape_set_4_T.jpeg,paired,1,3660
686755,22,Female,1,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_17_T.jpeg,paired,0,18167
686755,22,Female,1,2,8_grid_single__0100000000001111_shape_set_4_T.jpeg,paired,1,3881
686755,22,Female,1,2,10_triple__000012221120010002000000_shape_set_20_T.jpeg,paired,1,7774
686755,22,Female,1,2,11_grid_single__1220111101001121_shape_set_4_T.jpeg,minimal,0,11707
686755,22,Female,1,2,12_double__1212102211111221_shape_set_17_T.jpeg,paired,0,5939
686755,22,Female,1,2,17_double__1222110111201012_shape_set_4_T.jpeg,paired,1,8066
686755,22,Female,1,2,37_flower_double__0200010001000200020002001211110111120100_shape_set_20_T.jpeg,paired,1,10967
686755,22,Female,1,2,4_flower_single__02001220000001000200_shape_set_20_T.jpeg,paired,1,3778
686755,22,Female,1,2,9_flower_single__10020000020001000200_shape_set_17_T.jpeg,minimal,1,5293
686755,22,Female,1,2,6_single__121210101222_shape_set_17_T.jpeg,paired,1,4246
