	mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
theta[1]	-0.815136673848294	0.0054251210233602	0.413776034242282	-1.60743719080201	-1.0989395181135	-0.823235847881511	-0.544483317318129	0.024413439319605	5817.1706472823	0.999539028852682
theta[2]	-0.425350966387529	0.0050428698867655	0.429876553807453	-1.23154880430272	-0.720556468747108	-0.434410646718225	-0.135697119193926	0.446619474440643	7266.61233031765	0.999186057938205
theta[3]	2.44693796848755	0.0080631266502803	0.630994220440242	1.30593218624762	2.00698165859242	2.41331651898175	2.84591361545743	3.79649363934234	6124.12152068639	0.999177352696234
theta[4]	-0.630939674808052	0.0045233379065942	0.365407277815429	-1.32590998967847	-0.882392115956072	-0.629433820783296	-0.387121222996216	0.0968226649998419	6525.83850106693	0.999583343082983
theta[5]	-0.713074835660434	0.0040482726635997	0.341106538167577	-1.37450082103593	-0.94421011370657	-0.720722860677914	-0.488797186111426	-0.0266756282482634	7099.7094496873	0.999966463945347
theta[6]	0.124720066122953	0.0052166252233409	0.445796798440072	-0.725696622105669	-0.177318599882021	0.113859321343063	0.415859458929985	1.03665244485707	7302.88760230491	1.00007648513588
theta[7]	0.772341786122904	0.0071210466876435	0.580078798782757	-0.283585402542014	0.372294401502865	0.744538514508294	1.14650837437881	1.97158793076729	6635.69352098174	0.999730861021561
theta[8]	0.743375197337008	0.0061382337738287	0.461130850021039	-0.1252694305473	0.431191083703283	0.724471060677454	1.05491458938777	1.70798046232762	5643.66863884721	0.999712502878754
theta[9]	-0.637744243878001	0.0049423420225491	0.373763135338926	-1.361653105881	-0.885549769040475	-0.647690042165425	-0.391631029270528	0.116480072954443	5719.09532923649	0.999516924650294
theta[10]	-0.212042509397423	0.0043183251278044	0.330029574899417	-0.848228614786428	-0.430150367610054	-0.218445122371963	-0.0009750267114433	0.456307922805658	5840.83644434724	0.999421886686959
theta[11]	-0.425550846894529	0.0064267980348023	0.517364387036759	-1.42060693301776	-0.772487268118636	-0.435113048061523	-0.0964758355557973	0.630025130527279	6480.42899905988	0.999720029124807
theta[12]	0.104708745016732	0.0069283774848677	0.521377921520115	-0.903036947115639	-0.253500440957054	0.0854713504811854	0.44386866353943	1.17998413596925	5662.94298875829	0.999602683224091
