	mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
theta[1]	1.79292173059697	0.007664253407111	0.679555901632363	0.540095018062167	1.32645774702776	1.75801733733676	2.23650174369851	3.19828144623592	7861.59498011406	0.99944919601891
theta[2]	-0.0243803551981165	0.0065422817126207	0.574592612224337	-1.10422629946953	-0.415948969573819	-0.0544501581808658	0.343689970917005	1.1967147987905	7713.67955913981	0.999389714608557
theta[3]	-0.444234270829434	0.0053444653063877	0.430542215790865	-1.24950755495031	-0.733910903045827	-0.451948522310175	-0.168061303918582	0.455518491001568	6489.67516017375	0.999315583840159
theta[4]	1.22615524746044	0.0066809859582823	0.645431746892374	0.0277991569837589	0.768858934188699	1.20422572877543	1.65243883752207	2.55363183646626	9332.96266632155	0.999489194096354
theta[5]	0.762445479501351	0.0059690138343838	0.573485261639773	-0.321191089176265	0.370925238377607	0.740168232018404	1.12602045262503	1.94152704495274	9230.80021347297	0.999676587259489
theta[6]	-0.0089845426683129	0.0065641630325216	0.54905270814608	-1.02548665232201	-0.387117752072917	-0.0335866365576513	0.34097243625895	1.16598608351754	6996.31505223484	0.999593985437563
theta[7]	-0.301259544405721	0.0064255163637292	0.522755196125325	-1.26741187339265	-0.670165097627926	-0.326289012703314	0.0448591972526905	0.764296490769608	6618.82119322551	1.00025364724398
theta[8]	-0.59666564640335	0.0054821966724599	0.462892309896215	-1.45468380430928	-0.907921252108705	-0.617932213384333	-0.301771035338704	0.363664703216815	7129.36267825445	0.999406567044415
theta[9]	-0.601727318306225	0.0070721126366862	0.59975522469872	-1.71239323775989	-1.01267530833831	-0.618826844840589	-0.21132566115982	0.656130675830904	7192.00104608181	0.999661821957526
theta[10]	-0.60514433301947	0.0051982476636717	0.417877766026702	-1.39516318942854	-0.889159732316634	-0.613433702235365	-0.328721186602416	0.259918379037238	6462.26248861138	0.999677029063276
theta[11]	1.05197116789721	0.0071369895052509	0.628440166685815	-0.0935752831084904	0.621412547895912	1.01236864005086	1.46036293799325	2.36304756281277	7753.49933548633	0.999517954640804
theta[12]	0.674089421941854	0.0067870947476563	0.57733729945712	-0.384960789620162	0.259662872250366	0.659175711109846	1.0570438910675	1.84695990519381	7235.88088355329	1.00026952020937
theta[13]	0.423548615154332	0.0054663164169745	0.467323096851548	-0.448051311773387	0.0984239947916938	0.401158939453759	0.728879006212571	1.37850668387173	7308.7811480749	0.999436935676469
theta[14]	0.753590278054181	0.0069165407062054	0.571630345117201	-0.295251961896264	0.362243905191695	0.721303954571283	1.11896401275904	1.94876639289214	6830.50283902642	0.999211231229393
theta[15]	-0.183940124412428	0.0057019976574752	0.50856840797083	-1.14722247575945	-0.536184156509101	-0.206315318752095	0.146336053354071	0.864232704784741	7955.08249916635	0.999095675457697
theta[16]	-0.324319648647944	0.0054264106757442	0.462484487848649	-1.21219974168903	-0.639175770445195	-0.343772047330313	-0.0254985941331176	0.639121562674402	7263.88607876091	0.99958035070417
theta[17]	0.877655812635948	0.0076028941765524	0.581125346300502	-0.177309347098533	0.47321838505032	0.845278215173112	1.2502721380604	2.12197711069173	5842.27162361846	0.9996468979049
theta[18]	-0.294701182981892	0.006055840030422	0.44908970950122	-1.1449517846649	-0.599050585424619	-0.309711724363912	-0.0017381900079047	0.629836782724763	5499.42670865023	0.999481035121134
theta[19]	-0.364196747188677	0.0055460294075377	0.444157663358764	-1.19201844154812	-0.666309070375551	-0.379273070501591	-0.0855093522230617	0.565832959208219	6413.71980760188	0.999322889243518
theta[20]	0.794485624383463	0.0066210229828909	0.558125330465187	-0.226935164481026	0.405084995821123	0.768825403844007	1.15600810412154	1.9487797477547	7105.80484762946	0.999760790996994
theta[21]	0.266214849718388	0.0074671277363728	0.660665916267269	-0.947726914247471	-0.180369686622908	0.234150177425778	0.699150012269861	1.59689057544155	7828.10501251364	1.00037960860103
theta[22]	0.605678496648465	0.0067180046640385	0.565780764025637	-0.418766595209148	0.196492235674172	0.585755828813923	0.957556765922789	1.81823400639379	7092.76798332185	0.999271431353095
theta[23]	0.245501850085879	0.0061164428027231	0.527934833762912	-0.718321084053255	-0.126538967568243	0.216273336281682	0.577230547928777	1.37026698743917	7450.11194969696	0.999827322266187
theta[24]	-0.553257105942231	0.0053334151421101	0.41854317327106	-1.35270475929912	-0.832148464248509	-0.561619544503765	-0.281649863310296	0.274096019186003	6158.42626787734	0.999486577771912
theta[25]	-0.257905138438581	0.006077906419053	0.478391767302251	-1.12326240044868	-0.583261610523361	-0.277749124458383	0.0542331836316687	0.705742236466888	6195.25770412874	0.999517409572954
theta[26]	1.374997491873	0.0077130555535188	0.615928909413542	0.265422031585531	0.941634061962945	1.3494072324816	1.76867578240373	2.64382248440482	6376.88020804996	0.999239834906804
theta[27]	-1.29762312371869	0.0054052408598347	0.318704115764298	-1.92847186055493	-1.50810593737499	-1.2906918444303	-1.07911458107666	-0.690289313786964	3476.52408032449	0.999465682994324
theta[28]	0.676613996196161	0.0060738979988747	0.563481741880416	-0.332605445635262	0.291672482091893	0.648291723325285	1.02307783760305	1.8878277913829	8606.46304226315	0.999056931718653
theta[29]	-0.0672238533882066	0.0051734365438928	0.494185491285605	-0.982671357970512	-0.407881280193333	-0.0917483712487557	0.249737408467181	0.95586574256422	9124.76584700211	0.999394018201217
theta[30]	0.498565900985379	0.0067427569107826	0.614324926685554	-0.651760774683765	0.0785618361042468	0.487668941318328	0.897049339241241	1.74145623162335	8300.82521600683	0.999608960892598
theta[31]	0.127701000600532	0.0069126935156167	0.611928771089963	-0.991347512552238	-0.28221681745779	0.0954829817394562	0.530273618878542	1.36832779516033	7836.22940407867	0.999514326309846
