name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-2600.0	0.53	16.0	-2600.0	-2600.0	-2600.0	870.0	3.7	1.0
theta[1]	0.24	0.0057	0.39	-0.37	0.23	0.9	4527.0	19.0	1.0
theta[2]	-0.48	0.0053	0.31	-1.0	-0.48	0.047	3565.0	15.0	1.0
theta[3]	-0.38	0.0063	0.45	-1.1	-0.39	0.36	5246.0	22.0	1.0
theta[4]	0.24	0.006	0.47	-0.5	0.22	1.0	5997.0	25.0	1.0
theta[5]	-1.7	0.0076	0.6	-2.8	-1.7	-0.78	6239.0	26.0	1.0
theta[6]	-0.97	0.0062	0.41	-1.6	-0.97	-0.33	4336.0	18.0	1.0
theta[7]	-1.0	0.0058	0.35	-1.6	-1.0	-0.47	3687.0	16.0	1.0
theta[8]	0.0049	0.0056	0.34	-0.55	-0.0048	0.58	3812.0	16.0	1.0
theta[9]	-0.36	0.0067	0.42	-1.1	-0.35	0.33	4040.0	17.0	1.0
theta[10]	0.12	0.0051	0.32	-0.4	0.12	0.67	4093.0	17.0	1.0
theta[11]	0.071	0.0057	0.33	-0.46	0.057	0.62	3370.0	14.0	1.0
theta[12]	1.3	0.0078	0.61	0.29	1.2	2.3	6004.0	25.0	1.0
theta[13]	-0.61	0.0073	0.53	-1.5	-0.62	0.26	5246.0	22.0	1.0
theta[14]	-1.3	0.007	0.46	-2.1	-1.3	-0.54	4377.0	18.0	1.0
theta[15]	0.12	0.0056	0.37	-0.47	0.12	0.74	4261.0	18.0	1.0
theta[16]	-0.38	0.0054	0.34	-0.93	-0.38	0.17	4053.0	17.0	1.0
theta[17]	-0.32	0.0055	0.35	-0.87	-0.32	0.25	4086.0	17.0	1.0
theta[18]	-0.36	0.0058	0.39	-1.0	-0.35	0.3	4425.0	19.0	1.0
theta[19]	-0.59	0.0061	0.39	-1.2	-0.58	0.036	4077.0	17.0	1.0
theta[20]	-1.0	0.0064	0.43	-1.8	-1.0	-0.31	4584.0	19.0	1.0
theta[21]	0.15	0.0059	0.45	-0.59	0.15	0.91	5762.0	24.0	1.0
theta[22]	-1.3	0.0064	0.36	-1.9	-1.3	-0.75	3181.0	13.0	1.0
theta[23]	-0.47	0.0059	0.32	-1.0	-0.47	0.072	3021.0	13.0	1.0
theta[24]	0.34	0.0057	0.42	-0.34	0.33	1.0	5379.0	23.0	1.0
