name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-2700.0	0.57	16.0	-2800.0	-2700.0	-2700.0	810.0	6.1	1.0
theta[1]	0.18	0.0048	0.39	-0.43	0.17	0.83	6448.0	48.0	1.0
theta[2]	-0.28	0.0041	0.32	-0.8	-0.28	0.24	5991.0	45.0	1.0
theta[3]	-0.16	0.0048	0.43	-0.85	-0.17	0.57	8092.0	60.0	1.0
theta[4]	0.056	0.0047	0.42	-0.64	0.04	0.77	7879.0	59.0	1.0
theta[5]	-2.1	0.006	0.34	-2.7	-2.1	-1.6	3185.0	24.0	1.0
theta[6]	-0.73	0.0051	0.4	-1.4	-0.72	-0.082	6007.0	45.0	1.0
theta[7]	-0.73	0.0044	0.34	-1.3	-0.73	-0.18	6005.0	45.0	1.0
theta[8]	-0.24	0.0047	0.31	-0.74	-0.25	0.27	4313.0	32.0	1.0
theta[9]	-0.19	0.0047	0.42	-0.87	-0.2	0.52	8241.0	62.0	1.0
theta[10]	0.29	0.0052	0.34	-0.26	0.28	0.86	4457.0	33.0	1.0
theta[11]	0.13	0.0045	0.33	-0.4	0.12	0.67	5297.0	40.0	1.0
theta[12]	1.1	0.0066	0.58	0.19	1.1	2.1	7661.0	57.0	1.0
theta[13]	-0.91	0.0049	0.44	-1.6	-0.9	-0.19	8121.0	61.0	1.0
theta[14]	-1.3	0.0052	0.31	-1.8	-1.3	-0.8	3506.0	26.0	1.0
theta[15]	0.016	0.0049	0.36	-0.57	0.0073	0.61	5473.0	41.0	1.0
theta[16]	-0.41	0.0046	0.35	-0.98	-0.41	0.15	5768.0	43.0	1.0
theta[17]	-0.3	0.0045	0.34	-0.86	-0.3	0.26	5658.0	42.0	1.0
theta[18]	-0.12	0.0047	0.41	-0.76	-0.13	0.57	7455.0	56.0	1.0
theta[19]	-0.91	0.0046	0.3	-1.4	-0.91	-0.43	4298.0	32.0	1.0
theta[20]	-1.4	0.0049	0.31	-1.9	-1.4	-0.89	3836.0	29.0	1.0
theta[21]	-0.1	0.005	0.43	-0.81	-0.12	0.61	7264.0	54.0	1.0
theta[22]	-1.1	0.0048	0.32	-1.6	-1.1	-0.58	4403.0	33.0	1.0
theta[23]	-0.38	0.0042	0.33	-0.92	-0.38	0.17	6162.0	46.0	1.0
theta[24]	0.23	0.0048	0.41	-0.43	0.22	0.91	7370.0	55.0	1.0
theta[25]	0.66	0.0059	0.51	-0.15	0.63	1.5	7600.0	57.0	1.0
theta[26]	-0.72	0.0048	0.42	-1.4	-0.73	-0.017	7826.0	58.0	1.0
theta[27]	1.5	0.0065	0.5	0.72	1.5	2.3	5856.0	44.0	1.0
theta[28]	-0.59	0.0045	0.32	-1.1	-0.58	-0.066	4906.0	37.0	1.0
theta[29]	1.8	0.0062	0.54	0.91	1.7	2.7	7738.0	58.0	1.0
theta[30]	0.35	0.0054	0.44	-0.37	0.33	1.1	6655.0	50.0	1.0
theta[31]	-0.64	0.0044	0.29	-1.1	-0.64	-0.16	4408.0	33.0	1.0
theta[32]	0.82	0.0052	0.4	0.18	0.82	1.5	5849.0	44.0	1.0
theta[33]	0.63	0.0058	0.5	-0.16	0.61	1.5	7425.0	55.0	1.0
theta[34]	-0.59	0.005	0.41	-1.2	-0.59	0.074	6733.0	50.0	1.0
theta[35]	0.54	0.0059	0.5	-0.27	0.54	1.4	7273.0	54.0	1.0
theta[36]	0.53	0.0051	0.42	-0.13	0.52	1.2	6619.0	49.0	1.0
theta[37]	0.79	0.0054	0.47	0.041	0.78	1.6	7852.0	59.0	1.0
theta[38]	-0.41	0.005	0.37	-1.0	-0.41	0.22	5450.0	41.0	1.0
theta[39]	-0.45	0.0051	0.4	-1.1	-0.44	0.22	6261.0	47.0	1.0
theta[40]	0.92	0.006	0.48	0.17	0.9	1.7	6377.0	48.0	1.0
theta[41]	-0.43	0.0048	0.4	-1.1	-0.44	0.24	6946.0	52.0	1.0
theta[42]	1.1	0.006	0.49	0.27	1.0	1.9	6703.0	50.0	1.0
theta[43]	1.4	0.0066	0.55	0.53	1.4	2.3	7053.0	53.0	1.0
theta[44]	-1.1	0.0047	0.3	-1.6	-1.1	-0.63	4047.0	30.0	1.0
theta[45]	0.0068	0.0052	0.44	-0.7	-0.006	0.75	7066.0	53.0	1.0
theta[46]	-0.23	0.0048	0.39	-0.85	-0.23	0.44	6755.0	50.0	1.0
theta[47]	-0.49	0.0044	0.31	-1.0	-0.49	0.014	4843.0	36.0	1.0
theta[48]	0.35	0.005	0.43	-0.35	0.34	1.1	7412.0	55.0	1.0
theta[49]	1.9	0.0065	0.58	0.99	1.9	2.9	7894.0	59.0	1.0
theta[50]	1.8	0.0064	0.57	0.92	1.8	2.8	7919.0	59.0	1.0
theta[51]	-0.69	0.0046	0.31	-1.2	-0.68	-0.18	4558.0	34.0	1.0
theta[52]	-0.99	0.0048	0.3	-1.5	-0.98	-0.5	3902.0	29.0	1.0
theta[53]	-0.32	0.0046	0.39	-0.94	-0.33	0.32	6959.0	52.0	1.0
theta[54]	-0.025	0.0047	0.34	-0.56	-0.027	0.54	5273.0	39.0	1.0
theta[55]	1.8	0.007	0.6	0.89	1.8	2.9	7488.0	56.0	1.0
theta[56]	1.4	0.0066	0.52	0.62	1.4	2.3	6236.0	47.0	1.0
theta[57]	-0.44	0.0046	0.35	-1.0	-0.44	0.13	5614.0	42.0	1.0
theta[58]	-0.12	0.0047	0.35	-0.7	-0.12	0.45	5506.0	41.0	1.0
theta[59]	0.21	0.0058	0.5	-0.58	0.2	1.0	7543.0	56.0	1.0
theta[60]	-0.81	0.0047	0.33	-1.4	-0.81	-0.28	5024.0	38.0	1.0
theta[61]	1.8	0.0065	0.54	0.91	1.8	2.7	6803.0	51.0	1.0
theta[62]	0.068	0.0056	0.48	-0.71	0.069	0.89	7351.0	55.0	1.0
theta[63]	0.72	0.0061	0.45	0.018	0.71	1.5	5496.0	41.0	1.0
theta[64]	-0.11	0.0049	0.4	-0.75	-0.12	0.57	6659.0	50.0	1.0
theta[65]	-1.4	0.0053	0.31	-2.0	-1.4	-0.94	3488.0	26.0	1.0
theta[66]	-0.5	0.005	0.41	-1.2	-0.51	0.18	6817.0	51.0	1.0
theta[67]	0.7	0.005	0.44	0.0029	0.68	1.5	7832.0	59.0	1.0
theta[68]	1.4	0.0058	0.52	0.53	1.3	2.3	8239.0	62.0	1.0
theta[69]	-0.34	0.0049	0.42	-1.0	-0.34	0.34	7292.0	54.0	1.0
theta[70]	-1.5	0.0058	0.4	-2.2	-1.5	-0.87	4819.0	36.0	1.0
theta[71]	1.8	0.0061	0.57	0.88	1.7	2.7	8593.0	64.0	1.0
theta[72]	0.27	0.0051	0.45	-0.45	0.26	1.0	7528.0	56.0	1.0
theta[73]	0.96	0.0063	0.55	0.073	0.93	1.9	7757.0	58.0	1.0
theta[74]	-0.34	0.0057	0.47	-1.1	-0.34	0.45	6678.0	50.0	1.0
theta[75]	0.14	0.005	0.4	-0.52	0.13	0.8	6331.0	47.0	1.0
theta[76]	-1.6	0.0053	0.32	-2.1	-1.6	-1.1	3585.0	27.0	1.0
