name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-2100.0	0.55	15.0	-2100.0	-2100.0	-2000.0	730.0	3.8	1.0
theta[1]	0.11	0.0059	0.41	-0.6	0.12	0.77	4866.0	25.0	1.0
theta[2]	-0.03	0.0054	0.39	-0.7	-0.022	0.6	5312.0	28.0	1.0
theta[3]	-0.1	0.0062	0.48	-0.92	-0.089	0.65	5826.0	30.0	1.0
theta[4]	-0.082	0.0062	0.49	-0.9	-0.072	0.69	6307.0	33.0	1.0
theta[5]	-2.1	0.007	0.47	-2.9	-2.1	-1.4	4523.0	24.0	1.0
theta[6]	-0.67	0.0059	0.46	-1.5	-0.64	0.032	6011.0	31.0	1.0
theta[7]	-0.53	0.0055	0.4	-1.2	-0.52	0.085	5313.0	28.0	1.0
theta[8]	-0.19	0.0063	0.45	-0.94	-0.17	0.51	4978.0	26.0	1.0
theta[9]	-0.22	0.0059	0.43	-0.93	-0.2	0.45	5342.0	28.0	1.0
theta[10]	0.5	0.0057	0.4	-0.16	0.5	1.1	4924.0	26.0	1.0
theta[11]	0.4	0.0055	0.41	-0.3	0.39	1.1	5635.0	29.0	1.0
theta[12]	1.0	0.0067	0.53	0.12	1.0	1.9	6250.0	33.0	1.0
theta[13]	-1.1	0.007	0.56	-2.1	-1.1	-0.25	6379.0	33.0	1.0
theta[14]	-1.1	0.0064	0.49	-2.0	-1.1	-0.35	5821.0	30.0	1.0
theta[15]	-0.11	0.0067	0.49	-0.94	-0.1	0.66	5333.0	28.0	1.0
theta[16]	-0.29	0.0056	0.42	-1.0	-0.27	0.38	5711.0	30.0	1.0
theta[17]	-0.36	0.0055	0.44	-1.1	-0.35	0.33	6315.0	33.0	1.0
theta[18]	-0.11	0.0052	0.43	-0.84	-0.097	0.58	6748.0	35.0	1.0
theta[19]	-1.2	0.0062	0.46	-2.0	-1.2	-0.48	5492.0	29.0	1.0
theta[20]	-0.95	0.0057	0.43	-1.7	-0.93	-0.29	5487.0	29.0	1.0
theta[21]	-0.25	0.0075	0.53	-1.2	-0.23	0.56	5066.0	27.0	1.0
theta[22]	-1.4	0.0061	0.46	-2.2	-1.4	-0.72	5756.0	30.0	1.0
theta[23]	-0.48	0.0057	0.43	-1.2	-0.46	0.17	5697.0	30.0	1.0
theta[24]	0.22	0.0064	0.47	-0.59	0.24	0.96	5512.0	29.0	1.0
theta[25]	0.74	0.0055	0.43	0.0077	0.74	1.4	6221.0	33.0	1.0
theta[26]	-0.84	0.0066	0.5	-1.7	-0.81	-0.041	5818.0	30.0	1.0
theta[27]	1.4	0.0064	0.45	0.64	1.4	2.1	4972.0	26.0	1.0
theta[28]	-0.79	0.006	0.46	-1.6	-0.76	-0.079	5798.0	30.0	1.0
theta[29]	1.7	0.0066	0.47	0.99	1.7	2.5	5043.0	26.0	1.0
theta[30]	0.34	0.0063	0.46	-0.45	0.34	1.1	5337.0	28.0	1.0
theta[31]	-0.67	0.0059	0.44	-1.4	-0.64	0.022	5655.0	30.0	1.0
theta[32]	0.54	0.0054	0.41	-0.14	0.54	1.2	5906.0	31.0	1.0
theta[33]	0.58	0.0058	0.46	-0.19	0.58	1.3	6103.0	32.0	1.0
theta[34]	-0.54	0.0065	0.46	-1.3	-0.51	0.17	4960.0	26.0	1.0
theta[35]	0.64	0.0061	0.45	-0.11	0.64	1.4	5444.0	28.0	1.0
theta[36]	0.39	0.006	0.41	-0.3	0.41	1.1	4832.0	25.0	1.0
theta[37]	0.8	0.0057	0.41	0.14	0.8	1.5	5138.0	27.0	1.0
theta[38]	-0.18	0.0058	0.43	-0.9	-0.17	0.49	5544.0	29.0	1.0
theta[39]	-0.37	0.0058	0.45	-1.2	-0.35	0.32	6062.0	32.0	1.0
theta[40]	0.93	0.0057	0.4	0.28	0.93	1.6	4986.0	26.0	1.0
theta[41]	-0.52	0.0059	0.43	-1.3	-0.51	0.16	5220.0	27.0	1.0
theta[42]	1.1	0.0061	0.44	0.37	1.1	1.8	5124.0	27.0	1.0
theta[43]	1.4	0.0068	0.51	0.58	1.4	2.3	5663.0	30.0	1.0
theta[44]	-1.1	0.0062	0.47	-1.9	-1.1	-0.41	5714.0	30.0	1.0
theta[45]	-0.029	0.0063	0.47	-0.84	-0.016	0.71	5731.0	30.0	1.0
theta[46]	-0.33	0.0064	0.47	-1.1	-0.3	0.39	5322.0	28.0	1.0
theta[47]	-0.32	0.0061	0.47	-1.1	-0.29	0.41	5814.0	30.0	1.0
theta[48]	0.33	0.0054	0.42	-0.37	0.33	0.99	6044.0	32.0	1.0
theta[49]	1.9	0.0066	0.49	1.1	1.9	2.7	5597.0	29.0	1.0
theta[50]	1.7	0.0062	0.46	1.0	1.7	2.5	5550.0	29.0	1.0
theta[51]	-0.7	0.0055	0.42	-1.4	-0.69	-0.038	5829.0	31.0	1.0
theta[52]	-0.76	0.006	0.46	-1.5	-0.74	-0.061	5829.0	31.0	1.0
theta[53]	-0.31	0.0061	0.43	-1.0	-0.3	0.36	5111.0	27.0	1.0
theta[54]	-0.38	0.006	0.45	-1.2	-0.35	0.31	5725.0	30.0	1.0
theta[55]	1.8	0.0065	0.51	0.98	1.8	2.7	6141.0	32.0	1.0
theta[56]	1.5	0.0062	0.46	0.76	1.5	2.3	5671.0	30.0	1.0
theta[57]	-0.19	0.0062	0.42	-0.91	-0.17	0.48	4726.0	25.0	1.0
theta[58]	-0.44	0.006	0.45	-1.2	-0.42	0.26	5546.0	29.0	1.0
theta[59]	0.093	0.0065	0.51	-0.77	0.11	0.89	6215.0	33.0	1.0
theta[60]	-1.0	0.0058	0.46	-1.8	-0.99	-0.3	6156.0	32.0	1.0
theta[61]	1.6	0.006	0.46	0.89	1.6	2.4	5857.0	31.0	1.0
theta[62]	0.044	0.0064	0.49	-0.8	0.057	0.83	5970.0	31.0	1.0
theta[63]	0.76	0.0059	0.39	0.11	0.77	1.4	4439.0	23.0	1.0
theta[64]	-0.075	0.0055	0.42	-0.79	-0.063	0.6	5915.0	31.0	1.0
theta[65]	-1.6	0.0063	0.48	-2.4	-1.6	-0.81	5782.0	30.0	1.0
theta[66]	-0.38	0.0063	0.45	-1.2	-0.36	0.32	5041.0	26.0	1.0
theta[67]	0.7	0.0058	0.45	-0.039	0.71	1.4	5995.0	31.0	1.0
theta[68]	1.3	0.0064	0.48	0.52	1.3	2.1	5517.0	29.0	1.0
theta[69]	-0.27	0.006	0.43	-1.0	-0.25	0.37	5054.0	26.0	1.0
theta[70]	-1.6	0.007	0.54	-2.5	-1.6	-0.74	5904.0	31.0	1.0
theta[71]	1.7	0.0065	0.48	0.99	1.7	2.6	5485.0	29.0	1.0
theta[72]	0.3	0.0057	0.44	-0.45	0.32	1.0	6120.0	32.0	1.0
theta[73]	0.87	0.0065	0.52	0.01	0.88	1.7	6452.0	34.0	1.0
theta[74]	-0.32	0.0066	0.5	-1.2	-0.3	0.44	5708.0	30.0	1.0
theta[75]	0.13	0.0053	0.4	-0.56	0.14	0.78	5836.0	31.0	1.0
theta[76]	-1.8	0.007	0.49	-2.6	-1.8	-1.0	4850.0	25.0	1.0
theta[77]	-1.7	0.0072	0.48	-2.6	-1.7	-0.97	4456.0	23.0	1.0
theta[78]	0.39	0.0066	0.51	-0.47	0.41	1.2	5911.0	31.0	1.0
theta[79]	0.6	0.0062	0.43	-0.11	0.59	1.3	4922.0	26.0	1.0
theta[80]	0.49	0.006	0.42	-0.21	0.49	1.2	4922.0	26.0	1.0
theta[81]	-0.098	0.0055	0.44	-0.81	-0.078	0.58	6235.0	33.0	1.0
theta[82]	-0.47	0.0064	0.43	-1.2	-0.45	0.21	4551.0	24.0	1.0
theta[83]	0.6	0.006	0.44	-0.14	0.61	1.3	5500.0	29.0	1.0
theta[84]	-0.71	0.0057	0.44	-1.5	-0.68	-0.031	6108.0	32.0	1.0
