subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
076hlg2u9qp5j02ui073rpxd	1	2	1	1.0	0.98575	0.9869255161518619	-0.014204521983250623
076hlg2u9qp5j02ui073rpxd	2	2	6	1.0	0.7655	0.7701208465917847	-0.28445683058457516
076hlg2u9qp5j02ui073rpxd	3	3	15	1.0	0.5775	0.5702155788895854	-0.6152026662766414
076hlg2u9qp5j02ui073rpxd	4	3	10	0.0	0.63625	0.35457514453538563	-1.4021046184278827
076hlg2u9qp5j02ui073rpxd	5	4	12	0.0	0.48975	0.5236442905032159	-0.7042910375654475
076hlg2u9qp5j02ui073rpxd	6	4	23	1.0	0.87125	0.8746719553591636	-0.15990431962655421
076hlg2u9qp5j02ui073rpxd	7	5	52	1.0	0.4535	0.45364074404709476	-0.8374019274494312
076hlg2u9qp5j02ui073rpxd	8	5	59	1.0	0.344	0.3445060136325175	-1.1897071945263331
0cpxpi0rwueyzwtmwm09r1gi	1	2	1	1.0	0.9675	0.9676262544631956	-0.037169522436169077
0cpxpi0rwueyzwtmwm09r1gi	2	2	6	1.0	0.68525	0.6805542059397551	-0.421958520584891
0cpxpi0rwueyzwtmwm09r1gi	3	3	15	0.0	0.454	0.5327771531731542	-0.6868456159200732
0cpxpi0rwueyzwtmwm09r1gi	4	3	10	0.0	0.50275	0.49737696835802003	-0.885002232328524
0cpxpi0rwueyzwtmwm09r1gi	5	4	16	1.0	0.827	0.830243247112397	-0.2552255606767885
0cpxpi0rwueyzwtmwm09r1gi	6	4	17	0.0	0.504	0.4990169512776095	-0.7501399807073252
0cpxpi0rwueyzwtmwm09r1gi	7	5	52	1.0	0.39175	0.38542275566347356	-1.0172222373735074
0cpxpi0rwueyzwtmwm09r1gi	8	5	59	0.0	0.26425	0.7409195694699537	-0.3180845562028688
0elzwr27vqu4uwbj8gg93lug	1	2	19	1.0	0.79875	0.803403172328949	-0.2391050407830958
0elzwr27vqu4uwbj8gg93lug	2	2	20	1.0	0.83275	0.8286704103356446	-0.21199005591117573
0elzwr27vqu4uwbj8gg93lug	3	3	11	1.0	0.70025	0.7054631191137177	-0.4153378849687104
0elzwr27vqu4uwbj8gg93lug	4	3	18	0.0	0.7375	0.27187651706460264	-1.5543078286999352
0elzwr27vqu4uwbj8gg93lug	5	4	16	1.0	0.94075	0.9412312000438726	-0.06839788357723434
0elzwr27vqu4uwbj8gg93lug	6	4	17	1.0	0.60375	0.6080909500860032	-0.5300354489944024
0elzwr27vqu4uwbj8gg93lug	7	5	52	1.0	0.46575	0.46617072850816665	-0.8045791857386804
0elzwr27vqu4uwbj8gg93lug	8	5	59	0.0	0.35475	0.6439000167970393	-0.4757164336917767
10vsq79n9pi9zrrc7ihh4gpb	1	2	19	0.0	0.81025	0.19489438693363031	-2.0329397203990958
10vsq79n9pi9zrrc7ihh4gpb	2	2	20	1.0	0.83475	0.8316268178661328	-0.2109273214959076
10vsq79n9pi9zrrc7ihh4gpb	3	3	11	1.0	0.70425	0.7105851152626256	-0.4159165283751476
10vsq79n9pi9zrrc7ihh4gpb	4	3	18	1.0	0.72775	0.7378271232892105	-0.3380923041742949
10vsq79n9pi9zrrc7ihh4gpb	5	4	12	0.0	0.501	0.5031668057896521	-0.748161328227272
10vsq79n9pi9zrrc7ihh4gpb	6	4	23	1.0	0.9	0.8992045493774391	-0.12313876694432395
10vsq79n9pi9zrrc7ihh4gpb	7	5	52	1.0	0.4575	0.4708236425483761	-0.7997877015574079
10vsq79n9pi9zrrc7ihh4gpb	8	5	59	1.0	0.353	0.36814485815623305	-1.1105521153094808
1fpmgsend1l8bjvx30truqd4	1	2	1	1.0	0.98925	0.9912267495685498	-0.009155060940401936
1fpmgsend1l8bjvx30truqd4	2	2	6	1.0	0.79925	0.7996394820768162	-0.24228049551366906
1fpmgsend1l8bjvx30truqd4	3	3	15	1.0	0.603	0.605531831792546	-0.5516688007860339
1fpmgsend1l8bjvx30truqd4	4	3	10	0.0	0.70325	0.30455129135381515	-1.5980376483251737
1fpmgsend1l8bjvx30truqd4	5	4	16	1.0	0.93725	0.9426711536530389	-0.06900901295705769
1fpmgsend1l8bjvx30truqd4	6	4	17	1.0	0.6245	0.6238993856318242	-0.5093063352242764
1fpmgsend1l8bjvx30truqd4	7	5	52	1.0	0.48525	0.481580113852136	-0.7758842347702951
1fpmgsend1l8bjvx30truqd4	8	5	59	1.0	0.3895	0.37895928300375875	-1.0851814135313267
1gbumjgvj8h8v6uiq4vwef7w	1	2	1	1.0	0.97825	0.9759798144120444	-0.026464180321058184
1gbumjgvj8h8v6uiq4vwef7w	2	2	6	0.0	0.713	0.2921990328704975	-1.4276999238689727
1gbumjgvj8h8v6uiq4vwef7w	3	3	15	0.0	0.49325	0.5027139000749704	-0.7530982951788845
1gbumjgvj8h8v6uiq4vwef7w	4	3	10	1.0	0.57275	0.5717677213871426	-0.684653543987181
1gbumjgvj8h8v6uiq4vwef7w	5	4	16	1.0	0.86375	0.8690189244861191	-0.1850556060647004
1gbumjgvj8h8v6uiq4vwef7w	6	4	17	1.0	0.53625	0.5314535406806487	-0.6806603840940795
1gbumjgvj8h8v6uiq4vwef7w	7	5	52	0.0	0.398	0.5991633730817727	-0.5344165313664359
1gbumjgvj8h8v6uiq4vwef7w	8	5	59	0.0	0.27775	0.7178254404955317	-0.35306359731756143
1i2nvqvazywxiayn3v5v16ej	1	2	1	1.0	0.857	0.858579118929668	-0.21225858564664962
1i2nvqvazywxiayn3v5v16ej	2	2	6	0.0	0.4935	0.4972291624787141	-0.7798320658176837
1i2nvqvazywxiayn3v5v16ej	3	3	11	0.0	0.27975	0.7267158340638801	-0.3705840555291581
1i2nvqvazywxiayn3v5v16ej	4	3	18	0.0	0.4085	0.597430168507057	-0.5753650123316456
1i2nvqvazywxiayn3v5v16ej	5	4	16	0.0	0.502	0.48817606664809804	-1.1013426345015174
1i2nvqvazywxiayn3v5v16ej	6	4	17	0.0	0.37225	0.6293222063699551	-0.4919465919899863
1i2nvqvazywxiayn3v5v16ej	7	5	14	0.0	0.207	0.7908941282197617	-0.2541703424438569
1i2nvqvazywxiayn3v5v16ej	8	5	26	1.0	0.31025	0.3023745160318967	-1.419908784902751
1wt4mr7p6qdp72srb0u5esx0	1	2	19	1.0	0.82925	0.832230372892277	-0.1987936090656675
1wt4mr7p6qdp72srb0u5esx0	2	2	20	1.0	0.86175	0.8599459144326158	-0.16721152018371466
1wt4mr7p6qdp72srb0u5esx0	3	3	15	0.0	0.61225	0.38601069756127376	-1.0688849806903629
1wt4mr7p6qdp72srb0u5esx0	4	3	10	1.0	0.726	0.7381551014348038	-0.3529280717345771
1wt4mr7p6qdp72srb0u5esx0	5	4	12	0.0	0.5165	0.4816861605344562	-0.7920991630437627
1wt4mr7p6qdp72srb0u5esx0	6	4	23	1.0	0.92325	0.9206238430314846	-0.09166406393050554
1wt4mr7p6qdp72srb0u5esx0	7	5	14	1.0	0.534	0.5487760368942711	-0.680175399010244
1wt4mr7p6qdp72srb0u5esx0	8	5	26	1.0	0.65675	0.6633534846021962	-0.45859373685828203
1zskm2bzi8y5p5g4j8qhpdz6	1	2	19	1.0	0.78075	0.7769061716411565	-0.27683481404884563
1zskm2bzi8y5p5g4j8qhpdz6	2	2	20	1.0	0.79525	0.7980073246915013	-0.2582712702818462
1zskm2bzi8y5p5g4j8qhpdz6	3	3	15	0.0	0.53825	0.4474251771842712	-0.8963663328539455
1zskm2bzi8y5p5g4j8qhpdz6	4	3	10	1.0	0.66125	0.6541393864227596	-0.5066604549628391
1zskm2bzi8y5p5g4j8qhpdz6	5	4	16	1.0	0.91975	0.9208266868958418	-0.09945191606263952
1zskm2bzi8y5p5g4j8qhpdz6	6	4	17	0.0	0.5675	0.42451642814371665	-0.9302944078609229
1zskm2bzi8y5p5g4j8qhpdz6	7	5	14	1.0	0.46425	0.4708727464924152	-0.86170039858287
1zskm2bzi8y5p5g4j8qhpdz6	8	5	26	0.0	0.56925	0.4170551733412511	-1.0232905760973592
269f5wxawxko5vbndnerjhvt	1	2	19	1.0	0.83725	0.8388992364307408	-0.19064571041670314
269f5wxawxko5vbndnerjhvt	2	2	20	1.0	0.87925	0.8657581783519361	-0.1613668505827648
269f5wxawxko5vbndnerjhvt	3	3	11	1.0	0.7705	0.7609737195688479	-0.3229994951512061
269f5wxawxko5vbndnerjhvt	4	3	18	0.0	0.76275	0.22944046298357051	-1.8000897861698715
