subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
076hlg2u9qp5j02ui073rpxd	1	2	1	1.0	0.983	0.9836723111114742	-0.017928792401016736
076hlg2u9qp5j02ui073rpxd	2	2	6	1.0	0.75325	0.761584202623729	-0.30473281824314796
076hlg2u9qp5j02ui073rpxd	3	3	15	1.0	0.543	0.5506024826960834	-0.6688326743651167
076hlg2u9qp5j02ui073rpxd	4	3	10	0.0	0.63625	0.3727122428500246	-1.3305017017722922
076hlg2u9qp5j02ui073rpxd	5	4	12	0.0	0.4545	0.5598191608182651	-0.6591076869097394
076hlg2u9qp5j02ui073rpxd	6	4	23	1.0	0.87275	0.8674131847160466	-0.1760274084895521
076hlg2u9qp5j02ui073rpxd	7	5	52	1.0	0.41125	0.41182345150688954	-0.957234387811815
076hlg2u9qp5j02ui073rpxd	8	5	59	1.0	0.311	0.31561609769776866	-1.1988991189945073
0cpxpi0rwueyzwtmwm09r1gi	1	2	1	1.0	0.96375	0.9665467268879979	-0.04218167774577253
0cpxpi0rwueyzwtmwm09r1gi	2	2	6	1.0	0.684	0.6803929395689505	-0.4286174375708318
0cpxpi0rwueyzwtmwm09r1gi	3	3	15	0.0	0.4485	0.5406623016853458	-0.6807941779261992
0cpxpi0rwueyzwtmwm09r1gi	4	3	10	0.0	0.515	0.4795661481781211	-0.8992608216244999
0cpxpi0rwueyzwtmwm09r1gi	5	4	16	1.0	0.834	0.830443445875398	-0.24665046203821234
0cpxpi0rwueyzwtmwm09r1gi	6	4	17	0.0	0.49075	0.513896314751003	-0.7364515054118336
0cpxpi0rwueyzwtmwm09r1gi	7	5	52	1.0	0.35575	0.35279966000653645	-1.0870279546200114
0cpxpi0rwueyzwtmwm09r1gi	8	5	59	0.0	0.28825	0.7168910302338052	-0.3369719220951245
0elzwr27vqu4uwbj8gg93lug	1	2	19	1.0	0.82025	0.8263854059981093	-0.21316458534713614
0elzwr27vqu4uwbj8gg93lug	2	2	20	1.0	0.8625	0.8498559685658934	-0.1908525139142854
0elzwr27vqu4uwbj8gg93lug	3	3	11	1.0	0.72175	0.7205659660059353	-0.392095831014994
0elzwr27vqu4uwbj8gg93lug	4	3	18	0.0	0.74825	0.2587412347416454	-1.7007594494686766
0elzwr27vqu4uwbj8gg93lug	5	4	16	1.0	0.945	0.9451787472804497	-0.06714214338026339
0elzwr27vqu4uwbj8gg93lug	6	4	17	1.0	0.62525	0.6308746995838344	-0.5126346122353997
0elzwr27vqu4uwbj8gg93lug	7	5	52	1.0	0.456	0.45653217951212716	-0.8576503252187228
0elzwr27vqu4uwbj8gg93lug	8	5	59	0.0	0.33075	0.6635497120843898	-0.43555227529400053
10vsq79n9pi9zrrc7ihh4gpb	1	2	19	0.0	0.7845	0.216922139325368	-2.050180241778206
10vsq79n9pi9zrrc7ihh4gpb	2	2	20	1.0	0.815	0.8091963118807614	-0.2579060106601561
10vsq79n9pi9zrrc7ihh4gpb	3	3	11	1.0	0.66925	0.6680585696822459	-0.49390383727565934
10vsq79n9pi9zrrc7ihh4gpb	4	3	18	1.0	0.693	0.7073233922458814	-0.39205339877161133
10vsq79n9pi9zrrc7ihh4gpb	5	4	12	0.0	0.4635	0.5428139023454773	-0.7104077581587293
10vsq79n9pi9zrrc7ihh4gpb	6	4	23	1.0	0.87725	0.8834664724794513	-0.15280518867797882
10vsq79n9pi9zrrc7ihh4gpb	7	5	52	1.0	0.42625	0.4288770493127857	-0.9239422702602262
10vsq79n9pi9zrrc7ihh4gpb	8	5	59	1.0	0.31425	0.32784569706573163	-1.1731708372350487
1fpmgsend1l8bjvx30truqd4	1	2	1	1.0	0.988	0.9900505431005406	-0.010673622214276233
1fpmgsend1l8bjvx30truqd4	2	2	6	1.0	0.8065	0.8053502087860668	-0.24194656449292018
1fpmgsend1l8bjvx30truqd4	3	3	15	1.0	0.6115	0.609073882502494	-0.5694137461520923
1fpmgsend1l8bjvx30truqd4	4	3	10	0.0	0.69775	0.3089462666856612	-1.6890158179570371
1fpmgsend1l8bjvx30truqd4	5	4	16	1.0	0.93175	0.9372427234840853	-0.08056060049887727
1fpmgsend1l8bjvx30truqd4	6	4	17	1.0	0.62575	0.6299417809337935	-0.5235003174871372
1fpmgsend1l8bjvx30truqd4	7	5	52	1.0	0.467	0.46080097510698076	-0.862643015369647
1fpmgsend1l8bjvx30truqd4	8	5	59	1.0	0.34825	0.34849475216850173	-1.1299215237131173
1gbumjgvj8h8v6uiq4vwef7w	1	2	1	1.0	0.97725	0.9725153847267809	-0.03148095966192479
1gbumjgvj8h8v6uiq4vwef7w	2	2	6	0.0	0.693	0.3027856841870636	-1.439757653636179
1gbumjgvj8h8v6uiq4vwef7w	3	3	15	0.0	0.4825	0.5182363992030746	-0.7334784798064926
1gbumjgvj8h8v6uiq4vwef7w	4	3	10	1.0	0.56475	0.5635237887414921	-0.6668969793771892
1gbumjgvj8h8v6uiq4vwef7w	5	4	16	1.0	0.8465	0.8555709723706102	-0.20739725368493492
1gbumjgvj8h8v6uiq4vwef7w	6	4	17	1.0	0.5185	0.5117181500443251	-0.7346554109659111
1gbumjgvj8h8v6uiq4vwef7w	7	5	52	0.0	0.35275	0.6356155577380537	-0.47751353230687477
1gbumjgvj8h8v6uiq4vwef7w	8	5	59	0.0	0.28975	0.7097209431169929	-0.3509657211422171
1i2nvqvazywxiayn3v5v16ej	1	2	1	1.0	0.857	0.8700674173751851	-0.1818612046602786
1i2nvqvazywxiayn3v5v16ej	2	2	6	0.0	0.5135	0.49055125545320755	-0.7855150497952419
1i2nvqvazywxiayn3v5v16ej	3	3	11	0.0	0.35625	0.6427032714116802	-0.46681845977192177
1i2nvqvazywxiayn3v5v16ej	4	3	18	0.0	0.448	0.5592789462535923	-0.6227129767324088
1i2nvqvazywxiayn3v5v16ej	5	4	16	0.0	0.553	0.44573734452167985	-1.117972881574477
1i2nvqvazywxiayn3v5v16ej	6	4	17	0.0	0.35825	0.6296341820988341	-0.4820575297541749
1i2nvqvazywxiayn3v5v16ej	7	5	14	0.0	0.2855	0.7096300402359192	-0.34697656745613087
1i2nvqvazywxiayn3v5v16ej	8	5	26	1.0	0.35775	0.350018898984751	-1.0935447493106836
1wt4mr7p6qdp72srb0u5esx0	1	2	19	1.0	0.8315	0.8294684831406939	-0.208500388398011
1wt4mr7p6qdp72srb0u5esx0	2	2	20	1.0	0.85575	0.854809513034513	-0.1818516220696803
