"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1]",0.0892007191225599,0.00970673680218349,0.469809098662464,-0.859095942787158,-0.224692284719169,0.118412448724815,0.431766056805113,0.929646010205007,2342.59029080082,1.00131340878528
"beta[2]",-0.102722564394147,0.00733153974573349,0.368206671245655,-0.914014920103649,-0.327912738488666,-0.0836364522404888,0.140246153250712,0.57024118997865,2522.27780987717,1.00023693136248
"beta[3]",0.0391223185971036,0.00838886500449617,0.486959639518713,-0.973292381747808,-0.27335974903231,0.0662247241492498,0.382903458534273,0.89536700287712,3369.60910587262,0.999690971344295
"beta[4]",-0.200247061366824,0.00961260218703679,0.540636533617141,-1.34954665505451,-0.539331402141896,-0.173789866243004,0.171006773076192,0.772117102579673,3163.21594062232,1.0002759892314
"beta[5]",-2.59253909392293,0.00832307048168323,0.500530997151245,-3.64815866461664,-2.90294533978368,-2.57178251375905,-2.25834297854327,-1.67197019895448,3616.55280875155,0.999344829653433
"beta[6]",-0.692520861659814,0.00781538145411278,0.479128162314869,-1.6890729682916,-1.00555130456965,-0.676850541503872,-0.362351231343916,0.188465670856138,3758.40032867107,0.999644018089482
"beta[7]",-0.553390469537934,0.00751464371044335,0.381509143869041,-1.37361628146252,-0.793545450453643,-0.531178562563529,-0.294642634336747,0.126632655582614,2577.46700339619,1.00018914943017
"beta[8]",-0.258551557212228,0.00723936855395366,0.363478806426617,-1.00370115116644,-0.491283667929654,-0.256054689010483,-0.0140457867659429,0.431725512031892,2520.90693244663,0.999975277092808
"beta[9]",-0.36266078474415,0.0076579060168051,0.453455196587374,-1.294599553583,-0.654433349169693,-0.339124034290646,-0.0511776595338912,0.470442875567933,3506.29701824851,1.00104262398171
"beta[10]",0.288761561785329,0.00862158433855493,0.389051520809866,-0.541438861326161,0.0391874742428208,0.311974047685122,0.562006535572474,0.989461046355327,2036.29208307857,1.00062462644673
"beta[11]",0.120539764701043,0.00749889107466297,0.343817934256163,-0.564221708633827,-0.102710784899162,0.119549255014862,0.349446233346612,0.799101396794845,2102.14642102328,1.00044044333587
"beta[12]",1.07369331543889,0.0119601593820597,0.620903085760695,-0.305063652173631,0.69434864833454,1.11905344179032,1.48750090880357,2.2199451569029,2695.09266546627,1.00047931807889
"beta[13]",-1.32987452853337,0.00962533069414274,0.620517628963858,-2.5514604119718,-1.74505867968586,-1.31786069162364,-0.902564295933715,-0.135084892297954,4156.01331264965,1.00033528358429
"beta[14]",-1.65570354974826,0.00820614254671597,0.488651385935961,-2.6534424496434,-1.95428514473926,-1.63493940977516,-1.33061985677809,-0.749723935716259,3545.84833950561,1.00085779847319
"beta[15]",-0.0709903913481636,0.0101531914953869,0.498255291663454,-1.14207023065903,-0.388321936458026,-0.0420742039250506,0.260492642250072,0.869798269970652,2408.23400739062,0.999938582829877
"beta[16]",-0.395082875674843,0.00959334154132577,0.461135576128116,-1.38793324894389,-0.687382061354153,-0.376990190043147,-0.0821319975977277,0.447419027525881,2310.5610331496,1.00160046184754
"beta[17]",-0.348772890690649,0.00697643517203698,0.388714750856993,-1.19247634684392,-0.585935564310187,-0.320089498503796,-0.0869912259197526,0.373170928408626,3104.52325260309,1.00067891009087
"beta[18]",-0.0782652378565049,0.00793363469223165,0.461381674720918,-1.01542350719963,-0.367328431072883,-0.0593823369737568,0.234303316113507,0.791535290356161,3382.02087263005,1.00025216251024
"beta[19]",-1.0355755396996,0.00933001911915218,0.47356238392974,-2.05932853440402,-1.3312802687303,-1.00319708132548,-0.708848506296808,-0.195313174606714,2576.25785458308,0.999955109862272
"beta[20]",-1.24221029946783,0.0063662462916613,0.37639381138281,-2.02641924875374,-1.48982486236151,-1.2175960937757,-0.979749965926472,-0.566628470151409,3495.57058384821,1.00048061492993
"beta[21]",-0.303575062832045,0.012951383049495,0.650152712359155,-1.76355844439366,-0.704916714086555,-0.245139162640392,0.14175376206014,0.818944918073799,2519.98793175727,1.00042488306786
"beta[22]",-1.44899763433633,0.00823218716591352,0.464385764003661,-2.45140381901801,-1.74423634526643,-1.41420098525183,-1.13005645962977,-0.614195416854196,3182.19891715767,0.999754617558296
"beta[23]",-0.404070734836356,0.00812382176939568,0.426842603659211,-1.26715673401146,-0.686511738779502,-0.389980046162592,-0.114128788115317,0.413145182543802,2760.67159808486,1.00095431991289
"beta[24]",0.0641170939272033,0.00945257289553381,0.536984012639292,-1.03420160867985,-0.277537031922256,0.0699447465171165,0.421150355860116,1.08974991392207,3227.17592723101,0.999977865142448
"beta[25]",0.787289229777136,0.00764242675919715,0.454167834133551,-0.166993915728107,0.503895263691736,0.812958288119926,1.09307731127905,1.59678452206713,3531.58915476427,1.00048746986649
"beta[26]",-1.01018466382972,0.00917004671320232,0.534107778367734,-2.12034575850139,-1.35261710048952,-1.00111674559472,-0.639623470637742,-0.0167458960992262,3392.45979572708,0.999519597095245
"beta[27]",1.77576390314259,0.00725231036826587,0.455226244184242,0.927592490622371,1.46200575411246,1.75575709530746,2.07120614151162,2.73982505656697,3940.05078378272,1.00070196968234
"beta[28]",-1.00435746296877,0.00795175353943002,0.445671988170292,-1.98224656326417,-1.28933184533132,-0.975940142960352,-0.68738515195938,-0.2074883316556,3141.26702021048,0.999530370248537
"beta[29]",1.84791176926063,0.00930702134592869,0.505914313258461,0.926979238884759,1.50739070428731,1.81477576845367,2.16405365115684,2.93667798955821,2954.83009182512,1.00005412473198
"beta[30]",0.372087166353997,0.00973514884494965,0.542021021182697,-0.759700619486881,0.0213436359491908,0.404942611554384,0.767552120996539,1.31594874424532,3099.89560332027,1.00027876556655
