"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1]",-0.821009235445588,0.00695804005696384,0.510737861334562,-1.87642545608918,-1.15452724144468,-0.796559725216003,-0.46653602911785,0.128169482347555,5387.9338855243,1.00032310901763
"beta[2]",-0.482070662358778,0.00705387979520942,0.497003937614794,-1.54214577935711,-0.807068234226644,-0.475391359791489,-0.140525220393551,0.455240447173045,4964.36322576264,1.00026598982846
"beta[3]",2.43024748661685,0.00798121402167016,0.569242822712897,1.41299535524198,2.03316968866883,2.38612894665594,2.79602672555802,3.62849971927922,5086.94700593762,1.0004946427693
"beta[4]",-0.743655202819979,0.006128394819105,0.442061937451425,-1.6543359507157,-1.03537706131409,-0.725025091637637,-0.430656854272799,0.0591798110838346,5203.22698611626,1.00027633095415
"beta[5]",-0.532760344696395,0.00504053626046781,0.359146068759239,-1.29251244902542,-0.762013852812435,-0.506355598108919,-0.281249784799425,0.104677529368358,5076.78471661122,0.999613350902142
"beta[6]",0.230370264064672,0.00489949287226814,0.38429030526186,-0.536570742583672,-0.0142912195669017,0.236221189889804,0.488873898917371,0.966338339750144,6152.00381854104,0.999618133019426
"beta[7]",0.914807064073212,0.00679859951850669,0.520934158767957,-0.120090734543859,0.580630839165749,0.915640627959526,1.26279894628992,1.96079899033094,5871.19836330174,0.999788275700861
"beta[8]",0.912081757628972,0.00557345164768002,0.387411262936916,0.15106958059297,0.653112324644126,0.906096369915165,1.16707543101416,1.67001102716913,4831.65603642238,0.999702479769978
"beta[9]",-0.626601000358786,0.00617199784548609,0.427948702670179,-1.5412945883214,-0.891062689338879,-0.60605117233767,-0.335238993557308,0.136319234214836,4807.6395221247,1.00004449928992
"beta[10]",-0.479260328909463,0.00687306971247945,0.381226567766712,-1.2766987688717,-0.720634307282216,-0.456857734264672,-0.212421128176037,0.196919379326048,3076.55597011244,0.999672301422973
