Group,Item,N,Mean.correct,SE.correct,RT.median.corr,RT.IQR.corr,IES
total,1,648,97,1,2412,1579,2489
tf1,1,210,96,1,2406,1525,2514
tf2,1,212,97,1,2432,1660,2502
tf3,1,226,98,1,2398,1537,2452
total,2,654,97,1,4447,2513,4566
tf1,2,215,98,1,3933,2261,4008
tf2,2,211,99,1,4458,2595,4501
tf3,2,228,95,1,4902,2504,5150
total,3,646,98,1,2464,1188,2515
tf1,3,213,98,1,2570,1324,2619
tf2,3,209,97,1,2356,1175,2438
tf3,3,224,99,1,2488,1094,2510
total,4,653,99,0,3763,1710,3786
tf1,4,214,100,0,3776,1813,3776
tf2,4,212,99,1,3627,1712,3679
tf3,4,227,100,0,3879,1563,3896
total,5,647,100,0,2528,1381,2531
tf1,5,214,100,0,2641,1613,2641
tf2,5,210,100,0,2443,1544,2455
tf3,5,223,100,0,2479,1175,2479
total,6,642,78,2,9428,7129,12154
tf1,6,211,74,3,10712,8564,14488
tf2,6,208,84,3,7783,5861,9304
tf3,6,223,75,3,9754,8181,12947
total,7,644,98,1,5184,2923,5283
tf1,7,210,99,1,5044,2131,5092
tf2,7,208,99,1,4524,2777,4568
tf3,7,226,96,1,5903,3012,6120
total,8,643,85,1,7655,5596,9031
tf1,8,210,90,2,7776,5284,8595
tf2,8,209,79,3,7633,5924,9668
tf3,8,224,85,2,7502,5888,8844
total,9,653,94,1,5899,3017,6284
tf1,9,215,94,2,6841,3016,7245
tf2,9,209,94,2,5784,2878,6168
tf3,9,229,93,2,5138,2374,5499
total,10,630,53,2,15262,10196,28787
tf1,10,203,53,4,16808,10808,31594
tf2,10,205,61,3,14898,10150,24239
tf3,10,222,45,3,13734,9720,30489
total,11,628,59,2,13966,9770,23641
tf1,11,212,52,3,14261,7497,27237
tf2,11,200,62,3,13528,9944,21645
tf3,11,216,62,3,13932,11894,22291
total,12,622,25,2,16342,12690,64332
tf1,12,204,19,3,18075,10180,94546
tf2,12,201,27,3,17913,12127,65464
tf3,12,217,29,3,14724,12980,49924
total,13,619,49,2,17343,10754,35198
tf1,13,203,47,4,18484,11789,39085
tf2,13,202,51,4,17138,9221,33287
tf3,13,214,49,3,17331,11063,35322
total,14,607,37,2,18898,12920,50983
tf1,14,196,36,3,19444,13110,54445
tf2,14,196,40,4,16277,11247,40383
tf3,14,215,35,3,22014,11406,62276
total,15,641,56,2,13600,11373,24216
tf1,15,212,49,3,15784,12630,32176
tf2,15,207,62,3,12523,8083,20252
tf3,15,222,58,3,13724,11791,23803
total,16,647,89,1,7707,6052,8642
tf1,16,213,89,2,7717,5710,8651
tf2,16,210,87,2,8187,7028,9395
tf3,16,224,91,2,7514,5263,8251
total,17,638,59,2,13944,10089,23534
tf1,17,209,62,3,13335,10523,21605
tf2,17,205,53,3,13416,9502,25232
tf3,17,224,62,3,14891,9859,23826
total,18,626,41,2,15692,11098,38223
tf1,18,207,47,3,15983,8418,34108
tf2,18,199,27,3,14531,17122,54560
tf3,18,220,49,3,15462,9692,31791
total,19,635,82,2,7902,5100,9631
tf1,19,209,77,3,8972,4766,11719
tf2,19,206,83,3,8301,4528,10000
tf3,19,220,86,2,6618,4176,7663
total,20,629,67,2,12114,7182,18099
tf1,20,204,75,3,11138,6853,14754
tf2,20,206,58,3,12056,7325,20695
tf3,20,219,67,3,12978,7658,19335
total,21,596,49,2,16676,9658,33691
tf1,21,197,50,4,16800,7200,33430
tf2,21,194,51,4,16427,10485,32519
tf3,21,205,48,3,16821,12104,35187
total,22,596,82,2,7713,4963,9362
tf1,22,192,80,3,8420,5145,10566
tf2,22,195,86,3,7229,4226,8441
tf3,22,209,82,3,7659,5222,9361
total,23,591,81,2,9847,6226,12226
tf1,23,189,87,2,9686,5832,11095
tf2,23,194,80,3,9575,5920,11984
tf3,23,208,75,3,10742,6924,14323
total,24,553,41,2,15723,11576,38303
tf1,24,181,33,4,18420,9335,55569
tf2,24,182,46,4,15950,10522,34559
tf3,24,190,44,4,13945,10143,31922
total,25,542,77,2,9358,7050,12135
tf1,25,179,74,3,9167,7074,12431
tf2,25,177,79,3,9064,5950,11459
tf3,25,186,78,3,10063,6556,12820
total,26,509,36,2,17140,10786,47674
tf1,26,167,46,4,17502,9516,37959
tf2,26,170,34,4,16889,12181,50371
tf3,26,172,28,3,16081,12733,56448
total,27,477,54,2,11507,8290,21275
tf1,27,154,55,4,11043,7359,20007
tf2,27,159,53,4,11505,8194,21521
tf3,27,164,54,4,12036,8716,22431
total,28,438,57,2,13086,7615,22928
tf1,28,138,49,4,14140,6876,28696
tf2,28,149,70,4,10797,5431,15469
tf3,28,151,52,4,15460,8722,29929
total,29,392,62,2,11622,8504,18748
tf1,29,123,66,4,11131,6449,16903
tf2,29,140,63,4,12214,10167,19432
tf3,29,129,57,4,11196,7676,19516
total,30,348,60,3,9362,5374,15663
tf1,30,112,70,4,9723,4540,13961
tf2,30,124,53,4,9342,5138,17552
tf3,30,112,57,5,8536,6946,14937
total,31,316,55,3,11404,7901,20711
tf1,31,102,49,5,13516,7292,27574
tf2,31,111,62,5,10970,6973,17647
tf3,31,103,53,5,9659,9918,18089
total,32,288,56,3,8090,6122,14472
tf1,32,90,57,5,8038,4274,14185
tf2,32,106,52,5,8517,6318,16415
tf3,32,92,60,5,7790,7930,13031
total,33,253,60,3,6414,3698,10675
tf1,33,84,62,5,6268,3215,10124
tf2,33,85,60,5,5823,3275,9705
tf3,33,84,58,5,7661,5100,13133
total,34,233,37,3,8640,8548,23139
tf1,34,78,37,6,10067,11872,27077
tf2,34,80,49,6,8510,6382,17456
tf3,34,75,25,5,9642,11509,38061
total,35,210,42,3,8321,8830,19857
tf1,35,68,53,6,7935,8545,14988
tf2,35,72,32,6,9162,9349,28681
tf3,35,70,41,6,8362,10662,20184
total,36,191,36,3,6836,8263,19203
tf1,36,56,34,6,8763,7029,25828
tf2,36,73,36,6,6482,5282,18198
tf3,36,62,37,6,5049,10556,13610
total,37,176,36,4,8496,9960,23735
