subject,total_time,age,gender-categorical,gender-free-response,ethnicity,race,education
076hlg2u9qp5j02ui073rpxd,3.31975,32,Male,,Not Hispanic or Latino,['White'],Master degree or higher
0cpxpi0rwueyzwtmwm09r1gi,4.9178500000000005,32,Male,,Not Hispanic or Latino,['White'],Bachelor degree
0elzwr27vqu4uwbj8gg93lug,2.334566666666667,43,Male,,Not Hispanic or Latino,['White'],Bachelor degree
10vsq79n9pi9zrrc7ihh4gpb,2.8652333333333337,57,Female,,Not Hispanic or Latino,['White'],Bachelor degree
1fpmgsend1l8bjvx30truqd4,2.9818833333333337,41,Male,,Not Hispanic or Latino,['White'],Bachelor degree
1gbumjgvj8h8v6uiq4vwef7w,2.3788,27,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
1i2nvqvazywxiayn3v5v16ej,0.9800000000000001,36,Male,,Not Hispanic or Latino,['White'],Bachelor degree
1wt4mr7p6qdp72srb0u5esx0,2.807866666666667,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
1zskm2bzi8y5p5g4j8qhpdz6,2.40575,39,Female,,Not Hispanic or Latino,['White'],Bachelor degree
269f5wxawxko5vbndnerjhvt,2.0335833333333335,23,Female,,Rather not say,['White'],Bachelor degree
2h7dpwlrhggmhm1t3amwo0oj,2.52855,53,Male,,Not Hispanic or Latino,['White'],Master degree or higher
2vx94rtcv5761j9exne2q7tc,3.90835,44,Male,,Not Hispanic or Latino,['White'],Some college
35aldkywb2cdl1crrf5iyowk,1.9779166666666665,50,Female,,Not Hispanic or Latino,['White'],High school
3d10c17cmj2694l83ha5s0bz,3.4339999999999997,42,Female,,Not Hispanic or Latino,['White'],Associate degree
3ec999ycpel7dfncdwejf065,1.93745,35,Male,,Not Hispanic or Latino,['White'],Bachelor degree
3pb65a6ips5u5tm3kthitq9r,3.3832,36,Male,,Not Hispanic or Latino,['White'],Bachelor degree
47ykiekww9y3m9xiv79o4xp8,2.9961833333333336,45,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
4fqdfdjmop2egr2j5gwum6dv,3.29835,54,Male,,Not Hispanic or Latino,['White'],Bachelor degree
4usywut659xwn8vd8ebcvt9p,2.8935166666666663,41,Female,,Not Hispanic or Latino,['White'],Bachelor degree
4zcrmlklswop6kcqvyc11gdc,1.4285,30,Male,,Not Hispanic or Latino,['White'],Some college
58unjwdq1szxwtav4c281qfc,4.657666666666667,39,Female,,Not Hispanic or Latino,['White'],High school
5ad0fxo4nksxnoxek6jnwpqh,2.9598166666666668,49,Male,,Not Hispanic or Latino,['White'],High school
5b8sbhwigddofjapft20c4tv,3.1942833333333334,38,Male,,Not Hispanic or Latino,['White'],Bachelor degree
5d6jhia7y3nyo741tjb9vlsk,2.5822833333333337,27,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
5rnza8evzb7drfy8beyioein,2.8547000000000002,39,Male,,Not Hispanic or Latino,['White'],Master degree or higher
5t74t9y7ibglnlge2f71vyk2,1.4429666666666667,23,Male,,Not Hispanic or Latino,"['Black or African American', 'White']",Some college
5xsiamm1cbvk38j2nigikj6i,1.6727833333333335,31,Female,,Not Hispanic or Latino,['White'],Bachelor degree
6m37f5y8vcdo1b9utotly0oi,1.4783666666666666,30,Female,,Not Hispanic or Latino,['White'],Some college
6paqscjsfw9kpdn1lzg32po9,3.599066666666667,43,Male,,Not Hispanic or Latino,['White'],Bachelor degree
6yenwqo50hemozitvo738ila,3.2293666666666665,33,Female,,Not Hispanic or Latino,['White'],Some college
71e80tf73in7sys4sre6ajc3,2.9583999999999997,31,Male,,Not Hispanic or Latino,['White'],Bachelor degree
7c517gtaonz1mxh2s0meyyps,2.630333333333333,55,Female,,Not Hispanic or Latino,['White'],Some college
7gw2yagzw18akzx2c5jh8x0j,1.3537666666666666,54,Male,,Not Hispanic or Latino,['White'],Some college
7smbe5sw31ir72kkjh46hxb5,2.404516666666667,33,Female,,Not Hispanic or Latino,['White'],Bachelor degree
7x60mnzq9z7glfp22gmui82y,2.305266666666667,39,Male,,Not Hispanic or Latino,['White'],High school
861v0fk5nwd59atkvjagduyd,3.8137833333333333,34,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
916h4l4wzxi8bjye3bd741e6,2.1244,35,Male,,Hispanic or Latino,['White'],Bachelor degree
9bz0re3h0r0j1a0x8o4x5cie,2.794,54,Female,,Not Hispanic or Latino,['White'],Some college
9wubfmhiyu2ygfz2dasvibw0,2.0193,35,Other,nonbinary,Not Hispanic or Latino,['Asian'],Associate degree
a7xws1zeh1hi9810qv1e67u0,1.4285833333333333,28,Female,,Not Hispanic or Latino,['White'],Bachelor degree
amfgiujf84nee6xej79u94nz,3.4425000000000003,22,Male,,Hispanic or Latino,['Rather not say'],Some college
aovqgbv5rexwvxs4ngqdcuzf,3.22065,66,Female,,Not Hispanic or Latino,['White'],Some college
aqdtfik9c5jdgmgtj17n5s60,1.4706833333333333,44,Female,,Not Hispanic or Latino,['White'],High school
b0x8nafpqqyclhwanq3pkmb9,2.1696000000000004,42,Male,,Not Hispanic or Latino,['White'],Some college
b15a2vfqksmoc9tpyn31ffcd,2.147066666666667,53,Male,,Not Hispanic or Latino,['White'],Some college
b4cw2gdp51btdceicdu9q0oh,1.7666666666666666,37,Male,,Not Hispanic or Latino,['White'],Some college
bb967z2toxxn0x33ep6y7oro,1.7043333333333335,33,Male,,Not Hispanic or Latino,['White'],Bachelor degree
bg3bdltoygqx8m0nzt8ci6g6,2.466716666666667,32,Male,,Not Hispanic or Latino,['White'],Bachelor degree
bguww2kl1i4embfjm9cmy1oq,2.5282833333333334,46,Male,,Not Hispanic or Latino,['White'],Some college
bim3nfivv3jfscqect9yvn3i,1.9287333333333334,37,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
bmteqvb5orljgrihy986c136,2.1393833333333334,35,Male,,Not Hispanic or Latino,['White'],Bachelor degree
bnzoabc931851ubzsmnoh4jr,2.5187166666666667,53,Female,,Not Hispanic or Latino,"['Asian', 'White']",Bachelor degree
bqmggoo03ysfb6urpkfayu1l,3.04245,33,Female,,Not Hispanic or Latino,['White'],Master degree or higher
bvqzl9fx0jdq4vlm8w50jrwi,1.7851833333333333,42,Male,,Not Hispanic or Latino,['White'],High school
c6nqai3ppicym9vqexh80tg3,2.458466666666667,37,Male,,Not Hispanic or Latino,['White'],High school
ciet9vpu24uv7rxytk6tcxuu,3.1590833333333337,50,Female,,Not Hispanic or Latino,['White'],Bachelor degree
ckedf3b7jzqesg5lnjf5somo,2.4901833333333334,27,Female,,Not Hispanic or Latino,"['Black or African American', 'White']",Bachelor degree
cmfakatmv0nai6eflfnczpho,2.3834500000000003,41,Female,,Not Hispanic or Latino,"['Asian', 'White']",Bachelor degree
d2ko9mppeps02krwfyhdooah,3.9886166666666667,45,Male,,Not Hispanic or Latino,['White'],Some college
d79e6wzq7mnr7g3u6fyuxpyl,1.96725,39,Male,,Not Hispanic or Latino,['White'],Bachelor degree
dd4q0uzcr55cskrcz27z24sc,2.5717166666666667,35,Male,,Not Hispanic or Latino,['White'],Bachelor degree
ddz3bkstcj6vzqizcv08skck,3.1424666666666665,62,Male,,Not Hispanic or Latino,['White'],Some college
dj21a374lijvbrmhst2hd3b5,2.98165,50,Female,,Not Hispanic or Latino,['White'],Associate degree
dqv12yv7mc6sjik35hhojjm9,2.6759833333333334,30,Male,,Hispanic or Latino,['White'],Bachelor degree
e1db8635tk57zd1wfii8pub4,4.623083333333333,33,Male,,Hispanic or Latino,['Black or African American'],Master degree or higher
e1nl0grkiat5rfv52e7f9i82,3.6636666666666664,59,Male,,Not Hispanic or Latino,['White'],Bachelor degree
eh2ff5nnebaun0ukl8isoov6,2.5367166666666665,53,Female,,Not Hispanic or Latino,['White'],Bachelor degree
et1y68os2qkp3aphx26icrsj,0.81775,27,Female,,Not Hispanic or Latino,['White'],High school
fb7k4aysxa2o2pqr6x4tmws7,2.0343,34,Female,,Not Hispanic or Latino,['White'],Bachelor degree
fk10xuijobp50mlaq2y5y2ce,1.9807666666666668,39,Male,,Not Hispanic or Latino,['White'],Associate degree
fmxp3czl5pcqd9ww0gb2wxnu,2.411166666666667,32,Male,,Not Hispanic or Latino,['White'],Some college
fnrunzz344heazawmlln7qa8,1.1789333333333334,38,Male,,Not Hispanic or Latino,['White'],High school
fwofl8i6vltau2mue0te2hbl,1.9086166666666666,60,Male,,Not Hispanic or Latino,['White'],Some college
fwoi5lg70mtdde5g3akr9ecb,1.9314166666666668,37,Male,,Not Hispanic or Latino,['White'],Associate degree
gf0om5v1hgekkkb9sbeju4vk,4.014116666666667,26,Male,,Not Hispanic or Latino,['White'],High school
gno66up8i05lvmaecgnbwlcn,7.233616666666666,43,Male,,Not Hispanic or Latino,['White'],Bachelor degree
gpn8qich9rvm3wmacxs220fq,1.8106333333333333,36,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
hj99vydmh5ej5i9dnkwlrl8a,1.9796333333333334,27,Female,,Not Hispanic or Latino,['White'],Bachelor degree
hkaj2w2ieihsv4vt8myp7nyj,2.0591833333333334,27,Male,,Hispanic or Latino,['White'],High school
hm59giibm3v5mz759etodpks,2.3651333333333335,31,Male,,Not Hispanic or Latino,['White'],Bachelor degree
i3qzg4lnh302twn5jhnsxcot,2.84545,36,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
i4a29f5r5hfbpgssm2vjk741,2.1260166666666667,56,Female,,Not Hispanic or Latino,['White'],Bachelor degree
i4iqh3roj0xnxmoit1shq18t,1.9694,31,Male,,Not Hispanic or Latino,['Black or African American'],Bachelor degree
i7zrmmwvdnj5z4egmqshkxzy,2.8690333333333333,56,Female,,Not Hispanic or Latino,['White'],High school
igjmvdboset684mifuqojpij,1.8107333333333335,29,Female,,Not Hispanic or Latino,['White'],Bachelor degree
ikqcfr8gvb697kq3xjql5t80,2.286583333333333,27,Male,,Not Hispanic or Latino,['White'],Bachelor degree
ip976i3g4frmel44c8xbm6iy,2.26925,50,Female,,Not Hispanic or Latino,['White'],Associate degree
izjm4wjylx9ezfoipz0taful,2.5712166666666665,62,Female,,Not Hispanic or Latino,['White'],Bachelor degree
j9vb4rt311eml70hs1jq6hek,2.9092,34,Male,,Not Hispanic or Latino,['White'],High school
jdpiwwidqfq7f857a4nss1m5,2.1759166666666667,63,Female,,Not Hispanic or Latino,['White'],High school
jf62ky1ybuaf1tdqwxu02ej9,3.2498,51,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
jgsxr1bmtcsohmexq5w51rkt,3.186583333333333,42,Female,,Not Hispanic or Latino,['White'],Associate degree
jgvrtxnptfze90i4jc2j3s3m,2.7772333333333337,29,Male,,Not Hispanic or Latino,['White'],Some college
jms40b92b01ep1j8lq3tmodd,2.2568,64,Female,,Not Hispanic or Latino,['White'],Bachelor degree
jn4jqdnicw40wwcl7nhvjno3,2.7471666666666668,65,Female,,Not Hispanic or Latino,['White'],Bachelor degree
