name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-1100.0	0.64	17.0	-1100.0	-1100.0	-1000.0	710.0	17.0	1.0
theta[1]	0.17	0.011	0.76	-1.1	0.17	1.4	4381.0	107.0	1.0
theta[2]	-0.34	0.01	0.69	-1.5	-0.34	0.78	4398.0	107.0	1.0
theta[3]	0.53	0.01	0.71	-0.65	0.53	1.7	4667.0	114.0	1.0
theta[4]	0.3	0.012	0.77	-0.97	0.3	1.6	4212.0	103.0	1.0
theta[5]	0.51	0.015	0.8	-0.8	0.5	1.9	2761.0	67.0	1.0
theta[6]	-0.19	0.011	0.71	-1.4	-0.18	0.94	3946.0	96.0	1.0
theta[7]	-1.3	0.0088	0.6	-2.4	-1.3	-0.38	4734.0	116.0	1.0
theta[8]	0.54	0.01	0.68	-0.54	0.54	1.7	4217.0	103.0	1.0
theta[9]	0.089	0.011	0.67	-1.1	0.1	1.2	4002.0	98.0	1.0
theta[10]	0.76	0.012	0.8	-0.55	0.76	2.1	4394.0	107.0	1.0
theta[11]	0.93	0.011	0.75	-0.33	0.93	2.2	4589.0	112.0	1.0
theta[12]	-0.78	0.011	0.68	-2.0	-0.75	0.28	4098.0	100.0	1.0
theta[13]	-0.63	0.0092	0.64	-1.7	-0.6	0.36	4775.0	117.0	1.0
theta[14]	0.29	0.01	0.66	-0.81	0.29	1.4	4015.0	98.0	1.0
theta[15]	-0.18	0.011	0.64	-1.3	-0.15	0.84	3245.0	79.0	1.0
theta[16]	0.64	0.01	0.75	-0.62	0.66	1.8	5115.0	125.0	1.0
theta[17]	0.37	0.012	0.74	-0.86	0.37	1.6	3626.0	89.0	1.0
theta[18]	0.4	0.011	0.75	-0.86	0.42	1.6	5121.0	125.0	1.0
theta[19]	0.094	0.0092	0.66	-1.0	0.11	1.1	5128.0	125.0	1.0
theta[20]	-0.22	0.01	0.67	-1.3	-0.21	0.84	4300.0	105.0	1.0
theta[21]	-0.3	0.01	0.66	-1.4	-0.27	0.77	4091.0	100.0	1.0
theta[22]	-0.29	0.011	0.66	-1.4	-0.29	0.77	3592.0	88.0	1.0
theta[23]	0.75	0.011	0.73	-0.42	0.75	1.9	4432.0	108.0	1.0
theta[24]	0.06	0.011	0.68	-1.1	0.069	1.2	4123.0	101.0	1.0
theta[25]	-0.031	0.01	0.67	-1.2	-0.021	1.1	4294.0	105.0	1.0
theta[26]	-0.44	0.012	0.66	-1.6	-0.41	0.59	2891.0	71.0	1.0
theta[27]	-0.0012	0.012	0.71	-1.2	0.00073	1.2	3790.0	93.0	1.0
theta[28]	-1.2	0.0095	0.66	-2.4	-1.2	-0.2	4858.0	119.0	1.0
theta[29]	0.057	0.0098	0.68	-1.1	0.054	1.2	4783.0	117.0	1.0
theta[30]	-0.47	0.011	0.71	-1.7	-0.45	0.66	4008.0	98.0	1.0
theta[31]	0.73	0.011	0.74	-0.47	0.73	1.9	4928.0	120.0	1.0
theta[32]	-0.55	0.012	0.71	-1.8	-0.51	0.59	3520.0	86.0	1.0
theta[33]	-0.22	0.012	0.74	-1.4	-0.21	0.97	3753.0	92.0	1.0
theta[34]	0.46	0.012	0.73	-0.73	0.45	1.7	3946.0	96.0	1.0
theta[35]	0.56	0.011	0.72	-0.63	0.56	1.7	4450.0	109.0	1.0
theta[36]	0.21	0.012	0.7	-0.96	0.23	1.3	3405.0	83.0	1.0
theta[37]	-1.0	0.01	0.72	-2.2	-1.0	0.16	4695.0	115.0	1.0
theta[38]	0.071	0.011	0.74	-1.1	0.064	1.3	4712.0	115.0	1.0
theta[39]	0.72	0.01	0.74	-0.52	0.74	1.9	5211.0	127.0	1.0
theta[40]	0.95	0.011	0.74	-0.32	0.98	2.1	4897.0	120.0	1.0
theta[41]	1.3	0.011	0.74	0.1	1.3	2.5	4446.0	109.0	1.0
theta[42]	-0.037	0.01	0.69	-1.2	-0.036	1.1	4372.0	107.0	1.0
theta[43]	0.082	0.01	0.62	-0.97	0.095	1.1	3582.0	88.0	1.0
theta[44]	0.77	0.011	0.74	-0.43	0.77	2.0	4575.0	112.0	1.0
theta[45]	0.6	0.0095	0.71	-0.59	0.62	1.7	5531.0	135.0	1.0
theta[46]	-0.4	0.01	0.72	-1.6	-0.36	0.75	4639.0	113.0	1.0
theta[47]	-0.091	0.011	0.64	-1.2	-0.068	0.9	3593.0	88.0	1.0
theta[48]	0.018	0.01	0.66	-1.1	0.035	1.1	4249.0	104.0	1.0
theta[49]	-0.56	0.01	0.67	-1.7	-0.54	0.49	4027.0	98.0	1.0
theta[50]	0.4	0.011	0.74	-0.82	0.41	1.6	4240.0	104.0	1.0
theta[51]	-0.24	0.0098	0.67	-1.4	-0.23	0.89	4749.0	116.0	1.0
theta[52]	-0.97	0.012	0.7	-2.1	-0.99	0.21	3391.0	83.0	1.0
theta[53]	0.041	0.0092	0.64	-1.0	0.061	1.1	4916.0	120.0	1.0
theta[54]	0.91	0.012	0.76	-0.34	0.91	2.1	4166.0	102.0	1.0
theta[55]	-0.37	0.012	0.75	-1.6	-0.38	0.88	4138.0	101.0	1.0
theta[56]	0.69	0.014	0.79	-0.54	0.67	2.0	3368.0	82.0	1.0
theta[57]	0.77	0.011	0.78	-0.51	0.78	2.0	4630.0	113.0	1.0
theta[58]	0.88	0.012	0.72	-0.27	0.88	2.1	3390.0	83.0	1.0
theta[59]	0.99	0.011	0.77	-0.27	0.99	2.2	4918.0	120.0	1.0
theta[60]	0.72	0.011	0.76	-0.52	0.73	2.0	4570.0	112.0	1.0
theta[61]	-0.73	0.016	0.75	-1.9	-0.77	0.59	2248.0	55.0	1.0
theta[62]	0.19	0.015	0.8	-1.1	0.2	1.5	2734.0	67.0	1.0
theta[63]	0.79	0.01	0.7	-0.31	0.76	1.9	4684.0	114.0	1.0
theta[64]	-0.055	0.0094	0.68	-1.2	-0.038	1.0	5277.0	129.0	1.0
theta[65]	-1.3	0.009	0.64	-2.3	-1.3	-0.25	4984.0	122.0	1.0
theta[66]	1.4	0.0098	0.74	0.17	1.4	2.6	5734.0	140.0	1.0
theta[67]	-1.5	0.0086	0.65	-2.7	-1.5	-0.5	5709.0	139.0	1.0
theta[68]	-0.16	0.0096	0.7	-1.3	-0.16	0.99	5268.0	129.0	1.0
theta[69]	-1.0	0.0099	0.64	-2.1	-0.95	-0.0034	4187.0	102.0	1.0
theta[70]	-1.5	0.009	0.65	-2.6	-1.4	-0.47	5187.0	127.0	1.0
theta[71]	1.3	0.01	0.77	0.018	1.3	2.5	5535.0	135.0	1.0
theta[72]	-1.5	0.0089	0.63	-2.6	-1.5	-0.51	4948.0	121.0	1.0
theta[73]	0.048	0.01	0.71	-1.1	0.061	1.2	4730.0	116.0	1.0
theta[74]	0.0086	0.01	0.67	-1.1	0.032	1.1	4523.0	110.0	1.0
theta[75]	0.34	0.01	0.67	-0.77	0.35	1.4	4512.0	110.0	1.0
theta[76]	-0.059	0.012	0.71	-1.2	-0.036	1.0	3634.0	89.0	1.0
theta[77]	0.28	0.013	0.82	-1.1	0.29	1.6	4204.0	103.0	1.0
theta[78]	0.57	0.013	0.78	-0.68	0.56	1.9	3563.0	87.0	1.0
theta[79]	0.049	0.009	0.66	-1.1	0.052	1.1	5327.0	130.0	1.0
theta[80]	0.34	0.013	0.79	-0.95	0.34	1.7	3871.0	95.0	1.0
theta[81]	0.53	0.0099	0.72	-0.64	0.54	1.7	5313.0	130.0	1.0
theta[82]	0.75	0.015	0.87	-0.69	0.76	2.1	3182.0	78.0	1.0
theta[83]	-0.064	0.0094	0.65	-1.1	-0.05	0.99	4843.0	118.0	1.0
theta[84]	-0.51	0.0093	0.65	-1.6	-0.47	0.53	4884.0	119.0	1.0
theta[85]	0.066	0.012	0.7	-1.1	0.074	1.2	3704.0	90.0	1.0
