seed,param,trial,latent,predicted,stdev
43,theta,1,0.49988,1.06833,0.561022
43,theta,2,-0.290245,-0.786612,0.558645
43,theta,3,-1.387255,-1.466195,0.606051
43,theta,4,-2.618213,-2.584875,0.715439
43,theta,5,0.886955,1.32313,0.630053
43,theta,6,0.119211,0.249917,0.540349
43,theta,7,0.423769,0.106113,0.491212
43,theta,8,-0.526196,-0.950124,0.558134
43,theta,9,-0.393389,-0.412242,0.514834
43,theta,10,-0.117587,-0.412126,0.494529
43,theta,11,-1.464925,-1.93457,0.639646
43,theta,12,-1.104599,-0.853513,0.524509
43,theta,13,-0.923654,-0.750468,0.632306
43,theta,14,2.496532,2.493885,0.711183
43,theta,15,1.381251,2.488875,0.748857
43,theta,16,-0.032461,-0.232138,0.539862
43,theta,17,-1.700618,-1.734235,0.691564
43,theta,18,-0.154786,-1.160275,0.590654
43,theta,19,-0.415307,-0.065301,0.511386
43,theta,20,-0.843036,-1.0791,0.637633
43,theta,21,-0.636142,-0.384296,0.49142
43,theta,22,0.587656,0.771619,0.555501
43,theta,23,1.602143,1.650715,0.679884
43,theta,24,0.852836,0.864439,0.514231
43,theta,25,0.336737,-0.359485,0.534665
43,theta,26,-2.028746,-1.942775,0.653427
43,theta,27,1.0102,1.217,0.633801
43,theta,28,-1.681914,-1.05417,0.554194
43,theta,29,0.383147,1.05522,0.67161
43,theta,30,-1.321143,-1.544565,0.619068
43,theta,31,-1.512348,-1.86017,0.626014
43,theta,32,-0.037172,-0.11353,0.607944
43,theta,33,-0.586429,-0.919312,0.590253
43,theta,34,-0.587773,-0.800738,0.582697
43,theta,35,1.995766,1.527755,0.576183
43,theta,36,0.188357,-0.537742,0.55708
43,theta,37,0.381118,0.020363,0.578835
43,theta,38,0.595072,1.52559,0.655705
43,theta,39,-0.669626,-1.19586,0.593433
43,theta,40,0.014424,-0.223402,0.565177
43,theta,41,1.824326,2.0529,0.686305
43,theta,42,0.331579,0.861064,0.520289
43,theta,43,-0.162055,-0.560396,0.657801
43,theta,44,1.144117,0.346186,0.512077
43,theta,45,-0.223976,-0.025603,0.571686
