seed,param,trial,latent,predicted,stdev
84,theta,1,-1.032356,-1.072855,0.494651
84,theta,2,1.814327,1.65174,0.549618
84,theta,3,-0.799408,-0.76554,0.496959
84,theta,4,0.136245,0.205176,0.554903
84,theta,5,0.325837,0.411762,0.48577
84,theta,6,0.376368,0.361074,0.4916
84,theta,7,1.219897,1.63381,0.581677
84,theta,8,-0.379572,-0.740787,0.561867
84,theta,9,-0.339852,-0.255148,0.464097
84,theta,10,1.1082,0.845346,0.47915
84,theta,11,0.151116,0.328121,0.5135
84,theta,12,-0.546319,-1.206555,0.48173
84,theta,13,0.2536,-0.059673,0.516561
84,theta,14,1.749094,1.446655,0.567281
84,theta,15,-0.140756,0.117274,0.547944
84,theta,16,-0.91415,-1.140825,0.581569
84,theta,17,0.395827,0.898141,0.516051
84,theta,18,0.841521,1.12828,0.566213
84,theta,19,-0.70022,-0.004697,0.452033
84,theta,20,-1.325049,-1.266505,0.589842
84,theta,21,-0.26646,-0.362993,0.459681
84,theta,22,1.979434,1.523625,0.547921
84,theta,23,1.728824,0.78364,0.505987
84,theta,24,0.635565,0.145378,0.453421
84,theta,25,0.257508,-0.559431,0.526048
84,theta,26,-0.717078,-0.996476,0.475449
84,theta,27,-0.291831,-0.058574,0.508279
84,theta,28,-0.248596,-0.543141,0.495561
84,theta,29,0.005771,-0.379497,0.431515
84,theta,30,1.063766,0.61743,0.571387
84,theta,31,-1.911169,-1.374775,0.56244
84,theta,32,0.409651,0.581564,0.495521
84,theta,33,-0.823749,-0.474588,0.430893
84,theta,34,-0.285023,0.483336,0.47937
84,theta,35,0.166497,-0.075277,0.458542
84,theta,36,-0.529465,0.157944,0.420175
84,theta,37,-0.997981,-0.037337,0.50449
84,theta,38,0.512626,0.66998,0.529022
84,theta,39,-0.291926,0.049455,0.475357
84,theta,40,-1.043117,-0.093386,0.480985
84,theta,41,2.693742,1.463785,0.547968
84,theta,42,-0.578722,-0.775611,0.47832
84,theta,43,0.147263,0.444956,0.471396
84,theta,44,-0.631096,-0.916392,0.495564
84,theta,45,0.579087,0.858942,0.55538
84,theta,46,-0.374131,-0.162688,0.443888
84,theta,47,0.752868,0.331708,0.53248
84,theta,48,-1.041694,-0.74225,0.507677
84,theta,49,2.458827,2.1676,0.645886
84,theta,50,-0.53703,-0.778496,0.549858
84,theta,51,0.696864,1.785675,0.571148
84,theta,52,0.672973,0.776318,0.49943
84,theta,53,0.967381,1.310625,0.567959
84,theta,54,-0.102258,0.2614,0.484144
84,theta,55,-0.119825,-0.508095,0.519878
84,theta,56,1.216317,-0.27297,0.504965
84,theta,57,1.502912,1.842505,0.60978
84,theta,58,-1.17137,-0.675581,0.538673
84,theta,59,-0.629259,-1.00425,0.507191
84,theta,60,1.637452,1.478055,0.563404
84,theta,61,-0.345021,-0.19363,0.463519
84,theta,62,-0.669802,-0.38261,0.516723
84,theta,63,0.468881,0.027349,0.480301
84,theta,64,-1.708734,-1.88729,0.597046
84,theta,65,-0.166963,-0.138265,0.461059
84,theta,66,0.637905,0.309964,0.440311
84,theta,67,-0.378023,-0.412168,0.51843
84,theta,68,-0.169478,-0.153706,0.434511
84,theta,69,-0.279143,0.276268,0.439302
84,theta,70,-0.327102,0.288796,0.465572
84,theta,71,-0.809373,-0.547763,0.504928
84,theta,72,-0.09663,-0.047659,0.453453
84,theta,73,-0.239364,0.002596,0.47037
84,theta,74,0.439257,0.431227,0.457683
84,theta,75,1.35716,-0.266684,0.461604
84,theta,76,-0.834814,-0.522116,0.514417
84,theta,77,1.223706,1.17049,0.570516
84,theta,78,-0.490023,-0.538424,0.480234
84,theta,79,-1.008687,-1.0051,0.473469
84,theta,80,1.198815,1.065335,0.492882
