seed,param,trial,latent,predicted,stdev
18,theta,1,-0.661505,-0.305061,0.397573
18,theta,2,0.009818,0.39202,0.344047
18,theta,3,-1.477717,-1.313625,0.436122
18,theta,4,-0.446158,0.560196,0.370456
18,theta,5,-1.118111,-0.516381,0.398577
18,theta,6,-0.059381,-0.362314,0.351961
18,theta,7,1.45095,1.59283,0.466943
18,theta,8,0.703386,1.306535,0.477932
18,theta,9,1.804801,1.35529,0.453517
18,theta,10,1.128541,0.86948,0.407324
18,theta,11,2.10656,2.222445,0.523789
18,theta,12,-2.020671,-1.138475,0.450914
18,theta,13,-0.605804,-0.829623,0.460546
18,theta,14,-0.488257,-0.128398,0.351831
18,theta,15,-1.330743,-1.41103,0.483688
18,theta,16,-0.625847,-1.061435,0.418168
18,theta,17,-0.148898,0.352228,0.37858
18,theta,18,-0.485681,-0.984386,0.433737
18,theta,19,1.005162,1.901135,0.501453
18,theta,20,-0.936749,-0.929356,0.461316
18,theta,21,-0.966379,-0.364041,0.358052
18,theta,22,-0.516823,-0.529899,0.380572
18,theta,23,1.756602,1.43369,0.433767
18,theta,24,1.032996,1.435055,0.488998
18,theta,25,-1.225537,-0.560442,0.429933
18,theta,26,-0.357223,-0.426512,0.354319
18,theta,27,-0.518676,-0.200759,0.357612
18,theta,28,0.821703,0.658778,0.364581
18,theta,29,-1.024481,-0.972954,0.429711
18,theta,30,-0.142695,0.237913,0.367314
18,theta,31,-0.645757,-0.62972,0.382527
18,theta,32,-0.187537,-0.278194,0.370053
18,theta,33,-0.369769,-0.627948,0.376693
18,theta,34,0.170577,-0.131382,0.345612
18,theta,35,-0.330068,-0.188846,0.364831
18,theta,36,-0.641868,-0.165784,0.440404
18,theta,37,1.044848,0.614118,0.362287
18,theta,38,-1.569254,-0.613374,0.393915
18,theta,39,0.513684,0.06726,0.392779
18,theta,40,-0.547196,-0.826972,0.399519
18,theta,41,-0.481793,-0.696679,0.365806
18,theta,42,-1.745093,-1.516095,0.469124
18,theta,43,-0.696306,-1.34324,0.450378
18,theta,44,0.153593,0.040832,0.393664
18,theta,45,0.016875,0.061021,0.362638
18,theta,46,0.565398,0.52646,0.382033
18,theta,47,1.065055,0.810044,0.391848
18,theta,48,1.615293,1.259265,0.474654
18,theta,49,-1.055498,-0.267844,0.413396
18,theta,50,-0.783215,-0.869404,0.42266
18,theta,51,-1.02707,-0.862076,0.3666
18,theta,52,0.617184,-0.060093,0.379833
18,theta,53,1.20066,1.08252,0.408787
18,theta,54,0.086254,-0.506962,0.418196
18,theta,55,1.070581,1.019655,0.414706
18,theta,56,2.06688,2.31303,0.527243
18,theta,57,-0.645995,-0.966474,0.442866
18,theta,58,-0.708699,-0.642612,0.374396
18,theta,59,-0.615535,-0.525414,0.364975
18,theta,60,0.189194,0.688582,0.437787
18,theta,61,1.497176,0.92257,0.40451
18,theta,62,-0.690772,-0.151138,0.372931
18,theta,63,1.426836,1.253355,0.444083
18,theta,64,-0.29263,-0.635355,0.412839
18,theta,65,-0.406193,-0.061936,0.35708
18,theta,66,-0.21347,-0.028018,0.39385
18,theta,67,-1.439181,-1.08336,0.421042
18,theta,68,0.393612,-0.154514,0.386299
18,theta,69,-0.346695,-0.192424,0.421166
18,theta,70,2.540574,3.02648,0.601563
18,theta,71,-0.234622,0.060621,0.394688
18,theta,72,0.634356,0.900291,0.416068
18,theta,73,-0.229378,-0.328648,0.421192
18,theta,74,-0.800284,-0.52444,0.372116
18,theta,75,-0.255592,-0.222914,0.330308
18,theta,76,1.885165,1.05043,0.440757
18,theta,77,0.167785,0.221126,0.386629
18,theta,78,-0.084324,0.156982,0.374463
18,theta,79,-0.610082,-0.419147,0.355658
18,theta,80,-1.182001,-1.435325,0.484471
18,theta,81,0.409345,0.122406,0.369098
18,theta,82,-0.601775,0.130651,0.411193
18,theta,83,-1.462707,-1.26238,0.479132
18,theta,84,-0.715003,-0.987986,0.461668
18,theta,85,-2.064409,-1.67596,0.502096
18,theta,86,-0.762638,-0.404572,0.375567
18,theta,87,1.161683,1.25696,0.424336
18,theta,88,-1.334825,-0.658868,0.401042
18,theta,89,-1.634456,-1.803155,0.520169
18,theta,90,0.286302,-0.120399,0.408794
18,theta,91,1.97489,1.50558,0.491003
18,theta,92,-0.663111,-0.375081,0.375303
18,theta,93,0.977754,0.476339,0.323589
18,theta,94,0.091412,-0.278755,0.385132
18,theta,95,-0.257773,-0.494568,0.361472
18,theta,96,2.86071,2.194955,0.524952
18,theta,97,-1.227916,-0.960072,0.377575
