seed,param,trial,latent,predicted,stdev
2,theta,1,0.348582,0.287611,0.461985
2,theta,2,0.478137,0.491452,0.522559
2,theta,3,-0.420508,-0.312774,0.513932
2,theta,4,-0.06699,-0.933538,0.502773
2,theta,5,0.317092,0.276258,0.479348
2,theta,6,-0.141127,-0.689173,0.418788
2,theta,7,2.584207,1.619485,0.571367
2,theta,8,0.17896,1.049555,0.560233
2,theta,9,0.676164,0.527081,0.481751
2,theta,10,0.010068,0.322766,0.463313
2,theta,11,0.295833,0.429987,0.502897
2,theta,12,0.751365,0.829797,0.489961
2,theta,13,0.687052,0.071742,0.465784
2,theta,14,-0.024732,0.408761,0.441577
2,theta,15,-0.746948,-0.684575,0.499417
2,theta,16,-0.697239,-0.40112,0.483834
2,theta,17,0.514791,0.300854,0.456464
2,theta,18,0.527078,0.619509,0.514554
2,theta,19,0.655435,-0.105026,0.529989
2,theta,20,-0.02142,-0.213195,0.513311
2,theta,21,-1.316303,-0.912393,0.509268
2,theta,22,-0.320974,-0.323515,0.471519
2,theta,23,0.151657,0.116352,0.458565
2,theta,24,0.376863,0.583185,0.462102
2,theta,25,0.687037,0.796823,0.526843
2,theta,26,0.093108,-0.493493,0.436825
2,theta,27,-0.771029,-0.349032,0.465071
2,theta,28,0.222347,-0.089758,0.483683
2,theta,29,0.868706,0.24977,0.501663
2,theta,30,-0.287479,-0.8995,0.563164
2,theta,31,-0.408529,-0.83532,0.478598
2,theta,32,0.301566,-0.205734,0.453729
2,theta,33,1.2958,1.033535,0.495674
2,theta,34,0.220325,0.699791,0.524116
2,theta,35,0.389116,0.310339,0.498766
2,theta,36,1.308819,1.367635,0.541995
2,theta,37,-0.216276,-0.724505,0.50384
2,theta,38,0.659886,1.17094,0.533654
2,theta,39,-1.616063,-1.040145,0.486909
2,theta,40,1.033931,0.906478,0.469103
2,theta,41,0.821589,0.618956,0.544547
2,theta,42,-1.659889,-1.0029,0.537154
2,theta,43,-0.26719,-0.696555,0.445861
2,theta,44,-0.092738,-0.652778,0.49806
2,theta,45,0.093176,-0.299138,0.467242
2,theta,46,0.057153,0.215575,0.525302
2,theta,47,0.503595,0.905922,0.513782
2,theta,48,-0.478084,0.119244,0.523553
2,theta,49,0.441723,-0.321964,0.464105
2,theta,50,0.960857,1.07488,0.578766
2,theta,51,0.036704,-0.29548,0.424645
2,theta,52,-0.477468,-0.439298,0.512033
2,theta,53,0.721708,0.577576,0.489701
2,theta,54,-0.339864,-0.551176,0.461015
2,theta,55,-0.227986,0.297025,0.441995
2,theta,56,-1.172593,-1.74982,0.562767
2,theta,57,0.737176,0.189995,0.483417
2,theta,58,-0.477839,0.49846,0.457019
2,theta,59,0.06911,0.218977,0.487169
2,theta,60,0.347474,0.51089,0.498714
2,theta,61,-0.534712,-0.47592,0.462586
2,theta,62,-0.018937,-0.13324,0.420284
2,theta,63,-0.036025,-0.477524,0.507066
2,theta,64,-0.364845,-1.10518,0.466424
2,theta,65,1.185838,1.847085,0.601838
2,theta,66,1.872244,1.524905,0.589419
2,theta,67,-2.287056,-1.20754,0.544885
2,theta,68,-2.256843,-1.832745,0.58157
2,theta,69,-1.291467,-1.19275,0.522186
2,theta,70,-1.145727,-0.756623,0.52964
2,theta,71,0.722326,0.875568,0.496253
2,theta,72,-0.400707,-0.401122,0.466804
2,theta,73,0.437341,0.5676,0.46863
2,theta,74,1.354345,0.817395,0.497407
2,theta,75,2.713465,1.832015,0.619934
2,theta,76,1.066309,1.05645,0.542443
2,theta,77,1.834368,1.461845,0.601052
2,theta,78,0.142907,0.333838,0.494167
2,theta,79,-0.939831,-0.237412,0.479672
2,theta,80,-1.089675,-1.0417,0.485652
2,theta,81,0.494847,-0.230158,0.504067
2,theta,82,0.140573,0.221718,0.477039
2,theta,83,1.412153,1.87297,0.631989
2,theta,84,0.465783,0.260359,0.450835
2,theta,85,1.532987,0.999203,0.505377
2,theta,86,0.620226,0.050544,0.498649
2,theta,87,-0.615985,-0.977542,0.52118
2,theta,88,1.065,0.436017,0.481733
2,theta,89,-0.457135,-1.154495,0.495499
2,theta,90,1.591873,1.11849,0.510052
2,theta,91,1.144024,0.23495,0.498698
2,theta,92,0.696266,0.944278,0.511179
2,theta,93,-0.733403,-0.641763,0.483598
2,theta,94,-1.546212,-1.234765,0.519443
2,theta,95,-2.055464,-1.08766,0.46968
2,theta,96,2.149494,1.495185,0.605408
2,theta,97,1.166622,1.35472,0.578364
2,theta,98,0.107101,-0.275166,0.430863
2,theta,99,-1.838625,-1.03704,0.509887
2,theta,100,-0.164566,-0.376696,0.452379
2,theta,101,0.090659,-0.118328,0.439072
2,theta,102,-1.467097,-1.32355,0.529122
2,theta,103,-1.046779,-0.689054,0.44773
2,theta,104,0.364607,0.813632,0.535869
2,theta,105,0.458274,0.417879,0.505012
2,theta,106,-0.821099,-0.835127,0.47875
2,theta,107,-0.357633,-0.607369,0.484963
2,theta,108,-1.285276,-0.978663,0.478337
2,theta,109,-0.913631,-0.727554,0.469504
2,theta,110,0.087647,0.228853,0.518588
2,theta,111,0.534605,0.675898,0.463146
2,theta,112,1.003109,0.805949,0.499437
2,theta,113,1.022596,0.643068,0.48632
2,theta,114,0.210876,0.271615,0.459975
2,theta,115,1.160495,0.970647,0.53901
2,theta,116,0.932489,1.72883,0.585746
2,theta,117,-0.729746,-0.31843,0.484714
2,theta,118,1.907522,1.06471,0.517942
2,theta,119,-0.060962,0.126711,0.490728
2,theta,120,-0.878951,-0.718372,0.434263
2,theta,121,-0.196055,-0.009573,0.512614
2,theta,122,0.934244,0.257418,0.487445
2,theta,123,-1.919242,-1.101635,0.469936
2,theta,124,-0.12471,0.002675,0.453709
2,theta,125,0.098551,0.001735,0.427359
2,theta,126,0.105042,-0.192646,0.478062
2,theta,127,0.042963,0.166086,0.496688
2,theta,128,0.108013,-0.154832,0.47278
2,theta,129,1.044613,0.59766,0.498763
2,theta,130,1.788039,0.889518,0.500622
2,theta,131,1.049004,0.175074,0.486644
2,theta,132,-0.037941,0.613236,0.497569
2,theta,133,1.643078,1.115065,0.520471
2,theta,134,-0.418634,0.006682,0.523751
2,theta,135,-0.246354,0.101203,0.416867
2,theta,136,0.032542,-0.533418,0.462514
2,theta,137,-1.166304,-0.70348,0.455013
2,theta,138,-1.557108,-1.16202,0.516753
2,theta,139,-1.053626,-1.156345,0.515409
2,theta,140,0.922216,1.18878,0.488198
2,theta,141,0.207271,0.971626,0.508206
2,theta,142,-0.758967,-1.38664,0.516935
2,theta,143,0.009319,-1.39937,0.501119
2,theta,144,-0.976139,-0.40256,0.476279
2,theta,145,-0.051879,0.123197,0.446015
2,theta,146,0.540956,0.29435,0.45036
2,theta,147,-0.626704,-0.036262,0.45691
2,theta,148,-1.280372,-0.25854,0.49812
2,theta,149,-0.243945,-0.744553,0.480458
2,theta,150,2.130006,1.38383,0.566937
2,theta,151,-0.127652,-0.056578,0.459307
2,theta,152,-0.279791,0.166062,0.483196
2,theta,153,-0.655673,-0.619192,0.438045
2,theta,154,-0.727498,-1.20749,0.51005
2,theta,155,-1.22404,-0.948326,0.431687
2,theta,156,-1.191384,-1.02358,0.535965
2,theta,157,-1.083306,-0.612091,0.473444
2,theta,158,-1.149672,-1.05644,0.501593
2,theta,159,2.066185,1.244485,0.544054
2,theta,160,-1.109986,-1.8539,0.569168
2,theta,161,-0.480499,-0.736069,0.445508
2,theta,162,-0.760905,-0.557778,0.490884
2,theta,163,-0.064719,-0.36664,0.412777
2,theta,164,0.237241,-0.599233,0.486367
2,theta,165,-1.186337,-0.771756,0.473575
2,theta,166,0.597099,0.632674,0.57563
2,theta,167,-0.86602,-0.750114,0.531661
2,theta,168,0.809544,-0.012427,0.472547
2,theta,169,-0.152846,-0.2823,0.407936
2,theta,170,0.178985,0.417199,0.468705
2,theta,171,2.690586,1.178545,0.571128
2,theta,172,-1.620526,-1.26174,0.522684
2,theta,173,1.04598,0.357143,0.477803
2,theta,174,1.645557,0.964104,0.480175
2,theta,175,2.416582,1.901155,0.62871
2,theta,176,0.035857,-0.444882,0.475503
2,theta,177,-0.912676,-1.00645,0.49304
2,theta,178,-2.238203,-2.00467,0.572154
2,theta,179,1.094498,0.882322,0.493212
2,theta,180,0.718468,0.296273,0.447278
2,theta,181,0.969293,0.991574,0.577194
2,theta,182,-0.391126,-0.109982,0.486263
2,theta,183,0.452031,0.873698,0.556992
2,theta,184,-2.151182,-1.56265,0.533513
2,theta,185,-1.091792,-1.615095,0.574827
2,theta,186,-0.591887,-0.81879,0.475098
2,theta,187,-0.979252,-0.785427,0.502421
2,theta,188,1.392354,0.771995,0.481324
2,theta,189,0.981219,0.956238,0.527015
2,theta,190,-0.627069,-0.783302,0.481748
2,theta,191,1.04491,0.385218,0.488718
2,theta,192,1.893883,1.2609,0.518246
2,theta,193,-0.364584,-0.526598,0.472616
2,theta,194,2.046844,1.783785,0.583262
2,theta,195,1.151144,0.549772,0.566378
2,theta,196,1.747976,0.677796,0.518913
2,theta,197,0.027839,-1.150695,0.501403
2,theta,198,0.442148,1.484795,0.539106
2,theta,199,0.000926,0.311556,0.471658
2,theta,200,0.266353,-0.157909,0.51738
2,theta,201,1.215933,0.692426,0.529119
2,theta,202,0.176663,-0.141882,0.525053
2,theta,203,0.351826,0.621072,0.470232
2,theta,204,-1.976677,-1.336985,0.52854
2,theta,205,0.025382,0.142171,0.433497
2,theta,206,-1.392774,-1.01748,0.489644
2,theta,207,0.793116,0.99453,0.504131
2,theta,208,1.755399,1.324675,0.580733
2,theta,209,-1.772292,-0.558762,0.56304
2,theta,210,-1.845107,-1.356485,0.534646
2,theta,211,0.305601,1.056585,0.503058
2,theta,212,0.816936,-0.149155,0.461042
2,theta,213,0.497684,0.469398,0.46496
2,theta,214,-1.406927,-1.340705,0.530171
2,theta,215,-1.948764,-1.53376,0.56062
2,theta,216,0.788976,0.583234,0.494007
2,theta,217,-0.597925,-0.625665,0.476789
2,theta,218,0.433363,1.28473,0.52916
2,theta,219,0.019047,0.414726,0.496279
2,theta,220,1.529353,0.736611,0.494983
2,theta,221,0.803409,1.953735,0.624353
2,theta,222,0.027087,0.714022,0.470628
2,theta,223,0.425128,-0.16466,0.515352
2,theta,224,0.14005,0.265309,0.528864
2,theta,225,-0.55986,-1.22353,0.529844
2,theta,226,-0.516836,-0.586796,0.489969
2,theta,227,0.140283,0.629088,0.476322
2,theta,228,0.710156,1.06017,0.478317
2,theta,229,0.064063,-0.9615,0.49287
2,theta,230,-0.751811,-0.97915,0.505518
2,theta,231,0.725419,0.85213,0.455812
2,theta,232,0.431068,0.740501,0.510034
2,theta,233,2.111794,2.039905,0.612568
2,theta,234,0.487244,0.152109,0.487825
2,theta,235,-1.013111,-1.140455,0.49936
2,theta,236,-0.674737,-0.415,0.551541
2,theta,237,0.428258,0.461608,0.488636
2,theta,238,-0.519042,-0.149474,0.443423
2,theta,239,-0.450063,-0.738098,0.464658
