seed,param,trial,latent,predicted,stdev
11,theta,1,-0.636528,-0.434714,0.448151
11,theta,2,0.593241,0.396584,0.466539
11,theta,3,0.885681,0.897312,0.479945
11,theta,4,-0.960232,-0.642914,0.4911
11,theta,5,2.686872,1.36804,0.531491
11,theta,6,0.17582,-0.071356,0.464341
11,theta,7,-0.313631,0.309077,0.453095
11,theta,8,-0.937558,-1.114895,0.510713
11,theta,9,0.599967,0.645089,0.532522
11,theta,10,1.839047,0.907548,0.480169
11,theta,11,0.487748,-0.087267,0.42572
11,theta,12,-0.709629,-0.576544,0.435775
11,theta,13,-1.823947,-1.32161,0.538757
11,theta,14,1.09414,0.344706,0.486235
11,theta,15,-0.299217,-0.095409,0.42405
11,theta,16,0.304879,0.698138,0.514619
11,theta,17,0.838053,0.911801,0.472014
11,theta,18,-0.299565,-0.495064,0.463653
11,theta,19,1.216815,0.764769,0.491141
11,theta,20,0.273214,0.422208,0.445689
11,theta,21,2.671739,2.143925,0.618549
11,theta,22,-0.208018,-0.512069,0.464225
11,theta,23,-0.178221,0.379033,0.49085
11,theta,24,-0.180265,-0.73772,0.487623
11,theta,25,-1.349566,-0.969317,0.509754
11,theta,26,-0.4381,-0.346221,0.418791
11,theta,27,0.306773,0.781961,0.491975
11,theta,28,-0.057852,0.311586,0.487609
11,theta,29,0.256985,0.673003,0.489215
11,theta,30,-0.552049,-0.720188,0.443184
11,theta,31,-0.693522,-1.108205,0.49846
11,theta,32,-0.515996,-0.466485,0.420353
11,theta,33,-0.503954,-0.189714,0.478943
11,theta,34,-0.834977,-1.20143,0.511167
11,theta,35,1.446831,1.11864,0.540685
11,theta,36,2.142467,1.58129,0.592936
11,theta,37,1.251498,0.509655,0.445917
11,theta,38,1.553026,1.208415,0.506536
11,theta,39,-1.977934,-1.738675,0.585759
11,theta,40,-0.280432,-0.536866,0.501383
11,theta,41,-0.185704,1.13644,0.524156
11,theta,42,-1.51685,-1.716415,0.562629
11,theta,43,0.513726,0.986666,0.499377
11,theta,44,-1.121557,-0.62963,0.458377
11,theta,45,-0.97691,-0.846244,0.474766
11,theta,46,0.34107,0.374966,0.491743
11,theta,47,0.304995,0.374602,0.415111
11,theta,48,0.279064,0.610264,0.455673
11,theta,49,-0.920652,-0.860122,0.470714
11,theta,50,2.081793,2.070955,0.594479
11,theta,51,-1.019016,-0.368461,0.448036
11,theta,52,-2.250644,-1.73698,0.598395
11,theta,53,1.330696,1.251485,0.518753
11,theta,54,-1.034398,-0.202408,0.471373
11,theta,55,-0.14468,-0.92222,0.445503
11,theta,56,1.068155,0.706096,0.478795
11,theta,57,-1.744107,-1.425715,0.554617
11,theta,58,-0.949118,-0.735074,0.489457
11,theta,59,1.349203,0.882728,0.482588
11,theta,60,0.550677,0.959954,0.523775
11,theta,61,0.054818,0.513031,0.530802
11,theta,62,-0.685618,-0.660768,0.448803
11,theta,63,0.200461,0.412746,0.443598
11,theta,64,0.730868,0.639501,0.476744
11,theta,65,0.050774,-0.701194,0.472785
11,theta,66,0.903082,1.90547,0.630193
11,theta,67,0.986472,1.06087,0.492372
11,theta,68,-1.239236,-0.439678,0.462202
11,theta,69,-1.298818,-1.384345,0.551684
11,theta,70,0.332753,0.313699,0.45913
11,theta,71,-1.117973,-0.081899,0.437545
11,theta,72,-1.779913,-0.811522,0.532721
11,theta,73,-0.1203,0.72379,0.502298
11,theta,74,1.376429,0.890962,0.545103
11,theta,75,-0.348723,-0.334952,0.462761
11,theta,76,-0.278874,-0.098869,0.465352
11,theta,77,-0.43915,-1.05117,0.507539
11,theta,78,0.434622,0.0536,0.448243
11,theta,79,0.012692,-0.866898,0.564272
11,theta,80,-0.756423,-1.81897,0.604813
11,theta,81,-1.514387,-1.055555,0.530125
11,theta,82,-0.549919,-0.451398,0.475831
11,theta,83,-0.961592,-1.150515,0.53156
11,theta,84,-0.533121,-1.44941,0.554901
11,theta,85,-0.570217,-0.773105,0.448424
11,theta,86,-0.315322,-0.804174,0.48477
11,theta,87,-1.539015,-0.905861,0.487857
11,theta,88,-0.849941,-0.747562,0.486377
11,theta,89,0.810341,1.02347,0.525273
11,theta,90,-0.624491,-0.654189,0.508136
11,theta,91,0.165201,0.641975,0.513698
11,theta,92,-0.388952,-0.514565,0.502712
