seed,param,trial,latent,predicted,stdev
29,theta,1,-0.505716,-0.771896,0.427189
29,theta,2,-0.778154,-0.208282,0.385327
29,theta,3,0.680776,0.629335,0.431459
29,theta,4,-1.944301,-0.615858,0.474054
29,theta,5,0.245974,-0.204964,0.422108
29,theta,6,-0.402493,0.275808,0.344421
29,theta,7,-0.615605,-0.779788,0.422753
29,theta,8,0.433322,0.101599,0.457127
29,theta,9,-0.119078,-0.144423,0.476909
29,theta,10,1.667272,1.07729,0.485176
29,theta,11,0.8093,0.551194,0.43006
29,theta,12,-0.010427,-0.002038,0.431902
29,theta,13,-0.613678,-0.574726,0.474768
29,theta,14,0.550258,-0.163747,0.407307
29,theta,15,1.484092,1.081055,0.451125
29,theta,16,-0.653034,0.187551,0.370609
29,theta,17,-2.192652,-1.570305,0.498671
29,theta,18,0.786991,0.418312,0.400668
29,theta,19,1.427719,-0.096846,0.521124
29,theta,20,0.658463,0.366039,0.403351
29,theta,21,0.028262,-0.407045,0.423267
29,theta,22,0.256756,0.724784,0.476493
29,theta,23,0.430249,0.389173,0.393316
29,theta,24,-1.587604,-0.756413,0.498847
29,theta,25,-3.047558,-1.42758,0.553375
29,theta,26,1.440917,1.14457,0.449487
29,theta,27,-0.055579,-0.686688,0.490574
29,theta,28,1.581897,1.16332,0.491423
29,theta,29,2.098026,1.011915,0.453309
29,theta,30,0.602307,1.533015,0.477865
29,theta,31,-1.819685,-0.707944,0.435643
29,theta,32,0.814916,0.713655,0.467597
29,theta,33,0.659837,0.12089,0.373759
29,theta,34,-1.330179,-1.164265,0.475834
29,theta,35,0.361818,-0.056344,0.432613
29,theta,36,-1.262399,-0.643657,0.443641
29,theta,37,-1.287994,-0.739706,0.409229
29,theta,38,-1.28387,-0.666094,0.465243
29,theta,39,0.985816,0.07113,0.427768
29,theta,40,1.487578,1.6846,0.520162
29,theta,41,-0.814177,-0.619813,0.492702
29,theta,42,1.305988,1.20706,0.474383
29,theta,43,0.54818,1.211175,0.478786
29,theta,44,0.487676,0.092085,0.496277
29,theta,45,-0.438758,-0.668264,0.444184
29,theta,46,-0.551278,-1.06377,0.509177
29,theta,47,-0.785234,-0.686222,0.399099
