subject,trial,item_set,item,dimension,test_form,shape_set,distractor,choice,accuracy,rt,minimum_resolution,browser_interactions
01b653iwjusnxf359qk7596t,1,3,22,2,1,3,pd,0.0,1.0,6.088,1,0.0
01b653iwjusnxf359qk7596t,2,3,28,2,2,2,md,0.0,1.0,12.884,1,0.0
01b653iwjusnxf359qk7596t,3,3,70,2,2,2,md,0.0,1.0,7.699,1,0.0
01b653iwjusnxf359qk7596t,4,3,51,2,1,2,pd,0.0,1.0,9.247,1,0.0
01b653iwjusnxf359qk7596t,5,3,11,3,1,1,pd,3.0,0.0,6.396,1,0.0
01b653iwjusnxf359qk7596t,6,3,31,3,2,2,md,1.0,0.0,10.662,1,0.0
01b653iwjusnxf359qk7596t,7,3,17,4,2,3,md,2.0,0.0,13.843,1,0.0
01b653iwjusnxf359qk7596t,8,3,62,3,1,1,pd,0.0,1.0,11.4,1,0.0
01b653iwjusnxf359qk7596t,9,3,42,4,1,2,pd,1.0,0.0,16.601,1,0.0
01b653iwjusnxf359qk7596t,10,3,60,4,2,1,md,0.0,1.0,18.384,1,0.0
01b653iwjusnxf359qk7596t,11,3,52,5,1,3,pd,0.0,1.0,24.616,1,0.0
01b653iwjusnxf359qk7596t,12,3,63,5,2,1,md,3.0,0.0,19.049,1,0.0
01b653iwjusnxf359qk7596t,13,3,46,6,1,3,pd,0.0,1.0,10.405,1,0.0
01b653iwjusnxf359qk7596t,14,3,54,6,2,1,md,3.0,0.0,13.536,1,0.0
01b653iwjusnxf359qk7596t,15,3,78,7,2,1,md,3.0,0.0,28.942,1,0.0
01b653iwjusnxf359qk7596t,16,3,30,7,1,2,pd,0.0,1.0,16.371,1,0.0
020ngoo3mx8enry0p43zo2a2,1,3,39,2,3,3,md,0.0,1.0,9.036,1,0.0
020ngoo3mx8enry0p43zo2a2,2,3,22,2,3,1,pd,0.0,1.0,9.507,1,0.0
020ngoo3mx8enry0p43zo2a2,3,3,65,2,3,2,md,0.0,1.0,8.028,1,0.0
020ngoo3mx8enry0p43zo2a2,4,3,61,2,3,1,md,0.0,1.0,13.844,1,0.0
020ngoo3mx8enry0p43zo2a2,5,3,18,3,3,3,md,3.0,0.0,14.8,1,0.0
020ngoo3mx8enry0p43zo2a2,6,3,34,3,3,1,pd,0.0,1.0,17.586,1,0.0
020ngoo3mx8enry0p43zo2a2,7,3,58,3,3,1,md,0.0,1.0,25.224,1,0.0
020ngoo3mx8enry0p43zo2a2,8,3,16,4,3,1,pd,0.0,1.0,7.35,1,0.0
020ngoo3mx8enry0p43zo2a2,9,3,23,4,3,2,pd,0.0,1.0,7.409,1,0.0
020ngoo3mx8enry0p43zo2a2,10,3,79,4,3,1,md,3.0,0.0,21.499,1,0.0
020ngoo3mx8enry0p43zo2a2,11,3,52,5,3,1,md,2.0,0.0,14.604,1,0.0
020ngoo3mx8enry0p43zo2a2,12,3,59,5,3,2,md,0.0,1.0,17.168,1,0.0
020ngoo3mx8enry0p43zo2a2,13,3,64,6,3,1,md,0.0,1.0,17.636,1,0.0
020ngoo3mx8enry0p43zo2a2,14,3,76,5,3,1,pd,3.0,0.0,9.442,1,0.0
020ngoo3mx8enry0p43zo2a2,15,3,30,7,3,3,md,0.0,1.0,14.014,1,0.0
020ngoo3mx8enry0p43zo2a2,16,3,35,8,3,2,md,0.0,1.0,22.771,1,0.0
0374obg53yvd969wid8t8a71,1,3,25,2,2,2,pd,0.0,1.0,6.812,1,0.0
0374obg53yvd969wid8t8a71,2,3,22,2,1,3,md,0.0,1.0,13.089,1,0.0
0374obg53yvd969wid8t8a71,3,3,71,2,2,3,pd,0.0,1.0,8.169,1,0.0
0374obg53yvd969wid8t8a71,4,3,49,2,1,3,md,0.0,1.0,10.797,1,0.0
0374obg53yvd969wid8t8a71,5,3,11,3,1,1,md,,,,1,0.0
0374obg53yvd969wid8t8a71,6,3,34,3,2,2,pd,0.0,1.0,14.444,1,0.0
0374obg53yvd969wid8t8a71,7,3,77,3,2,3,pd,2.0,0.0,24.825,1,0.0
0374obg53yvd969wid8t8a71,8,3,58,3,1,3,md,0.0,1.0,10.796,1,0.0
0374obg53yvd969wid8t8a71,9,3,79,4,2,2,pd,0.0,1.0,24.34,1,0.0
0374obg53yvd969wid8t8a71,10,3,40,4,1,3,md,0.0,1.0,14.471,1,0.0
0374obg53yvd969wid8t8a71,11,3,14,5,1,1,md,0.0,1.0,12.093,1,0.0
0374obg53yvd969wid8t8a71,12,3,63,5,2,1,pd,0.0,1.0,10.789,1,0.0
0374obg53yvd969wid8t8a71,13,3,54,6,2,1,pd,0.0,1.0,18.407,1,0.0
0374obg53yvd969wid8t8a71,14,3,44,6,1,1,md,0.0,1.0,10.62,1,0.0
0374obg53yvd969wid8t8a71,15,3,35,8,2,3,pd,0.0,1.0,12.195,1,0.0
0374obg53yvd969wid8t8a71,16,3,29,7,1,1,md,1.0,0.0,16.757,1,0.0
03i65ytrhnqf85c2lvnzb2ov,1,3,28,2,1,3,md,1.0,0.0,4.405,1,0.0
03i65ytrhnqf85c2lvnzb2ov,2,3,20,2,2,3,pd,0.0,1.0,3.59,1,0.0
03i65ytrhnqf85c2lvnzb2ov,3,3,61,2,2,2,pd,0.0,1.0,4.112,1,0.0
03i65ytrhnqf85c2lvnzb2ov,4,3,70,2,1,3,md,0.0,1.0,6.953,1,0.0
03i65ytrhnqf85c2lvnzb2ov,5,3,15,3,2,1,pd,0.0,1.0,5.666,1,0.0
03i65ytrhnqf85c2lvnzb2ov,6,3,34,3,1,3,md,2.0,0.0,6.97,1,0.0
03i65ytrhnqf85c2lvnzb2ov,7,3,77,3,1,1,md,0.0,1.0,9.575,1,0.0
03i65ytrhnqf85c2lvnzb2ov,8,3,69,3,2,1,pd,0.0,1.0,7.247,1,0.0
03i65ytrhnqf85c2lvnzb2ov,9,3,72,4,1,2,md,1.0,0.0,6.772,1,0.0
03i65ytrhnqf85c2lvnzb2ov,10,3,42,4,2,1,pd,0.0,1.0,13.082,1,0.0
03i65ytrhnqf85c2lvnzb2ov,11,3,52,5,2,2,pd,3.0,0.0,9.005,1,0.0
03i65ytrhnqf85c2lvnzb2ov,12,3,59,5,1,1,md,0.0,1.0,12.913,1,0.0
03i65ytrhnqf85c2lvnzb2ov,13,3,54,6,1,2,md,3.0,0.0,9.026,1,0.0
03i65ytrhnqf85c2lvnzb2ov,14,3,76,5,2,2,pd,0.0,1.0,8.704,1,0.0
03i65ytrhnqf85c2lvnzb2ov,15,3,45,7,1,2,md,3.0,0.0,6.194,1,0.0
03i65ytrhnqf85c2lvnzb2ov,16,3,29,7,2,3,pd,2.0,0.0,8.004,1,0.0
03kchft085vfxle00q8hevgc,1,3,39,2,3,3,md,0.0,1.0,9.567,1,0.0
03kchft085vfxle00q8hevgc,2,3,19,2,3,1,md,0.0,1.0,4.468,1,0.0
03kchft085vfxle00q8hevgc,3,3,50,2,3,2,md,0.0,1.0,10.462,1,0.0
03kchft085vfxle00q8hevgc,4,3,10,3,3,1,pd,0.0,1.0,15.342,1,0.0
03kchft085vfxle00q8hevgc,5,3,11,3,3,2,md,0.0,1.0,17.048,1,0.0
03kchft085vfxle00q8hevgc,6,3,37,3,3,1,md,1.0,0.0,8.145,1,0.0
03kchft085vfxle00q8hevgc,7,3,58,3,3,1,pd,0.0,1.0,7.981,1,0.0
03kchft085vfxle00q8hevgc,8,3,17,4,3,2,md,3.0,0.0,20.697,1,0.0
03kchft085vfxle00q8hevgc,9,3,73,4,3,1,pd,0.0,1.0,11.128,1,0.0
03kchft085vfxle00q8hevgc,10,3,40,4,3,1,pd,0.0,1.0,9.367,1,0.0
03kchft085vfxle00q8hevgc,11,3,80,4,3,2,md,2.0,0.0,9.922,1,0.0
03kchft085vfxle00q8hevgc,12,3,59,5,3,2,pd,0.0,1.0,20.774,1,0.0
03kchft085vfxle00q8hevgc,13,3,44,6,3,2,md,2.0,0.0,9.052,1,0.0
03kchft085vfxle00q8hevgc,14,3,75,6,3,3,md,2.0,0.0,10.525,1,0.0
03kchft085vfxle00q8hevgc,15,3,29,7,3,2,pd,0.0,1.0,10.571,1,0.0
03kchft085vfxle00q8hevgc,16,3,35,8,3,2,pd,0.0,1.0,10.678,1,0.0
04ztrq5buvo8zbw7gxrwd722,1,3,28,2,3,1,pd,1.0,0.0,4.545,1,0.0
04ztrq5buvo8zbw7gxrwd722,2,3,6,2,3,3,md,1.0,0.0,10.149,1,0.0
04ztrq5buvo8zbw7gxrwd722,3,3,49,2,3,1,md,2.0,0.0,4.893,1,0.0
04ztrq5buvo8zbw7gxrwd722,4,3,70,2,3,1,pd,0.0,1.0,7.516,1,0.0
04ztrq5buvo8zbw7gxrwd722,5,3,11,3,3,2,pd,0.0,1.0,11.051,1,0.0
04ztrq5buvo8zbw7gxrwd722,6,3,31,3,3,1,pd,3.0,0.0,5.513,1,0.0
04ztrq5buvo8zbw7gxrwd722,7,3,58,3,3,1,md,1.0,0.0,14.409,1,0.0
04ztrq5buvo8zbw7gxrwd722,8,3,16,4,3,1,pd,1.0,0.0,2.434,1,0.0
04ztrq5buvo8zbw7gxrwd722,9,3,60,4,3,3,pd,3.0,0.0,2.165,1,0.0
04ztrq5buvo8zbw7gxrwd722,10,3,42,4,3,3,pd,2.0,0.0,8.605,1,0.0
04ztrq5buvo8zbw7gxrwd722,11,3,14,5,3,2,md,1.0,0.0,2.7,1,0.0
04ztrq5buvo8zbw7gxrwd722,12,3,74,5,3,2,pd,3.0,0.0,2.486,1,0.0
04ztrq5buvo8zbw7gxrwd722,13,3,36,6,3,3,md,2.0,0.0,3.826,1,0.0
04ztrq5buvo8zbw7gxrwd722,14,3,54,6,3,3,md,3.0,0.0,6.573,1,0.0
04ztrq5buvo8zbw7gxrwd722,15,3,29,7,3,2,md,1.0,0.0,4.772,1,0.0
04ztrq5buvo8zbw7gxrwd722,16,3,66,8,3,3,md,2.0,0.0,8.364,1,0.0
06hmew4su9ph9i5gigwdmwr4,1,3,47,2,2,3,md,1.0,0.0,15.821,1,0.0
06hmew4su9ph9i5gigwdmwr4,2,3,20,2,1,1,pd,0.0,1.0,8.242,1,0.0
06hmew4su9ph9i5gigwdmwr4,3,3,50,2,1,1,pd,2.0,0.0,13.718,1,0.0
06hmew4su9ph9i5gigwdmwr4,4,3,71,2,2,3,md,0.0,1.0,10.712,1,0.0
06hmew4su9ph9i5gigwdmwr4,5,3,34,3,2,2,md,0.0,1.0,11.69,1,0.0
06hmew4su9ph9i5gigwdmwr4,6,3,15,3,1,2,pd,0.0,1.0,15.769,1,0.0
06hmew4su9ph9i5gigwdmwr4,7,3,16,4,2,2,md,0.0,1.0,5.421,1,0.0
06hmew4su9ph9i5gigwdmwr4,8,3,56,3,1,1,pd,0.0,1.0,8.835,1,0.0
06hmew4su9ph9i5gigwdmwr4,9,3,60,4,2,1,md,0.0,1.0,18.137,1,0.0
06hmew4su9ph9i5gigwdmwr4,10,3,40,4,1,3,pd,0.0,1.0,15.653,1,0.0
06hmew4su9ph9i5gigwdmwr4,11,3,59,5,2,3,md,3.0,0.0,24.939,1,0.0
06hmew4su9ph9i5gigwdmwr4,12,3,52,5,1,3,pd,0.0,1.0,17.967,1,0.0
06hmew4su9ph9i5gigwdmwr4,13,3,64,6,2,2,md,0.0,1.0,28.605,1,0.0
06hmew4su9ph9i5gigwdmwr4,14,3,44,6,1,1,pd,0.0,1.0,13.894,1,0.0
06hmew4su9ph9i5gigwdmwr4,15,3,35,8,2,3,md,0.0,1.0,23.969,1,0.0
06hmew4su9ph9i5gigwdmwr4,16,3,29,7,1,1,pd,0.0,1.0,11.687,1,0.0
06ul9f2coolrse6pnzjrdmbc,1,3,25,2,1,3,pd,0.0,1.0,23.86,1,0.0
06ul9f2coolrse6pnzjrdmbc,2,3,22,2,2,2,md,0.0,1.0,25.005,1,0.0
06ul9f2coolrse6pnzjrdmbc,3,3,70,2,1,3,pd,0.0,1.0,5.426,1,0.0
06ul9f2coolrse6pnzjrdmbc,4,3,50,2,2,3,md,0.0,1.0,15.671,1,0.0
06ul9f2coolrse6pnzjrdmbc,5,3,31,3,1,3,pd,0.0,1.0,16.151,1,0.0
06ul9f2coolrse6pnzjrdmbc,6,3,11,3,2,3,md,0.0,1.0,18.734,1,0.0
06ul9f2coolrse6pnzjrdmbc,7,3,56,3,2,3,md,2.0,0.0,24.426,1,0.0
06ul9f2coolrse6pnzjrdmbc,8,3,17,4,1,1,pd,0.0,1.0,28.964,1,0.0
06ul9f2coolrse6pnzjrdmbc,9,3,73,4,1,3,pd,0.0,1.0,29.816,1,0.0
06ul9f2coolrse6pnzjrdmbc,10,3,53,4,2,3,md,3.0,0.0,28.759,1,0.0
06ul9f2coolrse6pnzjrdmbc,11,3,80,4,2,3,md,0.0,1.0,18.788,1,0.0
06ul9f2coolrse6pnzjrdmbc,12,3,67,5,1,3,pd,0.0,1.0,13.813,1,0.0
06ul9f2coolrse6pnzjrdmbc,13,3,55,6,1,3,pd,0.0,1.0,9.877,1,0.0
06ul9f2coolrse6pnzjrdmbc,14,3,46,6,2,2,md,1.0,0.0,27.552,1,0.0
06ul9f2coolrse6pnzjrdmbc,15,3,24,7,2,1,md,0.0,1.0,21.461,1,0.0
06ul9f2coolrse6pnzjrdmbc,16,3,78,7,1,2,pd,1.0,0.0,23.152,1,0.0
08p6c81b1uflp82myo5nw9dl,1,3,19,2,1,3,md,0.0,1.0,5.003,1,0.0
08p6c81b1uflp82myo5nw9dl,2,3,25,2,2,2,pd,0.0,1.0,11.512,1,0.0
08p6c81b1uflp82myo5nw9dl,3,3,70,2,2,2,pd,0.0,1.0,6.023,1,0.0
08p6c81b1uflp82myo5nw9dl,4,3,61,2,1,3,md,0.0,1.0,16.316,1,0.0
08p6c81b1uflp82myo5nw9dl,5,3,27,3,2,1,pd,3.0,0.0,25.588,1,0.0
08p6c81b1uflp82myo5nw9dl,6,3,18,3,1,2,md,3.0,0.0,23.023,1,0.0
08p6c81b1uflp82myo5nw9dl,7,3,16,4,2,2,pd,0.0,1.0,11.929,1,0.0
08p6c81b1uflp82myo5nw9dl,8,3,69,3,1,2,md,0.0,1.0,27.643,1,0.0
08p6c81b1uflp82myo5nw9dl,9,3,42,4,1,2,md,3.0,0.0,18.948,1,0.0
08p6c81b1uflp82myo5nw9dl,10,3,60,4,2,1,pd,,,,1,0.0
08p6c81b1uflp82myo5nw9dl,11,3,63,5,2,1,pd,2.0,0.0,25.835,1,0.0
08p6c81b1uflp82myo5nw9dl,12,3,26,5,1,1,md,2.0,0.0,28.712,1,0.0
08p6c81b1uflp82myo5nw9dl,13,3,36,6,1,2,md,2.0,0.0,27.733,1,0.0
08p6c81b1uflp82myo5nw9dl,14,3,54,6,2,1,pd,0.0,1.0,15.459,1,0.0
08p6c81b1uflp82myo5nw9dl,15,3,35,8,2,3,pd,0.0,1.0,22.346,1,0.0
08p6c81b1uflp82myo5nw9dl,16,3,29,7,1,1,md,0.0,1.0,22.3,1,0.0
0989ahmna9dulp8bxcoynys0,1,3,28,2,1,3,md,0.0,1.0,22.487,1,0.0
