item,distractor,choice,image
6,md,0,0
6,pd,0,0
6,md,1,1
6,pd,1,2
6,md,2,3
6,pd,2,4
6,md,3,5
6,pd,3,6
19,md,0,0
19,pd,0,0
19,md,1,1
19,pd,1,2
19,md,2,3
19,pd,2,4
19,md,3,5
19,pd,3,6
20,md,0,0
20,pd,0,0
20,md,1,1
20,pd,1,2
20,md,2,3
20,pd,2,4
20,md,3,5
20,pd,3,5
22,md,0,0
22,pd,0,0
22,md,1,1
22,pd,1,2
22,md,2,3
22,pd,2,4
22,md,3,5
22,pd,3,6
25,md,0,0
25,pd,0,0
25,md,1,1
25,pd,1,2
25,md,2,3
25,pd,2,4
25,md,3,5
25,pd,3,5
28,md,0,0
28,pd,0,0
28,md,1,1
28,pd,1,2
28,md,2,3
28,pd,2,4
28,md,3,5
28,pd,3,5
39,md,0,0
39,pd,0,0
39,md,1,1
39,pd,1,2
39,md,2,3
39,pd,2,4
39,md,3,5
39,pd,3,5
47,md,0,0
47,pd,0,0
47,md,1,1
47,pd,1,2
47,md,2,3
47,pd,2,4
47,md,3,5
47,pd,3,5
49,md,0,0
49,pd,0,0
49,md,1,1
49,pd,1,2
49,md,2,3
49,pd,2,4
49,md,3,5
49,pd,3,5
50,md,0,0
50,pd,0,0
50,md,1,1
50,pd,1,2
50,md,2,3
50,pd,2,4
50,md,3,5
50,pd,3,5
51,md,0,0
51,pd,0,0
51,md,1,1
51,pd,1,2
51,md,2,3
51,pd,2,4
51,md,3,5
51,pd,3,5
61,md,0,0
61,pd,0,0
61,md,1,1
61,pd,1,2
61,md,2,3
61,pd,2,4
61,md,3,5
61,pd,3,5
65,md,0,0
65,pd,0,0
65,md,1,1
65,pd,1,2
65,md,2,3
65,pd,2,4
65,md,3,5
65,pd,3,5
70,md,0,0
70,pd,0,0
70,md,1,1
70,pd,1,2
70,md,2,3
70,pd,2,4
70,md,3,5
70,pd,3,5
71,md,0,0
71,pd,0,0
71,md,1,1
71,pd,1,2
71,md,2,3
71,pd,2,4
71,md,3,5
71,pd,3,5
10,md,0,0
10,pd,0,0
10,md,1,1
10,pd,1,2
10,md,2,3
10,pd,2,4
10,md,3,5
10,pd,3,5
15,md,0,0
15,pd,0,0
15,md,1,1
15,pd,1,2
15,md,2,3
15,pd,2,4
15,md,3,5
15,pd,3,6
11,md,0,0
11,pd,0,0
11,md,1,1
11,pd,1,2
11,md,2,3
11,pd,2,4
11,md,3,5
11,pd,3,6
18,md,0,0
18,pd,0,0
18,md,1,1
18,pd,1,2
18,md,2,3
18,pd,2,4
18,md,3,5
18,pd,3,6
13,md,0,0
13,pd,0,0
13,md,1,1
13,pd,1,2
13,md,2,3
13,pd,2,4
13,md,3,5
13,pd,3,6
27,md,0,0
27,pd,0,0
27,md,1,1
27,pd,1,2
27,md,2,3
27,pd,2,4
27,md,3,5
27,pd,3,6
31,md,0,0
31,pd,0,0
31,md,1,1
31,pd,1,2
31,md,2,3
31,pd,2,4
31,md,3,5
31,pd,3,6
34,md,0,0
34,pd,0,0
34,md,1,1
34,pd,1,2
34,md,2,3
34,pd,2,4
34,md,3,5
34,pd,3,6
37,md,0,0
37,pd,0,0
37,md,1,1
37,pd,1,2
37,md,2,3
37,pd,2,4
37,md,3,5
37,pd,3,6
56,md,0,0
56,pd,0,0
56,md,1,1
56,pd,1,2
56,md,2,3
56,pd,2,4
56,md,3,5
56,pd,3,6
58,md,0,0
58,pd,0,0
58,md,1,1
58,pd,1,2
58,md,2,3
58,pd,2,4
58,md,3,5
58,pd,3,6
62,md,0,0
62,pd,0,0
62,md,1,1
62,pd,1,1
62,md,2,2
62,pd,2,2
62,md,3,3
62,pd,3,3
69,md,0,0
69,pd,0,0
69,md,1,1
69,pd,1,2
69,md,2,3
69,pd,2,4
69,md,3,5
69,pd,3,6
77,md,0,0
77,pd,0,0
77,md,1,1
77,pd,1,2
77,md,2,3
77,pd,2,4
77,md,3,5
77,pd,3,5
16,md,0,0
16,pd,0,0
16,md,1,1
16,pd,1,2
16,md,2,3
16,pd,2,4
16,md,3,5
16,pd,3,6
17,md,0,0
17,pd,0,0
17,md,1,1
17,pd,1,2
17,md,2,3
17,pd,2,4
17,md,3,5
17,pd,3,6
12,md,0,0
12,pd,0,0
12,md,1,1
12,pd,1,2
12,md,2,3
12,pd,2,4
12,md,3,5
12,pd,3,6
23,md,0,0
23,pd,0,0
23,md,1,1
23,pd,1,2
23,md,2,3
23,pd,2,4
23,md,3,5
23,pd,3,6
40,md,0,0
40,pd,0,0
40,md,1,1
40,pd,1,2
40,md,2,3
40,pd,2,4
40,md,3,5
40,pd,3,6
42,md,0,0
42,pd,0,0
42,md,1,1
42,pd,1,2
42,md,2,3
42,pd,2,4
42,md,3,5
42,pd,3,6
53,md,0,0
53,pd,0,0
53,md,1,1
53,pd,1,2
53,md,2,3
53,pd,2,4
53,md,3,5
53,pd,3,6
60,md,0,0
60,pd,0,0
60,md,1,1
60,pd,1,2
60,md,2,3
60,pd,2,4
60,md,3,5
60,pd,3,6
72,md,0,0
72,pd,0,0
72,md,1,1
72,pd,1,2
72,md,2,3
72,pd,2,4
72,md,3,5
72,pd,3,6
73,md,0,0
73,pd,0,0
73,md,1,1
73,pd,1,2
73,md,2,3
73,pd,2,4
73,md,3,5
73,pd,3,6
79,md,0,0
79,pd,0,0
79,md,1,1
79,pd,1,2
79,md,2,3
79,pd,2,4
79,md,3,5
79,pd,3,6
