subject	screen_resolution	total_time	image_load	age	gender-categorical	gender-free-response	ethnicity	race	education	free-response
01b653iwjusnxf359qk7596t	[800, 1280]	301.795	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
020ngoo3mx8enry0p43zo2a2	[768, 1366]	380.942	True	30	Female		Not Hispanic or Latino	['Black or African American', 'White']	Some college	
0374obg53yvd969wid8t8a71	[900, 1440]	310.135	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	
03i65ytrhnqf85c2lvnzb2ov	[864, 1536]	272.247	True	27	Other	non binary	Not Hispanic or Latino	['White']	Bachelor degree	yes, some of the images were too small. also difficult to differentiate the sets of items (no boxes around them like practice questions- not sure if that is intentional/a function of the study)
03kchft085vfxle00q8hevgc	[720, 1280]	277.391	True	20	Female		Not Hispanic or Latino	['White']	Some college	
04ztrq5buvo8zbw7gxrwd722	[768, 1366]	228.059	True	39	Male		Not Hispanic or Latino	['White']	Master degree or higher	good study
06hmew4su9ph9i5gigwdmwr4	[900, 1440]	334.56	True	26	Female		Not Hispanic or Latino	['White']	Bachelor degree	
06ul9f2coolrse6pnzjrdmbc	[800, 1280]	446.524	True	19	Female		Not Hispanic or Latino	['White']	High school	
08p6c81b1uflp82myo5nw9dl	[900, 1440]	520.08	True	24	Female		Not Hispanic or Latino	['White']	Bachelor degree	no comment
0989ahmna9dulp8bxcoynys0	[900, 1440]	301.022	True	24	Female		Not Hispanic or Latino	['White']	Bachelor degree	
0cuzisrtq2cdt8h5b4myuyfg	[900, 1440]	344.341	True	24	Female		Not Hispanic or Latino	['White']	Bachelor degree	
0frtfj0ch2iix4se6y6jeeol	[1824, 980]	689.886	True		Male		Not Hispanic or Latino	['Black or African American']	Master degree or higher	
0fselly2tqqo5o2nhqub0t9c	[900, 1440]	340.074	True	27	Female		Not Hispanic or Latino	['White']	Bachelor degree	30 seconds went by really fast for some of the puzzles
0ixrlwqe1unq6l5jn12xio6v	[900, 1440]	411.123	True	22	Male		Not Hispanic or Latino	['White']	High school	
0k9ph5p70zb8x7iugjdl96mt	[900, 1440]	451.941	True	18	Male		Not Hispanic or Latino	['White']	Associate degree	that was hard
0lbef3rih04hlz20mpmkmfaq	[768, 1366]	494.357	True	40	Male		Not Hispanic or Latino	['White']	Some college	The puzzles were pretty tough, especially with the time limit.
0mifm1lzbxnc43588vf8k0ws	[800, 1280]	278.886	True	20	Female		Not Hispanic or Latino	['White']	Some college	
0o92lwkkod5ficj2jyqn0f60	[800, 1280]	172.696	True	22	Female		Not Hispanic or Latino	['Black or African American']	Bachelor degree	this was a really cool test 
0oppzdo52gw7skmxzy5q6ci1	[900, 1440]	466.568	True	19	Male		Not Hispanic or Latino	['White']	Some college	
0pcccc08djqwblcaa0vi67g3	[900, 1440]	467.634	True	24	Male		Hispanic or Latino	['Rather not say']	Bachelor degree	
0ppzryi0yvn8rzf45d469rfr	[900, 1440]	375.349	True	19	Female		Not Hispanic or Latino	['White']	Some college	
0q9kik5fwix8xvf50jzwrbv5	[900, 1440]	414.176	True	20	Male		Not Hispanic or Latino	['White']	Some college	interesting patterns
0r0cd6op09ots3rqd7i4u3qi	[1080, 1920]	287.699	True	25	Female		Not Hispanic or Latino	['Asian']	Bachelor degree	N/A
0rx0bm63tj47dgu5hqgmxmco	[858, 1525]	362.581	True	40	Male		Not Hispanic or Latino	['White']	Master degree or higher	no
0sj1lawlpszd1lz6vql6z3wg	[900, 1440]	312.874	True	19	Female		Hispanic or Latino	['White']	High school	
0twyxryrq8iiomdpp48krw8k	[1440, 3440]	479.37	True	26	Male		Not Hispanic or Latino	['White']	Bachelor degree	I found this to be very hard to be honest!
0u9pna4ta2ooka59scvje5yw	[900, 1440]	416.795	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	
0ujxhg52flxn1r3vwv59gxbb	[1024, 1280]	291.873	True	25	Male		Not Hispanic or Latino	['White']	Bachelor degree	
0va39yf94goeqrdl3p7wjp0j	[768, 1366]	270.731	True	44	Male		Not Hispanic or Latino	['White']	Master degree or higher	nice study
0xti0hox834b62pvy7cdjlxd	[1080, 1920]	243.619	True	21	Male		Not Hispanic or Latino	['White']	Some college	
0yqqto6zoppea5madtbwzbi7	[1120, 1792]	340.58	True	22	Male		Not Hispanic or Latino	['Asian']	Bachelor degree	
