subject,resolution,missing,rapid,reject
01b653iwjusnxf359qk7596t,0,0,0,0
0374obg53yvd969wid8t8a71,0,0,0,0
03i65ytrhnqf85c2lvnzb2ov,0,0,0,0
06hmew4su9ph9i5gigwdmwr4,0,0,0,0
06ul9f2coolrse6pnzjrdmbc,0,0,0,0
08p6c81b1uflp82myo5nw9dl,0,0,0,0
0989ahmna9dulp8bxcoynys0,0,0,0,0
0cuzisrtq2cdt8h5b4myuyfg,0,0,0,0
0fselly2tqqo5o2nhqub0t9c,0,0,0,0
0k9ph5p70zb8x7iugjdl96mt,0,0,0,0
0lbef3rih04hlz20mpmkmfaq,0,0,0,0
0mifm1lzbxnc43588vf8k0ws,0,0,0,0
0o92lwkkod5ficj2jyqn0f60,0,0,1,1
0oppzdo52gw7skmxzy5q6ci1,0,0,0,0
0ppzryi0yvn8rzf45d469rfr,0,0,0,0
0q9kik5fwix8xvf50jzwrbv5,0,0,0,0
0sj1lawlpszd1lz6vql6z3wg,0,0,0,0
0twyxryrq8iiomdpp48krw8k,0,0,0,0
0u9pna4ta2ooka59scvje5yw,0,0,0,0
0ujxhg52flxn1r3vwv59gxbb,0,0,0,0
0yqqto6zoppea5madtbwzbi7,0,0,0,0
10qcdilmyzfhgmbx4nbygedl,0,0,0,0
11qiftg3g7om1rk79jogt55c,0,0,0,0
14asg0heo2pqnmiywh8uy4ly,0,0,0,0
15ctx94v90f8rfqy1jz7gsci,0,0,0,0
16eppal8mpgpv1fgz4saqd0h,0,0,0,0
18bornvwixas0ck99a3h798j,0,0,0,0
1993v4050stwong707xpjpem,0,0,0,0
1detwkj1qtf1mzrj8j18eglu,0,0,0,0
1f4ok8tfzd4w2epe4epdjmgc,0,0,0,0
1g4j85q8ac65m5kej565zy01,0,0,0,0
1g706fp1g62ojzs5t47qqpbt,0,0,0,0
1hkud3vlgvfpt6j7evej1o1k,0,0,0,0
1hq0a5sv7olx9j5ab2evp9yz,0,0,0,0
1lpe7v1rcx3fr2hpummtb1fs,0,0,0,0
1naj3589qwupt0nxk4w2xmmx,0,0,0,0
1u89kobgictbxh3tts4p9ovc,0,0,0,0
1y7vnm5uywcpkpjvywthival,0,0,0,0
1ztz9o9srgpb2yhdsxnv7ecj,0,1,0,1
241svjoh2d3bcbz63rlg90zo,0,0,0,0
26fw6mpksid4uky6r534gkz1,0,0,1,1
2hbjprxch7iah7yy5j56wi0n,0,0,0,0
2jyaj21vurwztq2io1bo4wp5,0,0,0,0
2k38gxnthl0z3g7ni36g086k,0,0,0,0
2kaeqgaaerdmpwoywpsxmeh7,0,0,0,0
2lwgshkagkjxlxrdwfrwqpas,0,0,0,0
2lxcej2tk2tol6ie9pg9ephv,0,0,0,0
2noems6hp5m2jto7zpmavxm9,0,0,0,0
2r28o3lv54fnis6irbr19yxf,0,0,0,0
2r5alrkbf4c9mvniy12cmrrp,0,0,0,0
2rezgf7dcjsbrw2xo1cx85k7,0,0,0,0
2ryo3nqynuc45ekjibgor0yp,0,0,0,0
2s9ape6golrvhw3wahi3m3r3,0,0,0,0
2upl5md6ptyi3ax9pp22y7fj,0,0,0,0
2v9b3eic48aqgsgtr4i3rapv,0,0,0,0
2xovrvkaxpz9tip2r8wsuig6,0,0,0,0
2yzqza7zsurmv8eryo1mz7rs,0,0,0,0
33lggk2fsgoalvhzifhufox6,0,0,0,0
33vgnwo4ptzhp430sqai90mc,0,0,0,0
35i1vwqxvv43ark5es4ehs0y,0,0,0,0
374y9fwt2b00n99yi3ofx4qb,0,0,0,0
39i7gcci8k1p1p0swddsw7qi,0,0,0,0
3abvws8gbp1d26tmli4e6a4t,0,0,0,0
3d6pbwa1zfcugi7u7ezyy7dz,0,0,0,0
3hrldrezqnbmcz7wsfqpk444,0,0,0,0
3i5irx9r0mj1u7jsd4eal9gx,0,0,0,0
3lbs4rayaxcbl7hqxk7spw6s,0,0,0,0
3mlg5gieakg52hh4kb0xgrbx,0,0,0,0
3op34p5re2dqxm85smzsl7o7,0,0,0,0
3r2ifq00z06hun105tincwcm,0,0,0,0
3ryh9gpnd9mp6935pdj9x6u7,0,0,0,0
3sf7bhi9na56hcqeqo68gpgl,0,0,0,0
3ye95yp5z8qh7x1ovbgo3ich,0,0,0,0
3z2z4oqvsyxn2lwrqjavmvfm,0,0,0,0
3zv69q64jey2r4y0y0e575nl,0,0,0,0
3zxobbu2jzlvm8lhki7czl8t,0,0,0,0
47rjc265202ngfb9rcn5q489,0,0,0,0
494n14p8nmsroi0grjhd1tdz,0,0,0,0
4dmuir6ip4hx9eryfxcq2rrg,0,0,0,0
4f3an3rrow7k3ie0j752t45k,0,0,0,0
4goyt3sxahkl7pa8u5tbol6m,0,0,0,0
4h5yju9ncyeiyah2g5oi6vgt,0,0,1,1
4i8fdqxxcxtx42msnwvy3e5p,0,0,0,0
4mhzsuh7xfod2do73mss6ig2,0,0,0,0
4qd0to88yn79ejfx21tcin9q,0,0,0,0
519zbyjdj3cdg883oowodetg,0,0,0,0
51brojcur0ahwcou0zeiofr4,0,0,0,0
525crgtd5xx14lsyudfeth8r,0,0,0,0
56rfelahgx44yaqkd2iu7s0n,0,0,0,0
59ngy801iiqpmbpdnlmfjeei,0,0,0,0
5b6q4ofmq1sgea0wr5whqyqp,0,0,0,0
5baqefewz5asokt01f7dkh76,0,0,0,0
5crlydz5xjnujl7cw511iew5,0,0,0,0
5cxi15n0lqa8ytgxm9gjs7su,0,0,0,0
5ehtx6x7bitq1r848c0w0ayy,0,0,1,1
5g41xp889l6rn0ju6xu3b53m,0,0,0,0
5ir086sfoheqf795s81pdtug,0,0,0,0
5jy2qnd6t58agficsjd2vths,0,0,0,0
5la01jwgjd5r0smzsld92t1m,0,0,0,0
5m8lau3ky2gtgpbmnr8kuv4g,0,0,0,0
5m92mo123e9gh0jbia35or3b,0,0,0,0
5nbu6wm0asr5wgoe8y4yoz5b,0,0,0,0
5rx4okg7d5vk026dtzkaxc0m,0,0,0,0
5vlh6xat2i27a5ycsir6rt8p,0,0,0,0
5w8iljymylasl128wlos7fim,0,0,0,0
5x53d4nlu4uiap1y2at2omqh,0,0,0,0
600h90dv4z92iv06ocn127ze,0,0,0,0
601xvat5pmnwokpkryv54mhy,0,0,0,0
61e4vo4vrncsxadrq3jv3je1,0,0,0,0
657qttkac7rp4n21ts58rxcd,0,0,0,0
659a2szsz3smzj2vn38ffehh,0,0,0,0
67heohzr97c0kcq6lwqjqc10,0,0,0,0
68td3tbgc9pgeihse2uscazd,0,0,0,0
6929wbhnhtsyfyjghiwt1che,0,0,0,0
698cvp54se88pesq9otrvlxu,0,0,0,0
6a80r7h6mc233wfkku689f8n,0,0,0,0
6ch32n9s0qvyg0kemy3gyw07,0,0,1,1
6dgt2qu2enlze2oxudlmz2tv,0,0,0,0
6dsauyx0839dqhnltlqi16cm,0,0,0,0
6dv6lg3g7rwzzf95deborxxt,0,0,0,0
6eywh4zy4by0a1c781864e0m,0,0,0,0
6ftq7uap3wf4d42zs3zbidwv,0,0,0,0
6jcw5spub6h5s7grinrjk77q,0,0,0,0
6ml3i9hxab3g5ldho73rp53t,0,0,0,0
6nprfiv7nfr7axt7mv51m4p4,0,0,0,0
6pu02mdi58xe1h5bt0sln0th,0,0,0,0
6q96rlrtgqu6ckutin3raus9,0,0,0,0
6sqzntxosrpt76sm28lb0w81,0,0,0,0
6tb6fskpa6em7swy0o03q059,0,0,0,0
6wps6g80t7g1jbj279e48mp1,0,0,0,0
71a0cmlv8tcccrsg49rz5ty6,1,0,0,1
77ns1fox63i44jwup2r16uud,0,0,0,0
77poyt1iy1cqjcjztrjtaqk2,0,0,0,0
7e1qtuicoel8euz710kf6m0t,0,0,0,0
7escbsueprx85mqubp6ejsc1,0,0,0,0
7g0yytvmxt8hqqohacw0vin1,0,0,0,0
7j59zfnc9ht9wbmb8a5xw99q,0,0,0,0
7jph9y83f55slovfq3406kzu,0,0,0,0
7kvbbsqfdff7uvbuir0bgju9,0,0,0,0
7l3lrnxqhx4pfvhir721iqtv,0,0,0,0
7n3smquj1y0u5ggz6o4feidf,0,0,1,1
7o693dgge46kfallr2wivb9t,0,0,0,0
7omx30j5cs9od4amxf2nl5is,0,0,0,0
7tbdjxz8lu8j3nbhn89vhaon,0,0,0,0
7x6ngqb8r29sszek04wz6876,1,0,0,1
7xfgwhsicmn01xvjvttcoxae,0,0,0,0
7zk3efwy9pqhzenpm2dga7zo,0,0,0,0
7zx5y8m5887yrnnoqc2xfk5a,0,0,0,0
81lfve8j4tgfyj20fo1gx0nj,0,0,0,0
84t37ieskww4hptmydmm4e0j,0,0,0,0
873jao078mf4v86xccmcv7vj,0,0,0,0
88y4hijuiaefliyndapmlyf4,0,0,0,0
8anx8gog7w9iuytpvi6bbecb,0,0,0,0
8h7jbmr0tkmh6u08l7itn6nf,0,0,0,0
8hlq0l2y4cl3lyqu7mund09w,0,0,0,0
8kdk2f4s3kyldz3qd4d8rlm0,0,0,0,0
8qnoyczn985a0zzvg8iv7gfk,0,0,0,0
8savjpgy7ezckpghm77oqsy7,0,0,0,0
8t7d0pmrn1b87qagwkta8lg1,0,0,0,0
94ug8ln7qdjhuzsrzo88gzvb,0,0,0,0
96d32q3ghoqw31xzl9a9fe5y,0,0,0,0
9f66o33e03dp9zq1aqgl39ma,0,0,0,0
9g968us0aftfb9s4fmflbbt4,0,0,0,0
9k53ht6h0096rwmabzdwat9q,0,0,0,0
9kdpimklx03e225ptr8p71hl,0,0,0,0
9koygkpp3iekef87xgerze9k,0,0,0,0
9lgzt44k9zymblu1xqsxtwpz,0,0,0,0
9n3ckjytby15xji8m3759ga0,0,0,0,0
9qshg2o8fowyn3efok9hfsx7,0,0,0,0
9r62m0a6mkb7eserkqw0zaxx,0,0,0,0
9s88tid5d5r16f6vib0lf7ts,0,0,0,0
9w63piyvhpvu41rg6hlvkhcm,0,0,0,0
9wvt1g6zjkardbrdtpg682r7,0,0,0,0
9xa74pq6zv5iuhqmqrrbbohr,0,0,0,0
a2imljm500yomgyatxvt1zth,0,0,0,0
a7s3mle8ync7kby44ns1h7qo,0,0,0,0
a9j1vgtfo3sv3mawiwd5fzke,0,0,0,0
abvx0zr98mor3p6u1ephdtu2,0,0,0,0
acqwehlaccazo1mzzwbp5nsp,0,0,0,0
ahyugxeoijrv20jhzvh0is5x,0,0,0,0
amuv7s75gam5t23pab21eh4h,0,0,0,0
atbnkyroienosrs34i83sn65,0,0,0,0
atlfpjhxg84kygi6ogbms3m1,0,0,0,0
aybj3bf5m8erk4pbq7lzgqqi,0,0,0,0
ayfyomaj1p5tpm3lfoizl6sb,0,0,0,0
azmgn9i5xm8mka9fqwkeso89,0,0,0,0
b02ynma46gkvi2oekullmd05,0,0,0,0
b14bptx36jp7yg07d0h1bfnk,0,0,0,0
bb80jdftgq7kmwo1trya5270,0,0,0,0
bbekbqw42edxfqxfctcq1dcu,0,0,0,0
beqt7e973l6xyvrcyrbo6076,0,0,0,0
bff9yq6yewxz00mevh91oumy,0,0,0,0
bhaik4194elrqjdyspvfje6k,0,0,0,0
bizc9o47durrat6i2ydiod1r,0,0,0,0
blrvfgq37hpsbl6qlmbqsv8y,0,0,0,0
bot1mtv21v6v3j718yl6ehmn,0,0,0,0
bpfjfmu7ifcbwi41y2f48v08,0,0,0,0
bsoumkwyunhkdjghfxbwaf1w,0,0,0,0
bt6bmnj5ivm0ethe5egicg86,0,0,0,0
bt97c9t7xjxxjos1o72mhekg,0,0,0,0
bxdo8xn8jhec6tnszflnl1y3,0,0,0,0
bxppgpgutln8cb2zcgioxrmw,0,0,0,0
bxvixf6mzr8bojhev1381kbn,0,0,1,1
bxvopsrtgretnshtc8xk11wc,0,0,0,0
c0z9cvpak4g45tssgg7e7f6b,0,0,0,0
c1wpouj7vjiq0ry1jkuh00fp,0,0,0,0
c2eq48a99tysozxhs8yc4his,0,0,0,0
c4m0py2ssiawmnlcbb1mjmm0,0,0,0,0
c5lm1phmk1cjw9hj59zb6k5m,0,0,0,0
c6kcn71dud6b63c0bgd1cuhr,0,0,0,0
c786aq5xp32tkx5zyug00sw6,0,0,0,0
cb7na65pq0i7iseu49kxexax,0,0,0,0
cbc94by959ezj3jcactijqec,0,0,0,0
ccgep1ifodczpusfyihlwlz9,0,0,0,0
cg3vvn1tjzbrpnbvfz4pty8h,0,0,0,0
cgxxfach73em07jda3djj41z,0,0,0,0
cxs4x05c44pa84sa0bah10te,0,0,0,0
