intercept,n_features,n_rules,distractor,rt
1,1,3,0.5,-1.56887
1,1,3,0.5,-0.320685
1,1,3,0.5,-1.6463
1,1,3,-0.5,-1.587073
1,1,3,-0.5,-0.222814
1,1,3,-0.5,-1.206624
1,3,2,0.5,-0.633647
1,3,2,0.5,-0.119758
1,3,2,0.5,0.204288
1,3,2,-0.5,0.065247
1,3,2,-0.5,0.60753
1,3,2,-0.5,-0.008872
1,1,3,0.5,1.574278
1,1,3,0.5,2.946938
1,1,3,0.5,1.953659
1,1,3,-0.5,2.037741
1,1,3,-0.5,1.923961
1,1,3,-0.5,2.188966
1,2,4,0.5,1.291389
1,2,4,0.5,1.10585
1,2,4,0.5,0.453926
1,2,4,-0.5,0.283764
1,2,4,-0.5,1.191644
1,2,4,-0.5,-0.256651
1,2,3,0.5,0.910755
1,2,3,0.5,1.131844
1,2,3,0.5,0.490384
1,2,3,-0.5,1.362421
1,2,3,-0.5,0.772631
1,2,3,-0.5,2.077696
1,3,4,0.5,0.767133
1,3,4,0.5,0.426773
1,3,4,0.5,0.653742
1,3,4,-0.5,0.67492
1,3,4,-0.5,1.059465
1,3,4,-0.5,0.43735
1,2,3,0.5,0.317638
1,2,3,0.5,0.980289
1,2,3,0.5,1.236068
1,2,3,-0.5,0.059257
1,2,3,-0.5,1.770137
1,2,3,-0.5,1.036562
1,1,4,0.5,-0.729039
1,1,4,0.5,0.806534
1,1,4,0.5,1.386896
1,1,4,-0.5,-2.376024
1,1,4,-0.5,-0.657244
1,1,4,-0.5,-0.271857
1,2,4,0.5,0.851612
1,2,4,0.5,1.712336
1,2,4,0.5,1.926111
1,2,4,-0.5,0.875225
1,2,4,-0.5,1.201544
1,2,4,-0.5,0.888258
1,4,3,0.5,0.474961
1,4,3,0.5,-0.553808
1,4,3,0.5,-0.32123
1,4,3,-0.5,0.628175
1,4,3,-0.5,-0.613693
1,4,3,-0.5,-0.743784
1,1,3,0.5,-2.790473
1,1,3,0.5,-1.397785
1,1,3,0.5,-1.887509
1,1,3,-0.5,-2.201843
1,1,3,-0.5,-0.994538
1,1,3,-0.5,-1.013403
1,2,2,0.5,-1.611727
1,2,2,0.5,0.041313
1,2,2,0.5,-1.014295
1,2,2,-0.5,-0.609055
1,2,2,-0.5,0.200528
1,2,2,-0.5,-0.473209
1,3,6,0.5,-0.898234
1,3,6,0.5,-0.909523
1,3,6,0.5,-1.453892
1,3,6,-0.5,-0.859356
1,3,6,-0.5,-0.215067
1,3,6,-0.5,-1.84278
1,1,3,0.5,-1.952231
1,1,3,0.5,-1.083679
1,1,3,0.5,-1.50149
1,1,3,-0.5,-1.798891
1,1,3,-0.5,-0.51058
1,1,3,-0.5,-1.314157
1,1,4,0.5,0.207097
1,1,4,0.5,0.873894
1,1,4,0.5,0.574143
1,1,4,-0.5,0.06131
1,1,4,-0.5,0.857084
1,1,4,-0.5,0.043676
1,3,5,0.5,-0.905534
1,3,5,0.5,-1.256454
1,3,5,0.5,-0.677352
1,3,5,-0.5,-1.377121
1,3,5,-0.5,-1.236256
1,3,5,-0.5,-1.243358
1,1,2,0.5,-1.156939
1,1,2,0.5,-1.590065
1,1,2,0.5,-0.74084
1,1,2,-0.5,-0.455629
1,1,2,-0.5,-0.904584
1,1,2,-0.5,0.18594
1,3,3,0.5,1.103324
1,3,3,0.5,0.626621
1,3,3,0.5,0.224628
1,3,3,-0.5,1.400993
1,3,3,-0.5,0.943677
1,3,3,-0.5,1.195735
1,2,3,0.5,1.509993
1,2,3,0.5,1.107611
1,2,3,0.5,1.270415
1,2,3,-0.5,0.773326
1,2,3,-0.5,1.037769
1,2,3,-0.5,1.573819
1,4,2,0.5,-1.323211
1,4,2,0.5,-1.397321
1,4,2,0.5,-0.520101
1,4,2,-0.5,-0.164196
1,4,2,-0.5,-0.590897
1,4,2,-0.5,-0.918967
1,2,6,0.5,0.721043
1,2,6,0.5,-0.552695
1,2,6,0.5,-1.263992
1,2,6,-0.5,-0.166151
1,2,6,-0.5,-0.966644
1,2,6,-0.5,-0.547079
1,2,6,0.5,-0.11664
1,2,6,0.5,-0.29662
1,2,6,0.5,-1.464596
1,2,6,-0.5,-1.295261
1,2,6,-0.5,-0.644661
1,2,6,-0.5,-0.737008
1,4,3,0.5,0.120381
1,4,3,0.5,0.381639
1,4,3,0.5,0.767562
1,4,3,-0.5,-0.097346
1,4,3,-0.5,0.329465
1,4,3,-0.5,0.213583
1,2,3,0.5,1.129624
1,2,3,0.5,1.207682
1,2,3,0.5,1.73631
1,2,3,-0.5,1.475585
1,2,3,-0.5,0.592482
1,2,3,-0.5,1.626943
1,3,6,0.5,-0.826134
1,3,6,0.5,-0.977313
1,3,6,0.5,-0.36764
1,3,6,-0.5,-2.225392
1,3,6,-0.5,-1.347717
1,3,6,-0.5,-0.051589
1,3,5,0.5,1.046767
1,3,5,0.5,1.188632
1,3,5,0.5,-0.210356
1,3,5,-0.5,0.596112
1,3,5,-0.5,0.317363
1,3,5,-0.5,0.75648
1,4,3,0.5,0.371306
1,4,3,0.5,1.26625
1,4,3,0.5,0.805722
1,4,3,-0.5,0.979226
1,4,3,-0.5,0.836094
1,4,3,-0.5,0.75775
1,4,2,0.5,-0.547207
1,4,2,0.5,-0.076722
1,4,2,0.5,0.150522
1,4,2,-0.5,0.539097
1,4,2,-0.5,0.954119
1,4,2,-0.5,-0.124778
1,2,3,0.5,0.733272
1,2,3,0.5,0.443987
1,2,3,0.5,-0.214801
1,2,3,-0.5,-0.013163
1,2,3,-0.5,0.507941
1,2,3,-0.5,0.315795
1,2,4,0.5,0.369783
1,2,4,0.5,0.85586
1,2,4,0.5,0.64943
1,2,4,-0.5,0.746856
1,2,4,-0.5,1.358782
1,2,4,-0.5,0.564975
1,3,5,0.5,-0.319755
1,3,5,0.5,0.178692
1,3,5,0.5,0.117296
1,3,5,-0.5,0.784323
1,3,5,-0.5,-0.60044
1,3,5,-0.5,-0.369444
1,3,5,0.5,-0.739089
1,3,5,0.5,-1.253325
1,3,5,0.5,-1.515809
1,3,5,-0.5,-1.536347
1,3,5,-0.5,-1.352553
1,3,5,-0.5,-2.160336
1,3,5,0.5,0.080257
1,3,5,0.5,-0.405682
1,3,5,0.5,0.132601
1,3,5,-0.5,-0.058363
1,3,5,-0.5,-0.548667
1,3,5,-0.5,0.763555
1,4,2,0.5,-0.681138
1,4,2,0.5,-0.603179
1,4,2,0.5,-0.232016
1,4,2,-0.5,0.215441
1,4,2,-0.5,-0.665075
1,4,2,-0.5,-0.135582
1,1,2,0.5,-1.960547
1,1,2,0.5,-1.399783
1,1,2,0.5,-0.718005
