subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
01b653iwjusnxf359qk7596t,1,22,2,1,3,1,0.0,1.0,0.8438,0.8401143079484654,0.009532674721044984,0.1828965877739882,-0.18377258773112715,-8.839492533141126,-0.008238698995789953,0.0648949769624321
01b653iwjusnxf359qk7596t,2,28,2,2,2,0,0.0,1.0,0.6587,0.6565122218606348,0.038543146001376996,0.1828965877739882,-0.45951554553107954,-8.839492533141126,0.045360939136814604,0.0648949769624321
01b653iwjusnxf359qk7596t,3,70,2,2,2,0,0.0,1.0,0.8834,0.8890149457266678,0.004978607903302241,0.1828965877739882,-0.12262821492885223,-8.839492533141126,0.14327193398348864,0.0648949769624321
01b653iwjusnxf359qk7596t,4,51,2,1,2,1,0.0,1.0,0.8148,0.8052807104677798,0.013978859661807896,0.1828965877739882,-0.23059383149866264,-8.839492533141126,0.17338362051746264,0.0648949769624321
01b653iwjusnxf359qk7596t,5,11,3,1,1,1,3.0,0.0,0.7139,0.2875258379409559,0.1575419896970446,0.1828965877739882,-1.4043051163666256,-8.839492533141126,0.049845170973222115,0.0648949769624321
01b653iwjusnxf359qk7596t,6,31,3,2,2,0,1.0,0.0,0.5611,0.44748897334510956,0.0944501298572737,0.1828965877739882,-0.8989209622456453,-8.839492533141126,0.003928946880483361,0.0648949769624321
01b653iwjusnxf359qk7596t,7,17,4,2,3,0,2.0,0.0,0.3598,0.6472461736012007,0.03959803865283368,0.1828965877739882,-0.47482213400821927,-8.839492533141126,0.02744845573452162,0.0648949769624321
01b653iwjusnxf359qk7596t,8,62,3,1,1,1,0.0,1.0,0.9535,0.950407604674263,0.0011953335046541937,0.1828965877739882,-0.052060770660236955,-8.839492533141126,0.1710587146749642,0.0648949769624321
01b653iwjusnxf359qk7596t,9,42,4,1,2,1,1.0,0.0,0.4484,0.554993286136309,0.06578526062571706,0.1828965877739882,-0.6548681701348844,-8.839492533141126,-0.04689594072914356,0.0648949769624321
01b653iwjusnxf359qk7596t,10,60,4,2,1,0,0.0,1.0,0.4307,0.42648962815462155,0.10308092232840786,0.1828965877739882,-0.9556599801020198,-8.839492533141126,0.025734803502400087,0.0648949769624321
01b653iwjusnxf359qk7596t,11,52,5,1,3,1,0.0,1.0,0.386,0.3848313513341902,0.12061930127587799,0.1828965877739882,-1.0759343673971369,-8.839492533141126,0.10162625908643934,0.0648949769624321
01b653iwjusnxf359qk7596t,12,63,5,2,1,0,3.0,0.0,0.2551,0.7380583097862562,0.024236422759939712,0.1828965877739882,-0.32809225456976776,-8.839492533141126,0.12905713571024258,0.0648949769624321
01b653iwjusnxf359qk7596t,13,46,6,1,3,1,0.0,1.0,0.5758,0.5761207060154164,0.05718709678094932,0.1828965877739882,-0.6088917049086202,-8.839492533141126,0.13644777324554508,0.0648949769624321
