name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1]	-0.326	0.003	0.501	-1.14	-0.334	0.511	27966.0	70.6	1.0
theta[2]	0.991	0.00373	0.571	0.0646	0.978	1.96	23526.0	59.4	1.0
theta[3]	-0.334	0.00334	0.496	-1.14	-0.345	0.48	22002.0	55.6	1.0
theta[4]	0.871	0.00344	0.55	-0.00493	0.86	1.8	25503.0	64.4	1.0
theta[5]	0.48	0.00324	0.534	-0.38	0.466	1.38	27133.0	68.5	1.0
theta[6]	-0.21	0.00331	0.514	-1.06	-0.218	0.654	24139.0	61.0	1.0
theta[7]	-0.0378	0.00287	0.493	-0.828	-0.0438	0.782	29455.0	74.4	1.0
theta[8]	1.36	0.00402	0.605	0.401	1.33	2.39	22718.0	57.4	1.0
theta[9]	0.731	0.00344	0.549	-0.15	0.714	1.66	25426.0	64.2	1.0
theta[10]	-1.42	0.0032	0.514	-2.27	-1.42	-0.595	25729.0	65.0	1.0
theta[11]	-0.379	0.00308	0.488	-1.17	-0.38	0.418	25126.0	63.5	1.0
theta[12]	-0.736	0.003	0.481	-1.53	-0.741	0.0453	25797.0	65.2	1.0
theta[13]	-0.182	0.00318	0.504	-1.03	-0.187	0.66	25219.0	63.7	1.0
theta[14]	-0.692	0.00325	0.496	-1.5	-0.698	0.129	23344.0	59.0	1.0
theta[15]	0.283	0.00325	0.531	-0.562	0.268	1.18	26693.0	67.4	1.0
theta[16]	-0.0613	0.00306	0.496	-0.887	-0.0653	0.765	26232.0	66.3	1.0
theta[17]	0.485	0.00345	0.527	-0.369	0.475	1.37	23281.0	58.8	1.0
theta[18]	0.338	0.00346	0.542	-0.541	0.325	1.24	24474.0	61.8	1.0
theta[19]	0.351	0.00318	0.51	-0.484	0.349	1.21	25679.0	64.9	1.0
theta[20]	-0.22	0.00336	0.511	-1.05	-0.224	0.63	23124.0	58.4	1.0
theta[21]	-0.888	0.0029	0.465	-1.64	-0.884	-0.128	25645.0	64.8	1.0
theta[22]	0.508	0.00369	0.558	-0.384	0.489	1.46	22896.0	57.8	1.0
theta[23]	-0.652	0.00284	0.483	-1.43	-0.652	0.13	28905.0	73.0	1.0
theta[24]	-0.218	0.00336	0.489	-1.04	-0.221	0.588	21178.0	53.5	1.0
theta[25]	0.723	0.00358	0.56	-0.186	0.706	1.67	24480.0	61.8	1.0
theta[26]	-0.123	0.00322	0.501	-0.928	-0.129	0.707	24137.0	61.0	1.0
theta[27]	-0.46	0.00312	0.493	-1.27	-0.465	0.34	24940.0	63.0	1.0
theta[28]	0.133	0.00328	0.509	-0.691	0.124	0.979	24074.0	60.8	1.0
theta[29]	-1.25	0.00295	0.505	-2.1	-1.25	-0.423	29241.0	73.9	1.0
theta[30]	0.05	0.00307	0.51	-0.784	0.0486	0.896	27585.0	69.7	1.0
theta[31]	-0.357	0.00295	0.492	-1.16	-0.358	0.452	27875.0	70.4	1.0
theta[32]	0.0681	0.00308	0.485	-0.726	0.0596	0.876	24761.0	62.5	1.0
theta[33]	0.159	0.00337	0.52	-0.691	0.146	1.03	23864.0	60.3	1.0
theta[34]	-0.539	0.0029	0.494	-1.35	-0.539	0.266	28967.0	73.2	1.0
theta[35]	-0.0802	0.00315	0.506	-0.907	-0.0824	0.749	25830.0	65.2	1.0
theta[36]	0.711	0.00346	0.547	-0.152	0.698	1.63	25001.0	63.2	1.0
theta[37]	-0.118	0.0032	0.501	-0.932	-0.123	0.717	24500.0	61.9	1.0
theta[38]	-0.386	0.00304	0.492	-1.19	-0.392	0.428	26168.0	66.1	1.0
theta[39]	-0.106	0.00346	0.516	-0.938	-0.116	0.756	22277.0	56.3	1.0
theta[40]	0.0562	0.00301	0.496	-0.747	0.0472	0.88	27139.0	68.6	1.0
theta[41]	-0.333	0.00313	0.494	-1.15	-0.335	0.489	24980.0	63.1	1.0
theta[42]	-0.76	0.0031	0.498	-1.58	-0.757	0.0571	25864.0	65.3	1.0
theta[43]	-0.25	0.00326	0.513	-1.09	-0.253	0.606	24751.0	62.5	1.0
theta[44]	-0.2	0.00327	0.513	-1.04	-0.205	0.66	24695.0	62.4	1.0
theta[45]	-0.778	0.00307	0.482	-1.58	-0.779	-0.00238	24622.0	62.2	1.0
theta[46]	1.4	0.00395	0.608	0.447	1.39	2.43	23640.0	59.7	1.0
theta[47]	-0.64	0.00307	0.5	-1.46	-0.641	0.187	26563.0	67.1	1.0
theta[48]	0.129	0.00324	0.506	-0.694	0.119	0.973	24395.0	61.6	1.0
theta[49]	0.413	0.00327	0.522	-0.416	0.402	1.29	25457.0	64.3	1.0
theta[50]	0.672	0.00363	0.568	-0.236	0.653	1.62	24407.0	61.7	1.0
theta[51]	-0.153	0.00314	0.484	-0.924	-0.16	0.654	23740.0	60.0	1.0
