name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta_mu[1]	-0.369	0.000554	0.0366	-0.429	-0.37	-0.308	4375.0	1.17	1.0
theta_mu[2]	0.177	0.000575	0.0358	0.118	0.176	0.236	3870.0	1.04	1.0
theta_mu[3]	0.581	0.000578	0.0394	0.515	0.582	0.646	4653.0	1.25	0.999
theta_mu[4]	0.477	0.000576	0.039	0.414	0.478	0.542	4579.0	1.23	1.0
theta_pr[1]	-0.354	0.00582	0.628	-1.39	-0.349	0.654	11664.0	3.12	1.0
theta_pr[2]	0.402	0.00678	0.673	-0.733	0.412	1.5	9864.0	2.64	1.0
theta_pr[3]	1.04	0.00718	0.729	-0.195	1.06	2.24	10313.0	2.76	0.999
theta_pr[4]	0.603	0.00667	0.668	-0.549	0.639	1.68	10034.0	2.69	1.0
theta_pr[5]	1.06	0.00689	0.665	-0.0542	1.07	2.11	9297.0	2.49	1.0
theta_pr[6]	0.829	0.00647	0.66	-0.252	0.832	1.88	10406.0	2.79	1.0
theta_pr[7]	0.0667	0.00646	0.638	-0.993	0.064	1.12	9761.0	2.61	1.0
theta_pr[8]	-0.651	0.00623	0.642	-1.72	-0.642	0.38	10631.0	2.85	0.999
theta_pr[9]	-0.101	0.00599	0.625	-1.18	-0.0764	0.89	10879.0	2.91	0.999
theta_pr[10]	-0.117	0.00709	0.698	-1.33	-0.0898	0.987	9681.0	2.59	0.999
theta_pr[11]	1.21	0.00705	0.678	0.13	1.21	2.33	9250.0	2.48	1.0
theta_pr[12]	-0.311	0.00601	0.584	-1.3	-0.302	0.657	9436.0	2.53	1.0
theta_pr[13]	0.617	0.00787	0.747	-0.669	0.628	1.81	9014.0	2.41	0.999
theta_pr[14]	-0.163	0.00704	0.675	-1.32	-0.14	0.933	9182.0	2.46	0.999
theta_pr[15]	0.285	0.00685	0.643	-0.759	0.276	1.35	8818.0	2.36	0.999
theta_pr[16]	0.108	0.0079	0.732	-1.13	0.132	1.24	8594.0	2.3	1.0
theta_pr[17]	-0.508	0.00648	0.649	-1.59	-0.489	0.516	10037.0	2.69	0.999
theta_pr[18]	-0.63	0.00779	0.702	-1.79	-0.6	0.458	8102.0	2.17	0.999
theta_pr[19]	-0.228	0.00611	0.613	-1.25	-0.208	0.755	10054.0	2.69	0.999
theta_pr[20]	-0.583	0.00765	0.692	-1.79	-0.552	0.504	8194.0	2.2	1.0
theta_pr[21]	0.396	0.00645	0.643	-0.677	0.395	1.44	9961.0	2.67	0.999
theta_pr[22]	-0.723	0.00617	0.618	-1.76	-0.696	0.25	10050.0	2.69	1.0
theta_pr[23]	1.75	0.00776	0.714	0.591	1.74	2.97	8464.0	2.27	0.999
theta_pr[24]	-0.544	0.00606	0.624	-1.57	-0.536	0.453	10610.0	2.84	0.999
theta_pr[25]	-0.741	0.00637	0.629	-1.82	-0.719	0.266	9735.0	2.61	0.999
theta_pr[26]	0.00179	0.00701	0.639	-1.06	0.0126	1.0	8311.0	2.23	1.0
theta_pr[27]	-0.125	0.00649	0.613	-1.16	-0.104	0.84	8928.0	2.39	0.999
theta_pr[28]	0.319	0.00621	0.643	-0.755	0.328	1.38	10734.0	2.88	0.999
theta_pr[29]	0.0352	0.00644	0.616	-0.991	0.0227	1.03	9177.0	2.46	1.0
theta_pr[30]	0.162	0.00661	0.682	-1.0	0.171	1.27	10624.0	2.85	1.0
theta_pr[31]	-0.529	0.00732	0.719	-1.7	-0.53	0.613	9655.0	2.59	0.999
theta_pr[32]	-0.31	0.00814	0.762	-1.59	-0.296	0.937	8771.0	2.35	0.999
theta_pr[33]	-1.04	0.00836	0.797	-2.4	-1.01	0.191	9082.0	2.43	0.999
theta_pr[34]	-0.131	0.0077	0.666	-1.27	-0.0919	0.899	7481.0	2.0	0.999
theta_pr[35]	0.118	0.00633	0.641	-0.927	0.11	1.14	10247.0	2.74	0.999
theta_pr[36]	0.264	0.00634	0.641	-0.816	0.272	1.27	10205.0	2.73	0.999
theta_pr[37]	0.166	0.0068	0.642	-0.933	0.198	1.18	8911.0	2.39	0.999
theta_pr[38]	0.212	0.00641	0.657	-0.886	0.212	1.29	10519.0	2.82	0.999
theta_pr[39]	-0.443	0.00685	0.617	-1.5	-0.437	0.559	8121.0	2.18	1.0
theta_pr[40]	-0.456	0.00768	0.702	-1.63	-0.435	0.663	8371.0	2.24	0.999
theta_pr[41]	0.355	0.0069	0.666	-0.734	0.359	1.42	9333.0	2.5	0.999
theta_pr[42]	0.16	0.00606	0.607	-0.841	0.175	1.14	10022.0	2.68	0.999
theta_pr[43]	-0.223	0.00631	0.654	-1.3	-0.218	0.827	10742.0	2.88	0.999
theta_pr[44]	-0.129	0.00643	0.62	-1.15	-0.119	0.885	9303.0	2.49	0.999
theta_pr[45]	-0.47	0.00725	0.69	-1.62	-0.453	0.624	9059.0	2.43	0.999
theta_pr[46]	0.53	0.00674	0.658	-0.58	0.551	1.59	9542.0	2.56	0.999
theta_pr[47]	0.362	0.00722	0.673	-0.761	0.388	1.42	8672.0	2.32	1.0
theta_pr[48]	-1.46	0.00716	0.666	-2.59	-1.45	-0.378	8640.0	2.31	1.0
theta_pr[49]	-0.362	0.00701	0.657	-1.46	-0.339	0.654	8768.0	2.35	0.999
theta_pr[50]	0.423	0.00723	0.74	-0.819	0.442	1.62	10480.0	2.81	0.999
theta_pr[51]	-0.245	0.00708	0.689	-1.38	-0.241	0.854	9463.0	2.53	0.999
theta_pr[52]	0.502	0.00785	0.741	-0.805	0.532	1.66	8923.0	2.39	0.999
theta_pr[53]	0.282	0.00708	0.697	-0.898	0.31	1.41	9677.0	2.59	0.999
theta_pr[54]	0.0503	0.00693	0.613	-0.95	0.0495	1.05	7839.0	2.1	0.999
theta_pr[55]	-0.19	0.00688	0.634	-1.27	-0.173	0.842	8483.0	2.27	0.999
theta_pr[56]	-0.349	0.00632	0.647	-1.44	-0.337	0.7	10461.0	2.8	0.999
theta_pr[57]	0.456	0.00703	0.649	-0.643	0.472	1.48	8519.0	2.28	0.999
theta_pr[58]	0.508	0.00602	0.634	-0.553	0.495	1.54	11092.0	2.97	0.999
theta_pr[59]	-0.479	0.0062	0.615	-1.49	-0.482	0.529	9829.0	2.63	0.999
theta_pr[60]	-0.314	0.00632	0.602	-1.34	-0.306	0.652	9056.0	2.43	1.0
theta_pr[61]	-0.0246	0.00863	0.743	-1.31	0.0146	1.12	7417.0	1.99	0.999
theta_pr[62]	-0.166	0.00673	0.707	-1.36	-0.153	0.95	11050.0	2.96	0.999
theta_pr[63]	0.0289	0.00929	0.846	-1.44	0.0814	1.39	8310.0	2.23	0.999
theta_pr[64]	-0.293	0.00629	0.613	-1.32	-0.28	0.69	9489.0	2.54	0.999
theta_pr[65]	0.23	0.0107	0.875	-1.27	0.276	1.58	6719.0	1.8	0.999
theta_pr[66]	0.569	0.0063	0.624	-0.469	0.578	1.59	9828.0	2.63	0.999
theta_pr[67]	0.305	0.00624	0.622	-0.691	0.304	1.33	9927.0	2.66	0.999
theta_pr[68]	0.452	0.00685	0.654	-0.603	0.45	1.52	9121.0	2.44	0.999
theta_pr[69]	0.0501	0.00748	0.67	-1.08	0.0751	1.13	8032.0	2.15	1.0
theta_pr[70]	0.0542	0.00755	0.745	-1.22	0.0769	1.24	9727.0	2.61	1.0
theta_pr[71]	0.145	0.00775	0.731	-1.1	0.171	1.3	8892.0	2.38	0.999
theta_pr[72]	-0.189	0.00752	0.695	-1.36	-0.171	0.916	8545.0	2.29	0.999
theta_pr[73]	-1.66	0.00716	0.685	-2.84	-1.64	-0.589	9161.0	2.45	0.999
theta_pr[74]	-0.621	0.00616	0.658	-1.7	-0.613	0.438	11417.0	3.06	0.999
theta_pr[75]	-0.38	0.00609	0.595	-1.35	-0.368	0.578	9534.0	2.55	0.999
theta_pr[76]	-0.353	0.00648	0.619	-1.4	-0.329	0.642	9135.0	2.45	0.999
theta_pr[77]	1.51	0.00756	0.716	0.337	1.51	2.66	8984.0	2.41	0.999
theta_pr[78]	-0.736	0.00749	0.702	-1.97	-0.712	0.351	8781.0	2.35	0.999
theta_pr[79]	-0.567	0.00766	0.709	-1.77	-0.537	0.567	8565.0	2.29	1.0
theta_pr[80]	-0.232	0.00715	0.645	-1.33	-0.218	0.791	8119.0	2.17	1.0
theta_pr[81]	-0.598	0.00711	0.66	-1.71	-0.584	0.435	8603.0	2.3	0.999
theta_pr[82]	-0.77	0.00691	0.738	-2.02	-0.754	0.407	11425.0	3.06	1.0
theta_pr[83]	-0.515	0.00733	0.691	-1.68	-0.481	0.544	8892.0	2.38	0.999
theta_pr[84]	0.885	0.00696	0.693	-0.284	0.888	2.0	9912.0	2.66	1.0
theta_pr[85]	0.288	0.00811	0.793	-1.08	0.327	1.52	9576.0	2.57	0.999
theta_pr[86]	0.485	0.00693	0.671	-0.649	0.493	1.59	9364.0	2.51	1.0
theta_pr[87]	0.497	0.00663	0.667	-0.601	0.512	1.59	10136.0	2.72	1.0
theta_pr[88]	0.948	0.00693	0.684	-0.169	0.945	2.06	9753.0	2.61	0.999
theta_pr[89]	0.366	0.00658	0.7	-0.809	0.387	1.47	11313.0	3.03	0.999
theta_pr[90]	0.776	0.00738	0.67	-0.331	0.779	1.87	8250.0	2.21	0.999
theta_pr[91]	0.153	0.00779	0.708	-1.05	0.177	1.29	8261.0	2.21	0.999
theta_pr[92]	-0.0971	0.00693	0.615	-1.13	-0.0929	0.87	7863.0	2.11	1.0
theta_pr[93]	-0.56	0.00675	0.609	-1.57	-0.538	0.424	8149.0	2.18	1.0
theta_pr[94]	-0.04	0.0066	0.634	-1.1	-0.0288	0.987	9238.0	2.47	0.999
theta_pr[95]	-0.211	0.00653	0.627	-1.24	-0.207	0.834	9211.0	2.47	1.0
theta_pr[96]	-0.476	0.00734	0.675	-1.6	-0.461	0.585	8462.0	2.27	0.999
theta_pr[97]	0.0751	0.00636	0.646	-0.971	0.086	1.12	10334.0	2.77	1.0
theta_pr[98]	-0.317	0.00691	0.67	-1.45	-0.297	0.742	9390.0	2.52	0.999
theta_pr[99]	0.174	0.00637	0.671	-0.947	0.195	1.25	11120.0	2.98	0.999
theta_pr[100]	1.11	0.0074	0.665	0.0235	1.12	2.16	8084.0	2.17	0.999
theta_pr[101]	0.0451	0.00713	0.638	-1.03	0.0657	1.06	7990.0	2.14	0.999
theta_pr[102]	-0.39	0.00725	0.687	-1.52	-0.386	0.738	8979.0	2.41	1.0
theta_pr[103]	-0.292	0.00623	0.624	-1.33	-0.287	0.709	10037.0	2.69	0.999
theta_pr[104]	-0.514	0.00699	0.665	-1.61	-0.496	0.561	9039.0	2.42	1.0
theta_pr[105]	-0.563	0.00637	0.637	-1.63	-0.543	0.448	10004.0	2.68	1.0
theta_pr[106]	1.77	0.0072	0.777	0.484	1.78	3.05	11648.0	3.12	0.999
theta_pr[107]	-0.372	0.00903	0.826	-1.79	-0.329	0.943	8356.0	2.24	0.999
theta_pr[108]	0.082	0.00825	0.733	-1.21	0.123	1.22	7897.0	2.12	1.0
theta_pr[109]	-0.115	0.00705	0.689	-1.24	-0.113	1.02	9543.0	2.56	0.999
theta_pr[110]	0.877	0.00646	0.649	-0.202	0.882	1.95	10117.0	2.71	0.999
theta_pr[111]	-1.19	0.0069	0.7	-2.39	-1.17	-0.0877	10299.0	2.76	0.999
theta_pr[112]	1.03	0.00713	0.683	-0.143	1.05	2.11	9189.0	2.46	0.999
theta_pr[113]	0.28	0.00712	0.708	-0.932	0.312	1.42	9895.0	2.65	0.999
theta_pr[114]	0.315	0.0061	0.583	-0.688	0.324	1.27	9117.0	2.44	1.0
theta_pr[115]	0.979	0.00779	0.713	-0.216	1.01	2.08	8377.0	2.24	0.999
