subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
01b653iwjusnxf359qk7596t,1,22,2,1,3,1,0.0,1.0,0.8628,0.8571524987897625,0.0072059533543582166,0.13064415561571013,-0.16135955218726927,-8.491866313105906,0.05254632058383465,0.21863642739380246
01b653iwjusnxf359qk7596t,2,28,2,2,2,0,0.0,1.0,0.5966,0.599719695637819,0.04966179053435949,0.13064415561571013,-0.5611576209539741,-8.491866313105906,0.06681628480562396,0.21863642739380246
01b653iwjusnxf359qk7596t,3,70,2,2,2,0,0.0,1.0,0.8545,0.8603911754521394,0.006798111926635953,0.13064415561571013,-0.1571813318380766,-8.491866313105906,0.10801229146340974,0.21863642739380246
01b653iwjusnxf359qk7596t,4,51,2,1,2,1,0.0,1.0,0.8307,0.8313096906712657,0.009674809780834796,0.13064415561571013,-0.19445150513385023,-8.491866313105906,0.028750262226151735,0.21863642739380246
01b653iwjusnxf359qk7596t,5,11,3,1,1,1,3.0,0.0,0.6998,0.3030430612629936,0.14369366624660457,0.13064415561571013,-1.3378685170810893,-8.491866313105906,0.12883573875862966,0.21863642739380246
01b653iwjusnxf359qk7596t,6,31,3,2,2,0,1.0,0.0,0.5219,0.48107188571945264,0.08370984658970378,0.13064415561571013,-0.8159600986650446,-8.491866313105906,0.2051670675451125,0.21863642739380246
01b653iwjusnxf359qk7596t,7,17,4,2,3,0,2.0,0.0,0.4188,0.5804966799130814,0.05437839045194594,0.13064415561571013,-0.5986672809188835,-8.491866313105906,0.25741585771433634,0.21863642739380246
01b653iwjusnxf359qk7596t,8,62,3,1,1,1,0.0,1.0,0.9434,0.9400195650392871,0.0015771380599107056,0.13064415561571013,-0.06343270425417025,-8.491866313105906,0.06879044767844684,0.21863642739380246
01b653iwjusnxf359qk7596t,9,42,4,1,2,1,1.0,0.0,0.5527,0.44098013289902677,0.09180364768080822,0.13064415561571013,-0.9109182869841792,-8.491866313105906,0.1342638405840073,0.21863642739380246
01b653iwjusnxf359qk7596t,10,60,4,2,1,0,0.0,1.0,0.3968,0.3982689887305099,0.10661232451462281,0.13064415561571013,-1.0275599485843347,-8.491866313105906,0.07062397024283404,0.21863642739380246
01b653iwjusnxf359qk7596t,11,52,5,1,3,1,0.0,1.0,0.5189,0.5216284121236812,0.0682080136386892,0.13064415561571013,-0.7192765468355766,-8.491866313105906,0.00259534694400549,0.21863642739380246
01b653iwjusnxf359qk7596t,12,63,5,2,1,0,3.0,0.0,0.2039,0.7922140405819383,0.014228876283187761,0.13064415561571013,-0.2471969984202751,-8.491866313105906,0.06914882261228551,0.21863642739380246
01b653iwjusnxf359qk7596t,13,46,6,1,3,1,0.0,1.0,0.5933,0.5938072700056594,0.05052372588625313,0.13064415561571013,-0.5719404717437264,-8.491866313105906,0.00550403351614717,0.21863642739380246
01b653iwjusnxf359qk7596t,14,54,6,2,1,0,3.0,0.0,0.2072,0.7892275617340068,0.014268590467425728,0.13064415561571013,-0.2510069150795644,-8.491866313105906,0.11849988115990018,0.21863642739380246
01b653iwjusnxf359qk7596t,15,78,7,2,1,0,3.0,0.0,0.3768,0.6299242821423726,0.04181658495873468,0.13064415561571013,-0.5041593179620669,-8.491866313105906,0.033741618338466825,0.21863642739380246
01b653iwjusnxf359qk7596t,16,30,7,1,2,1,0.0,1.0,0.747,0.7457767347468396,0.02047267694209596,0.13064415561571013,-0.3138742923738089,-8.491866313105906,-0.04801603156155182,0.21863642739380246
0374obg53yvd969wid8t8a71,1,25,2,2,2,1,0.0,1.0,0.9556,0.9598648119165828,0.0007280265719691397,0.15352013764918,-0.04169109943967797,-7.885667208506062,0.09442956127656975,0.1519421283778269
0374obg53yvd969wid8t8a71,2,22,2,1,3,0,0.0,1.0,0.8647,0.8659092302777804,0.007116092306217703,0.15352013764918,-0.1511012802149736,-7.885667208506062,-0.07645515475948099,0.1519421283778269
0374obg53yvd969wid8t8a71,3,71,2,2,3,1,0.0,1.0,0.9223,0.9236810558868559,0.002417013633782595,0.15352013764918,-0.08180734750943941,-7.885667208506062,0.08043915458263143,0.1519421283778269
0374obg53yvd969wid8t8a71,4,49,2,1,3,0,0.0,1.0,0.94,0.9443079792710685,0.001324949102015834,0.15352013764918,-0.05862849020830829,-7.885667208506062,0.045920579591665976,0.1519421283778269
0374obg53yvd969wid8t8a71,6,34,3,2,2,1,0.0,1.0,0.8354,0.8379502918681341,0.010486796613184133,0.15352013764918,-0.1873069231500697,-7.885667208506062,-0.00856359499735804,0.1519421283778269
0374obg53yvd969wid8t8a71,7,77,3,2,3,1,2.0,0.0,0.9178,0.07773160426062219,0.33055160074655415,0.15352013764918,-2.885096374083737,-7.885667208506062,0.2193777141373473,0.1519421283778269
0374obg53yvd969wid8t8a71,8,58,3,1,3,0,0.0,1.0,0.8361,0.8343659610811673,0.010856544056757192,0.15352013764918,-0.19196412357989523,-7.885667208506062,0.11098507888344097,0.1519421283778269
0374obg53yvd969wid8t8a71,9,79,4,2,2,1,0.0,1.0,0.809,0.8105319688380901,0.013754902028112602,0.15352013764918,-0.2238561235110712,-7.885667208506062,0.03964025393744289,0.1519421283778269
0374obg53yvd969wid8t8a71,10,40,4,1,3,0,0.0,1.0,0.7226,0.7252424957582961,0.028529802120033008,0.15352013764918,-0.3498651947395359,-7.885667208506062,-0.041001562662224336,0.1519421283778269
0374obg53yvd969wid8t8a71,11,14,5,1,1,0,0.0,1.0,0.6773,0.6763972575411111,0.039007099195412384,0.15352013764918,-0.4301230434852261,-7.885667208506062,0.12789961588591622,0.1519421283778269
0374obg53yvd969wid8t8a71,12,63,5,2,1,1,0.0,1.0,0.7092,0.7152763829250863,0.030393198171063063,0.15352013764918,-0.36558705023541904,-7.885667208506062,0.021890246940020903,0.1519421283778269
0374obg53yvd969wid8t8a71,13,54,6,2,1,1,0.0,1.0,0.7524,0.7507341248235578,0.023743799529438944,0.15352013764918,-0.3105249044909293,-7.885667208506062,-0.01970382822953031,0.1519421283778269
0374obg53yvd969wid8t8a71,14,44,6,1,1,0,0.0,1.0,0.4837,0.486578331336895,0.09904068837938458,0.15352013764918,-0.8196330691430109,-7.885667208506062,0.05835314270970489,0.1519421283778269
0374obg53yvd969wid8t8a71,15,35,8,2,3,1,0.0,1.0,0.7866,0.7895516179046179,0.017003295009836394,0.15352013764918,-0.25335085065114527,-7.885667208506062,-0.052922339220450726,0.1519421283778269
0374obg53yvd969wid8t8a71,16,29,7,1,1,0,1.0,0.0,0.7805,0.22002228000871804,0.22846096841571026,0.15352013764918,-1.743147789960945,-7.885667208506062,0.12216569307437292,0.1519421283778269
03i65ytrhnqf85c2lvnzb2ov,1,28,2,1,3,0,1.0,0.0,0.6094,0.4032297167668011,0.10584193770282936,0.17575561687925306,-1.0144932599143495,-10.184664439400958,0.1397628986226777,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,2,20,2,2,3,1,0.0,1.0,0.8129,0.8162550065536814,0.01090517738142983,0.17575561687925306,-0.21395466333899726,-10.184664439400958,0.09520979091845813,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,3,61,2,2,2,1,0.0,1.0,0.8081,0.8042654758373409,0.0126039295698568,0.17575561687925306,-0.2304630747708334,-10.184664439400958,0.1636592059516045,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,4,70,2,1,3,0,0.0,1.0,0.8599,0.8587637149904235,0.006937399818430732,0.17575561687925306,-0.15921149943960522,-10.184664439400958,0.21666284373124245,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,5,15,3,2,1,1,0.0,1.0,0.7036,0.7065731772427822,0.027037762393251074,0.17575561687925306,-0.37445571441391046,-10.184664439400958,0.04631363189079235,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,6,34,3,1,3,0,2.0,0.0,0.3471,0.656281960840124,0.034961402603335856,0.17575561687925306,-0.4562575014824919,-10.184664439400958,-0.004252470630720602,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,7,77,3,1,1,0,0.0,1.0,0.6686,0.6713449892950408,0.032509562373331,0.17575561687925306,-0.4310703392899775,-10.184664439400958,0.032298237615463285,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,8,69,3,2,1,1,0.0,1.0,0.8531,0.8530537493788485,0.007692313710427086,0.17575561687925306,-0.1666414351000256,-10.184664439400958,0.0901684173250927,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,9,72,4,1,2,0,1.0,0.0,0.3716,0.6290067528782762,0.041939400378687285,0.17575561687925306,-0.5057331957905618,-10.184664439400958,0.0816767117981782,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,10,42,4,2,1,1,0.0,1.0,0.5578,0.5557137573754427,0.05831220606385737,0.17575561687925306,-0.6460288385697268,-10.184664439400958,0.14239166162979722,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,11,52,5,2,2,1,3.0,0.0,0.5197,0.48169348571698867,0.07963315364552495,0.17575561687925306,-0.8104054256544284,-10.184664439400958,0.10676505180113181,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,12,59,5,1,1,0,0.0,1.0,0.1684,0.16888627862544137,0.20732601039593374,0.17575561687925306,-1.9855876972691338,-10.184664439400958,0.02547810994916628,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,13,54,6,1,2,0,3.0,0.0,0.2036,0.7912659121737804,0.014281196245200476,0.17575561687925306,-0.24844235710296125,-10.184664439400958,0.08897960972826442,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,14,76,5,2,2,1,0.0,1.0,0.5709,0.5722590873279769,0.054682052057044336,0.17575561687925306,-0.6130230595071762,-10.184664439400958,0.026803914708477844,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,15,45,7,1,2,0,3.0,0.0,0.577,0.4268573894269176,0.09621903735707144,0.17575561687925306,-0.9477911099114884,-10.184664439400958,0.07041617686759685,0.15072383799233213
03i65ytrhnqf85c2lvnzb2ov,16,29,7,2,3,1,2.0,0.0,0.7067,0.29120067172807235,0.15827488023611921,0.17575561687925306,-1.39219956018297,-10.184664439400958,0.008932314483969982,0.15072383799233213
06hmew4su9ph9i5gigwdmwr4,1,47,2,2,3,0,1.0,0.0,0.5262,0.4638221332244127,0.10787781322012516,0.16160640495278977,-0.8773441394324966,-8.063233616051981,0.15719235936982334,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,2,20,2,1,1,1,0.0,1.0,0.9302,0.9338010778871658,0.0017411970205373517,0.16160640495278977,-0.07023428897739592,-8.063233616051981,0.06834046090377609,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,3,50,2,1,1,1,2.0,0.0,0.9468,0.05646946208190422,0.3314861027403717,0.16160640495278977,-3.2060110316103394,-8.063233616051981,0.2153407146123229,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,4,71,2,2,3,0,0.0,1.0,0.928,0.9289108537395263,0.0021485827912072542,0.16160640495278977,-0.07589345359123456,-8.063233616051981,0.18630286023655396,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,5,34,3,2,2,0,0.0,1.0,0.6124,0.6197248595498622,0.04991293570006533,0.16160640495278977,-0.5286347427205946,-8.063233616051981,0.07806608178727929,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,6,15,3,1,2,1,0.0,1.0,0.8862,0.8833296815605698,0.0051544053937088415,0.16160640495278977,-0.12921914263199952,-8.063233616051981,-0.028298421812146368,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,7,16,4,2,2,0,0.0,1.0,0.8629,0.862442296728727,0.00737389446663916,0.16160640495278977,-0.1553823314227447,-8.063233616051981,0.17241830422207233,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,8,56,3,1,1,1,0.0,1.0,0.8556,0.8540490473120799,0.007863789418769928,0.16160640495278977,-0.1656516482567696,-8.063233616051981,0.12943195830248932,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,9,60,4,2,1,0,0.0,1.0,0.6744,0.6697802818390295,0.037141491264615356,0.16160640495278977,-0.43811911266892345,-8.063233616051981,0.14239986220509315,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,10,40,4,1,3,1,0.0,1.0,0.8443,0.8392051169435389,0.009825447480385696,0.16160640495278977,-0.18515248937969098,-8.063233616051981,0.07985483837872896,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,11,59,5,2,3,0,3.0,0.0,0.389,0.608138488982387,0.0601465938468342,0.16160640495278977,-0.5583382914872121,-8.063233616051981,0.2451941250359398,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,12,52,5,1,3,1,0.0,1.0,0.771,0.7698744448160921,0.018753643744190775,0.16160640495278977,-0.2803594849228954,-8.063233616051981,0.13962107996769457,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,13,64,6,2,2,0,0.0,1.0,0.6937,0.6933559595937915,0.033766805317243506,0.16160640495278977,-0.4001439682134791,-8.063233616051981,0.1446927195171443,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,14,44,6,1,1,1,0.0,1.0,0.6029,0.597511021706244,0.05641399786952153,0.16160640495278977,-0.5717145801654056,-8.063233616051981,0.12890631328567945,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,15,35,8,2,3,0,0.0,1.0,0.7033,0.7032743288227792,0.030454757136853895,0.16160640495278977,-0.3825915299497282,-8.063233616051981,0.11197043648551305,0.2127375924975225
06hmew4su9ph9i5gigwdmwr4,16,29,7,1,1,1,0.0,1.0,0.883,0.8846363115386897,0.005065973385822088,0.16160640495278977,-0.12765486122549596,-8.063233616051981,0.10658837360218651,0.2127375924975225
06ul9f2coolrse6pnzjrdmbc,1,25,2,1,3,1,0.0,1.0,0.9371,0.9374072166850749,0.0015792961272954938,0.11714643103644082,-0.06621822489668716,-7.408256075438526,0.12709358947022403,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,2,22,2,2,2,0,0.0,1.0,0.8102,0.8031735756232566,0.013130952554034715,0.11714643103644082,-0.23235871127193342,-7.408256075438526,0.15559180079116824,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,3,70,2,1,3,1,0.0,1.0,0.9593,0.9588354637973887,0.0007207201278227672,0.11714643103644082,-0.04275677715068227,-7.408256075438526,0.07435512625770163,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,4,50,2,2,3,0,0.0,1.0,0.863,0.8658117418863817,0.006415861669825237,0.11714643103644082,-0.15051894811368705,-7.408256075438526,0.07427579823734237,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,5,31,3,1,3,1,0.0,1.0,0.8596,0.8638361520803861,0.00636012627055597,0.11714643103644082,-0.15274564866860274,-7.408256075438526,0.13984184025226937,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,6,11,3,2,3,0,0.0,1.0,0.5542,0.5551309176232014,0.06432970518022396,0.11714643103644082,-0.6532431185815906,-7.408256075438526,0.12074476537431258,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,7,56,3,2,3,0,2.0,0.0,0.5591,0.43823114346808706,0.10422697600019626,0.11714643103644082,-0.929954366071998,-7.408256075438526,0.07312752909117665,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,8,17,4,1,1,1,0.0,1.0,0.7818,0.7829684804055312,0.015798784010825736,0.11714643103644082,-0.2605180327511434,-7.408256075438526,0.11114559648310854,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,9,73,4,1,3,1,0.0,1.0,0.7588,0.7569172862492174,0.01935596584572059,0.11714643103644082,-0.2979202119954323,-7.408256075438526,0.07510312334149782,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,10,53,4,2,3,0,3.0,0.0,0.4422,0.5571777693674999,0.06406730065884361,0.11714643103644082,-0.6494164343866053,-7.408256075438526,0.1309716987987469,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,11,80,4,2,3,0,0.0,1.0,0.5375,0.5426821641209755,0.06683491141128887,0.11714643103644082,-0.6783676013101552,-7.408256075438526,0.1440068339808998,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,12,67,5,1,3,1,0.0,1.0,0.9216,0.922728549864442,0.00219976396642941,0.11714643103644082,-0.08262170515831357,-7.408256075438526,0.0028659873378960553,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,13,55,6,1,3,1,0.0,1.0,0.8663,0.8675744402194081,0.006084478140358178,0.11714643103644082,-0.1481479379352546,-7.408256075438526,0.09844725290378496,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,14,46,6,2,2,0,1.0,0.0,0.5598,0.43692757866665705,0.10488076822379422,0.11714643103644082,-0.9335888172289657,-7.408256075438526,0.144909519303153,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,15,24,7,2,1,0,0.0,1.0,0.4496,0.4463676468071929,0.09570561651627439,0.11714643103644082,-0.9026015660349884,-7.408256075438526,0.004213386969812589,0.12138393068461659
06ul9f2coolrse6pnzjrdmbc,16,78,7,1,2,1,1.0,0.0,0.6571,0.34607648766095744,0.1347804395401271,0.11714643103644082,-1.1966573093066586,-7.408256075438526,0.11588256835585896,0.12138393068461659
08p6c81b1uflp82myo5nw9dl,1,19,2,1,3,0,0.0,1.0,0.5409,0.5424934337568448,0.0650090485548985,0.1294347169139445,-0.67700352817279,-8.131646700586725,0.18463883950925664,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,2,25,2,2,2,1,0.0,1.0,0.8867,0.8849036916593014,0.0051081478721394765,0.1294347169139445,-0.1273980040817353,-8.131646700586725,0.15506075992012924,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,3,70,2,2,2,1,0.0,1.0,0.9241,0.922592589974369,0.0024437655466368296,0.1294347169139445,-0.08301549148926135,-8.131646700586725,0.22746130731728642,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,4,61,2,1,3,0,0.0,1.0,0.7937,0.7946653597528714,0.014749667050325752,0.1294347169139445,-0.244679093918732,-8.131646700586725,0.23382142604248057,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,5,27,3,2,1,1,3.0,0.0,0.6841,0.30822218366098303,0.14832877776181896,0.1294347169139445,-1.3255903009790977,-8.131646700586725,0.026464461065675147,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,6,18,3,1,2,0,3.0,0.0,0.4629,0.5372805794432293,0.06714224754791907,0.1294347169139445,-0.6886900752674396,-8.131646700586725,-0.04402049605620131,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,7,16,4,2,2,1,0.0,1.0,0.9047,0.9019933299118936,0.003637511850610644,0.1294347169139445,-0.1067917810208936,-8.131646700586725,0.16073208444057058,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,8,69,3,1,2,0,0.0,1.0,0.7532,0.7516607898613752,0.020497476497838018,0.1294347169139445,-0.30609042906647943,-8.131646700586725,0.2066738212843428,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,9,42,4,1,2,0,3.0,0.0,0.4838,0.5130832021670387,0.07653598210791514,0.1294347169139445,-0.7442896004644197,-8.131646700586725,-0.028699654520333323,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,11,63,5,2,1,1,2.0,0.0,0.4601,0.5452145801029055,0.06494268481442927,0.1294347169139445,-0.6718202639922062,-8.131646700586725,0.07925969461661944,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,12,26,5,1,1,0,2.0,0.0,0.2854,0.7159766174378128,0.027308300758786014,0.1294347169139445,-0.36156435898056216,-8.131646700586725,0.1158804736166339,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,13,36,6,1,2,0,2.0,0.0,0.4401,0.5600493955029058,0.0596879797391248,0.1294347169139445,-0.6397303994268473,-8.131646700586725,0.01478687784598549,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,14,54,6,2,1,1,0.0,1.0,0.4997,0.5000612694192013,0.07715413243394985,0.1294347169139445,-0.7706035826902955,-8.131646700586725,0.19229769332963043,0.1610976112664379
08p6c81b1uflp82myo5nw9dl,15,35,8,2,3,1,0.0,1.0,0.5551,0.5541912850055744,0.06152651893726696,0.1294347169139445,-0.6521543340408122,-8.131646700586725,0.18030033132509565,0.1610976112664379
