name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-15800.0	0.809	38.1	-15900.0	-15800.0	-15700.0	2210.0	0.952	1.0
theta_mu[1]	-0.734	0.00088	0.0916	-0.893	-0.729	-0.594	10841.0	4.66	1.0
theta_mu[2]	0.267	0.000542	0.0584	0.17	0.266	0.364	11627.0	5.0	1.0
theta_mu[3]	1.33	0.00288	0.241	1.02	1.29	1.77	7017.0	3.02	1.0
theta_mu[4]	1.06	0.00172	0.154	0.842	1.04	1.33	7969.0	3.43	1.0
theta_pr[1]	-0.392	0.00481	0.744	-1.62	-0.378	0.813	23944.0	10.3	1.0
theta_pr[2]	0.53	0.00503	0.768	-0.769	0.54	1.78	23326.0	10.0	1.0
theta_pr[3]	0.891	0.00507	0.775	-0.418	0.917	2.11	23341.0	10.0	1.0
theta_pr[4]	0.323	0.00495	0.738	-0.914	0.337	1.5	22201.0	9.55	1.0
theta_pr[5]	0.913	0.00507	0.754	-0.32	0.918	2.12	22113.0	9.51	1.0
theta_pr[6]	0.797	0.0051	0.788	-0.518	0.809	2.08	23893.0	10.3	1.0
theta_pr[7]	0.232	0.00458	0.73	-0.959	0.234	1.43	25417.0	10.9	1.0
theta_pr[8]	-0.706	0.00488	0.702	-1.88	-0.7	0.43	20666.0	8.89	1.0
theta_pr[9]	0.0657	0.00449	0.714	-1.11	0.0765	1.22	25326.0	10.9	1.0
theta_pr[10]	-0.261	0.00515	0.813	-1.62	-0.247	1.03	24930.0	10.7	1.0
theta_pr[11]	1.35	0.00501	0.772	0.0842	1.34	2.61	23772.0	10.2	1.0
theta_pr[12]	-0.245	0.00453	0.706	-1.41	-0.243	0.893	24302.0	10.5	1.0
theta_pr[13]	-0.181	0.00509	0.786	-1.5	-0.161	1.06	23827.0	10.2	1.0
theta_pr[14]	-0.113	0.00507	0.761	-1.39	-0.0953	1.12	22546.0	9.69	1.0
theta_pr[15]	0.444	0.0047	0.748	-0.777	0.449	1.66	25339.0	10.9	1.0
theta_pr[16]	0.0283	0.00526	0.822	-1.35	0.0414	1.36	24422.0	10.5	1.0
theta_pr[17]	-0.369	0.00472	0.701	-1.54	-0.36	0.769	22121.0	9.51	1.0
theta_pr[18]	-1.06	0.00503	0.771	-2.38	-1.04	0.159	23519.0	10.1	1.0
theta_pr[19]	-0.277	0.0044	0.703	-1.44	-0.265	0.862	25496.0	11.0	1.0
theta_pr[20]	-0.527	0.00529	0.776	-1.84	-0.513	0.724	21472.0	9.23	1.0
theta_pr[21]	0.454	0.00459	0.749	-0.762	0.45	1.68	26592.0	11.4	1.0
theta_pr[22]	-0.532	0.0047	0.69	-1.7	-0.521	0.593	21527.0	9.26	1.0
theta_pr[23]	1.62	0.00481	0.774	0.343	1.62	2.88	25901.0	11.1	1.0
theta_pr[24]	-0.545	0.00456	0.729	-1.75	-0.546	0.635	25557.0	11.0	1.0
theta_pr[25]	-0.721	0.00453	0.748	-1.98	-0.708	0.474	27225.0	11.7	1.0
theta_pr[26]	0.249	0.00441	0.728	-0.942	0.252	1.44	27252.0	11.7	1.0
theta_pr[27]	-0.248	0.00497	0.735	-1.46	-0.236	0.933	21869.0	9.4	1.0
theta_pr[28]	0.308	0.00462	0.714	-0.895	0.323	1.47	23869.0	10.3	1.0
theta_pr[29]	0.313	0.00469	0.712	-0.852	0.317	1.48	23070.0	9.92	1.0
theta_pr[30]	0.268	0.00482	0.734	-0.955	0.277	1.44	23195.0	9.97	1.0
theta_pr[31]	0.09	0.00481	0.736	-1.12	0.104	1.28	23432.0	10.1	1.0
theta_pr[32]	0.246	0.00525	0.778	-1.05	0.267	1.47	21966.0	9.45	1.0
theta_pr[33]	-1.14	0.00515	0.8	-2.48	-1.13	0.172	24159.0	10.4	1.0
theta_pr[34]	-0.345	0.00488	0.759	-1.62	-0.329	0.871	24206.0	10.4	1.0
theta_pr[35]	0.236	0.00483	0.745	-0.988	0.236	1.46	23777.0	10.2	1.0
theta_pr[36]	0.128	0.00487	0.744	-1.1	0.143	1.33	23354.0	10.0	1.0
theta_pr[37]	0.334	0.00452	0.707	-0.844	0.334	1.48	24429.0	10.5	1.0
theta_pr[38]	0.215	0.00452	0.701	-0.94	0.223	1.36	24031.0	10.3	1.0
theta_pr[39]	-0.568	0.00468	0.704	-1.76	-0.546	0.566	22619.0	9.73	1.0
theta_pr[40]	-0.429	0.00497	0.738	-1.66	-0.42	0.76	22092.0	9.5	1.0
theta_pr[41]	0.627	0.0049	0.748	-0.606	0.632	1.87	23277.0	10.0	1.0
theta_pr[42]	0.134	0.00477	0.752	-1.11	0.138	1.36	24876.0	10.7	1.0
theta_pr[43]	-0.128	0.00493	0.763	-1.39	-0.125	1.11	23979.0	10.3	1.0
theta_pr[44]	-0.158	0.0046	0.739	-1.42	-0.147	1.02	25815.0	11.1	1.0
theta_pr[45]	-0.552	0.00508	0.79	-1.88	-0.535	0.718	24165.0	10.4	1.0
theta_pr[46]	0.378	0.00475	0.761	-0.889	0.391	1.62	25606.0	11.0	1.0
theta_pr[47]	0.415	0.0053	0.745	-0.811	0.426	1.62	19780.0	8.51	1.0
theta_pr[48]	-1.18	0.00447	0.702	-2.35	-1.17	-0.0567	24655.0	10.6	1.0
theta_pr[49]	-0.884	0.00508	0.729	-2.12	-0.861	0.267	20583.0	8.85	1.0
theta_pr[50]	0.461	0.00541	0.839	-0.95	0.476	1.81	24029.0	10.3	1.0
theta_pr[51]	-0.289	0.00476	0.732	-1.5	-0.279	0.899	23686.0	10.2	1.0
theta_pr[52]	0.537	0.00531	0.79	-0.797	0.558	1.8	22131.0	9.52	1.0
theta_pr[53]	0.521	0.00466	0.734	-0.724	0.536	1.7	24757.0	10.6	1.0
theta_pr[54]	0.183	0.00485	0.727	-1.01	0.194	1.37	22474.0	9.66	1.0
theta_pr[55]	0.0599	0.00472	0.735	-1.18	0.0853	1.22	24272.0	10.4	1.0
