name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1]	-0.253	0.00368	0.555	-1.21	-0.225	0.626	22744.0	6.03	1.0
theta[2]	0.776	0.00459	0.581	-0.206	0.783	1.72	15982.0	4.23	1.0
theta[3]	-0.247	0.00369	0.514	-1.12	-0.229	0.567	19434.0	5.15	1.0
theta[4]	0.906	0.00496	0.636	-0.183	0.921	1.91	16428.0	4.35	1.0
theta[5]	0.783	0.00393	0.572	-0.168	0.799	1.7	21138.0	5.6	1.0
theta[6]	-0.218	0.00405	0.563	-1.19	-0.192	0.659	19274.0	5.11	1.0
theta[7]	-0.0029	0.00388	0.53	-0.905	0.0102	0.841	18683.0	4.95	1.0
theta[8]	1.58	0.00388	0.616	0.594	1.57	2.61	25200.0	6.68	1.0
theta[9]	0.852	0.00384	0.548	-0.0653	0.857	1.73	20395.0	5.4	1.0
theta[10]	-1.5	0.00466	0.655	-2.65	-1.46	-0.486	19804.0	5.25	1.0
theta[11]	-0.431	0.00375	0.492	-1.27	-0.404	0.327	17273.0	4.58	1.0
theta[12]	-0.898	0.00432	0.606	-1.96	-0.863	0.0301	19624.0	5.2	1.0
theta[13]	-0.382	0.00426	0.548	-1.31	-0.359	0.473	16523.0	4.38	1.0
theta[14]	-0.806	0.00447	0.566	-1.77	-0.775	0.059	16037.0	4.25	1.0
theta[15]	0.263	0.00362	0.524	-0.61	0.271	1.1	20939.0	5.55	1.0
theta[16]	0.0446	0.00441	0.594	-0.99	0.0782	0.969	18131.0	4.8	1.0
theta[17]	0.688	0.00391	0.541	-0.229	0.704	1.56	19186.0	5.08	1.0
theta[18]	0.375	0.00383	0.555	-0.547	0.389	1.27	21018.0	5.57	1.0
theta[19]	0.49	0.00423	0.558	-0.474	0.514	1.36	17413.0	4.61	1.0
theta[20]	-0.161	0.0042	0.599	-1.19	-0.137	0.774	20350.0	5.39	1.0
theta[21]	-0.92	0.00401	0.547	-1.87	-0.885	-0.087	18578.0	4.92	1.0
theta[22]	0.564	0.00417	0.578	-0.387	0.573	1.5	19185.0	5.08	1.0
theta[23]	-0.603	0.00425	0.556	-1.58	-0.565	0.245	17094.0	4.53	1.0
theta[24]	-0.383	0.00439	0.591	-1.42	-0.34	0.52	18096.0	4.79	1.0
theta[25]	0.778	0.00422	0.578	-0.153	0.78	1.72	18817.0	4.98	1.0
theta[26]	0.12	0.00371	0.543	-0.782	0.135	0.992	21419.0	5.67	1.0
theta[27]	-0.4	0.00405	0.594	-1.44	-0.363	0.52	21547.0	5.71	1.0
theta[28]	0.211	0.00412	0.562	-0.744	0.24	1.1	18572.0	4.92	1.0
theta[29]	-1.26	0.00425	0.563	-2.24	-1.23	-0.417	17558.0	4.65	1.0
theta[30]	-0.0235	0.00494	0.598	-1.05	1.41e-05	0.925	14615.0	3.87	1.0
theta[31]	-0.478	0.00406	0.544	-1.43	-0.445	0.356	17974.0	4.76	1.0
theta[32]	0.204	0.00374	0.535	-0.707	0.227	1.03	20406.0	5.41	1.0
theta[33]	0.386	0.0037	0.531	-0.491	0.396	1.24	20597.0	5.46	1.0
theta[34]	-0.255	0.00454	0.605	-1.29	-0.222	0.666	17747.0	4.7	1.0
theta[35]	0.168	0.00359	0.539	-0.746	0.187	1.03	22568.0	5.98	1.0
theta[36]	0.72	0.00384	0.542	-0.168	0.721	1.6	19924.0	5.28	1.0
theta[37]	-0.266	0.00401	0.521	-1.16	-0.244	0.553	16833.0	4.46	1.0
theta[38]	-0.522	0.00399	0.535	-1.45	-0.489	0.301	17948.0	4.75	1.0
theta[39]	-0.393	0.00425	0.565	-1.35	-0.379	0.515	17660.0	4.68	1.0
theta[40]	0.0682	0.00435	0.555	-0.883	0.098	0.934	16253.0	4.31	1.0
theta[41]	-0.0635	0.00378	0.531	-0.974	-0.0365	0.764	19746.0	5.23	1.0
theta[42]	-0.834	0.00424	0.581	-1.85	-0.805	0.0696	18823.0	4.99	1.0
theta[43]	-0.411	0.00477	0.611	-1.44	-0.386	0.552	16411.0	4.35	1.0
theta[44]	-0.281	0.00411	0.574	-1.27	-0.252	0.617	19516.0	5.17	1.0
theta[45]	-0.674	0.00391	0.559	-1.66	-0.637	0.177	20397.0	5.4	1.0
theta[46]	1.45	0.00389	0.605	0.476	1.43	2.47	24128.0	6.39	1.0
theta[47]	-0.502	0.00413	0.553	-1.47	-0.472	0.361	17963.0	4.76	1.0
theta[48]	0.298	0.00401	0.544	-0.622	0.317	1.17	18415.0	4.88	1.0
theta[49]	0.524	0.00361	0.548	-0.389	0.532	1.4	22996.0	6.09	1.0
theta[50]	0.935	0.0037	0.559	0.0301	0.929	1.86	22818.0	6.04	1.0
theta[51]	-0.0777	0.00388	0.541	-0.991	-0.0521	0.759	19444.0	5.15	1.0
theta[52]	0.183	0.0038	0.569	-0.77	0.192	1.09	22429.0	5.94	1.0
theta[53]	-0.00583	0.00376	0.538	-0.918	0.0103	0.837	20472.0	5.42	1.0
theta[54]	-0.416	0.00457	0.602	-1.46	-0.372	0.498	17338.0	4.59	1.0
theta[55]	-0.674	0.00424	0.609	-1.71	-0.644	0.279	20597.0	5.46	1.0
theta[56]	0.156	0.00493	0.602	-0.895	0.185	1.09	14922.0	3.95	1.0
theta[57]	-0.0964	0.00445	0.593	-1.12	-0.073	0.815	17786.0	4.71	1.0
theta[58]	-0.186	0.00426	0.578	-1.16	-0.169	0.748	18404.0	4.88	1.0
theta[59]	-0.0301	0.00399	0.556	-0.982	-0.00378	0.834	19356.0	5.13	1.0
theta[60]	-0.721	0.00427	0.607	-1.78	-0.681	0.21	20205.0	5.35	1.0
theta[61]	-0.182	0.00429	0.565	-1.16	-0.156	0.697	17355.0	4.6	1.0
theta[62]	0.113	0.00425	0.605	-0.894	0.124	1.07	20252.0	5.37	1.0
theta[63]	0.616	0.00394	0.54	-0.289	0.631	1.48	18771.0	4.97	1.0
theta[64]	0.621	0.00385	0.547	-0.301	0.63	1.5	20170.0	5.34	1.0
theta[65]	-0.00767	0.00379	0.558	-0.966	0.0226	0.857	21628.0	5.73	1.0
theta[66]	0.137	0.00367	0.528	-0.762	0.154	0.974	20679.0	5.48	1.0
theta[67]	0.382	0.00369	0.532	-0.509	0.394	1.23	20766.0	5.5	1.0
theta[68]	-0.863	0.00389	0.565	-1.84	-0.828	0.0141	21060.0	5.58	1.0
theta[69]	-0.873	0.0042	0.574	-1.9	-0.831	0.00376	18652.0	4.94	1.0
theta[70]	0.661	0.00508	0.636	-0.403	0.675	1.67	15695.0	4.16	1.0
theta[71]	0.271	0.00355	0.524	-0.614	0.287	1.1	21766.0	5.77	1.0
theta[72]	-1.62	0.00462	0.609	-2.67	-1.57	-0.687	17386.0	4.61	1.0
theta[73]	0.327	0.00369	0.527	-0.572	0.343	1.16	20441.0	5.42	1.0
theta[74]	-0.493	0.00396	0.544	-1.42	-0.472	0.365	18863.0	5.0	1.0
theta[75]	-1.69	0.00441	0.613	-2.75	-1.66	-0.75	19329.0	5.12	1.0
theta[76]	0.531	0.00374	0.546	-0.373	0.542	1.42	21359.0	5.66	1.0
theta[77]	-1.13	0.00439	0.631	-2.23	-1.09	-0.16	20672.0	5.48	1.0
theta[78]	-0.508	0.00386	0.561	-1.48	-0.481	0.365	21093.0	5.59	1.0
theta[79]	-0.449	0.00427	0.579	-1.44	-0.422	0.445	18393.0	4.87	1.0
theta[80]	0.319	0.00366	0.547	-0.599	0.328	1.22	22367.0	5.93	1.0
theta[81]	-1.22	0.00446	0.637	-2.32	-1.18	-0.227	20443.0	5.42	1.0
theta[82]	0.0749	0.00402	0.546	-0.844	0.0985	0.918	18447.0	4.89	1.0
theta[83]	1.02	0.00423	0.588	0.0354	1.02	1.97	19360.0	5.13	1.0
theta[84]	0.49	0.00428	0.606	-0.507	0.5	1.47	20019.0	5.3	1.0
theta[85]	0.249	0.00378	0.516	-0.633	0.27	1.06	18651.0	4.94	1.0
theta[86]	-0.0605	0.00371	0.492	-0.907	-0.0375	0.71	17598.0	4.66	1.0
theta[87]	-0.811	0.00416	0.577	-1.8	-0.781	0.0696	19241.0	5.1	1.0
theta[88]	0.409	0.00384	0.554	-0.536	0.429	1.27	20737.0	5.49	1.0
theta[89]	-0.784	0.00451	0.626	-1.87	-0.752	0.17	19273.0	5.11	1.0
theta[90]	-0.822	0.00427	0.599	-1.85	-0.796	0.102	19652.0	5.21	1.0
theta[91]	0.584	0.00394	0.58	-0.384	0.593	1.51	21725.0	5.76	1.0
theta[92]	-0.115	0.00388	0.526	-1.01	-0.0857	0.697	18376.0	4.87	1.0
theta[93]	0.403	0.00383	0.54	-0.51	0.411	1.26	19931.0	5.28	1.0
theta[94]	-0.39	0.00394	0.533	-1.3	-0.363	0.438	18323.0	4.85	1.0
theta[95]	0.876	0.00389	0.554	-0.022	0.875	1.78	20276.0	5.37	1.0
theta[96]	0.317	0.00406	0.581	-0.658	0.333	1.23	20493.0	5.43	1.0
theta[97]	0.811	0.00353	0.505	-0.026	0.811	1.64	20502.0	5.43	1.0
theta[98]	1.17	0.00385	0.592	0.224	1.16	2.15	23661.0	6.27	1.0
theta[99]	-0.0322	0.00364	0.561	-0.994	-0.0119	0.863	23803.0	6.31	1.0
theta[100]	-1.56	0.00439	0.619	-2.62	-1.52	-0.608	19883.0	5.27	1.0
theta[101]	0.101	0.00356	0.512	-0.761	0.124	0.91	20779.0	5.5	1.0
theta[102]	0.773	0.00366	0.55	-0.141	0.778	1.66	22506.0	5.96	1.0
theta[103]	-0.414	0.00394	0.549	-1.36	-0.392	0.448	19380.0	5.13	1.0
theta[104]	-0.31	0.00386	0.527	-1.24	-0.269	0.491	18571.0	4.92	1.0
theta[105]	1.99	0.00454	0.647	0.961	1.96	3.08	20306.0	5.38	1.0
theta[106]	0.0394	0.00378	0.53	-0.85	0.0543	0.88	19725.0	5.23	1.0
theta[107]	0.329	0.00326	0.504	-0.515	0.335	1.15	23894.0	6.33	1.0
theta[108]	-0.0638	0.00425	0.59	-1.05	-0.0446	0.866	19290.0	5.11	1.0
theta[109]	0.455	0.00378	0.536	-0.417	0.462	1.33	20082.0	5.32	1.0
theta[110]	1.04	0.00395	0.558	0.127	1.04	1.96	19928.0	5.28	1.0
theta[111]	-0.0768	0.00528	0.703	-1.25	-0.0597	1.05	17761.0	4.71	1.0
theta[112]	-2.07	0.00434	0.603	-3.12	-2.03	-1.15	19272.0	5.11	1.0
theta[113]	-0.205	0.00414	0.536	-1.13	-0.181	0.634	16790.0	4.45	1.0
theta[114]	-0.384	0.0038	0.519	-1.24	-0.358	0.428	18666.0	4.94	1.0
theta[115]	0.949	0.00382	0.538	0.0667	0.945	1.83	19836.0	5.25	1.0
theta[116]	-0.584	0.00401	0.573	-1.58	-0.551	0.292	20418.0	5.41	1.0
theta[117]	-1.85	0.00415	0.598	-2.89	-1.82	-0.916	20735.0	5.49	1.0
theta[118]	-0.167	0.00379	0.526	-1.07	-0.139	0.651	19268.0	5.1	1.0
theta[119]	-1.45	0.00459	0.635	-2.56	-1.41	-0.485	19083.0	5.06	1.0
theta[120]	-0.29	0.00364	0.563	-1.24	-0.266	0.59	23923.0	6.34	1.0
theta[121]	1.39	0.00428	0.639	0.381	1.38	2.45	22280.0	5.9	1.0
theta[122]	-0.0855	0.00435	0.586	-1.09	-0.0584	0.83	18182.0	4.82	1.0
theta[123]	-0.207	0.00373	0.534	-1.12	-0.184	0.635	20530.0	5.44	1.0
theta[124]	-0.195	0.00366	0.508	-1.07	-0.171	0.603	19268.0	5.1	1.0
theta[125]	-0.402	0.00401	0.545	-1.36	-0.374	0.442	18525.0	4.91	1.0
