name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1]	-0.269	0.00387	0.538	-1.18	-0.248	0.573	19299.0	4.2	1.0
theta[2]	0.836	0.00417	0.603	-0.156	0.836	1.83	20922.0	4.56	1.0
theta[3]	-0.264	0.00343	0.501	-1.09	-0.255	0.53	21375.0	4.65	1.0
theta[4]	1.01	0.00423	0.619	0.00537	1.01	2.01	21379.0	4.65	1.0
theta[5]	0.736	0.00385	0.581	-0.221	0.737	1.69	22776.0	4.96	1.0
theta[6]	-0.222	0.00384	0.539	-1.13	-0.2	0.619	19716.0	4.29	1.0
theta[7]	0.0267	0.00356	0.52	-0.842	0.0306	0.87	21345.0	4.65	1.0
theta[8]	1.53	0.00395	0.612	0.556	1.51	2.59	24030.0	5.23	1.0
theta[9]	0.817	0.00364	0.533	-0.038	0.807	1.71	21369.0	4.65	1.0
theta[10]	-1.54	0.00433	0.635	-2.65	-1.51	-0.554	21510.0	4.68	1.0
theta[11]	-0.441	0.00344	0.481	-1.26	-0.423	0.314	19517.0	4.25	1.0
theta[12]	-0.885	0.00425	0.608	-1.95	-0.851	0.0654	20511.0	4.47	1.0
theta[13]	-0.369	0.00362	0.529	-1.25	-0.361	0.477	21283.0	4.63	1.0
theta[14]	-0.813	0.0041	0.57	-1.79	-0.792	0.0601	19291.0	4.2	1.0
theta[15]	0.259	0.00362	0.526	-0.616	0.264	1.12	21097.0	4.59	1.0
theta[16]	0.0569	0.00416	0.592	-0.953	0.0816	0.989	20291.0	4.42	1.0
theta[17]	0.696	0.00394	0.56	-0.246	0.701	1.62	20173.0	4.39	1.0
theta[18]	0.365	0.00376	0.551	-0.534	0.369	1.26	21564.0	4.69	1.0
theta[19]	0.495	0.00408	0.561	-0.464	0.517	1.36	18869.0	4.11	1.0
theta[20]	-0.126	0.00406	0.583	-1.09	-0.107	0.812	20641.0	4.49	1.0
theta[21]	-0.939	0.00374	0.521	-1.83	-0.909	-0.137	19372.0	4.22	1.0
theta[22]	0.553	0.00405	0.597	-0.408	0.546	1.54	21681.0	4.72	1.0
theta[23]	-0.601	0.00391	0.525	-1.51	-0.571	0.195	18008.0	3.92	1.0
theta[24]	-0.393	0.00431	0.567	-1.38	-0.365	0.493	17283.0	3.76	1.0
theta[25]	0.777	0.0039	0.585	-0.161	0.76	1.77	22488.0	4.9	1.0
theta[26]	0.11	0.00371	0.546	-0.783	0.113	0.998	21689.0	4.72	1.0
theta[27]	-0.424	0.00412	0.572	-1.4	-0.404	0.502	19271.0	4.2	1.0
theta[28]	0.259	0.0041	0.572	-0.702	0.277	1.17	19494.0	4.24	1.0
theta[29]	-1.27	0.00388	0.537	-2.21	-1.24	-0.449	19150.0	4.17	1.0
theta[30]	-0.0119	0.0046	0.592	-1.01	0.00772	0.925	16554.0	3.6	1.0
theta[31]	-0.498	0.0037	0.523	-1.39	-0.48	0.32	20024.0	4.36	1.0
theta[32]	0.175	0.00334	0.518	-0.69	0.184	1.0	24080.0	5.24	1.0
theta[33]	0.376	0.00358	0.516	-0.472	0.379	1.23	20791.0	4.53	1.0
theta[34]	-0.238	0.00413	0.585	-1.26	-0.214	0.687	20047.0	4.36	1.0
theta[35]	0.142	0.00351	0.521	-0.731	0.155	0.974	21976.0	4.78	1.0
theta[36]	0.721	0.00363	0.54	-0.17	0.716	1.62	22137.0	4.82	1.0
theta[37]	-0.273	0.00361	0.508	-1.12	-0.263	0.534	19809.0	4.31	1.0
theta[38]	-0.54	0.00343	0.499	-1.4	-0.519	0.25	21240.0	4.62	1.0
theta[39]	-0.371	0.00403	0.578	-1.34	-0.368	0.57	20632.0	4.49	1.0
theta[40]	0.0577	0.00398	0.559	-0.887	0.0728	0.944	19769.0	4.3	1.0
theta[41]	-0.0956	0.00339	0.507	-0.96	-0.0779	0.712	22349.0	4.87	1.0
theta[42]	-0.844	0.00413	0.567	-1.83	-0.818	0.0433	18850.0	4.1	1.0
theta[43]	-0.328	0.00435	0.617	-1.37	-0.308	0.64	20150.0	4.39	1.0
theta[44]	-0.267	0.00403	0.57	-1.25	-0.245	0.626	20038.0	4.36	1.0
theta[45]	-0.69	0.00408	0.559	-1.66	-0.664	0.168	18740.0	4.08	1.0
theta[46]	1.43	0.0039	0.592	0.496	1.42	2.41	23016.0	5.01	1.0
theta[47]	-0.522	0.00379	0.532	-1.43	-0.503	0.304	19763.0	4.3	1.0
theta[48]	0.285	0.00367	0.516	-0.581	0.291	1.11	19736.0	4.3	1.0
theta[49]	0.513	0.0037	0.547	-0.391	0.511	1.41	21861.0	4.76	1.0
theta[50]	0.888	0.00396	0.569	-0.0262	0.88	1.85	20674.0	4.5	1.0
theta[51]	-0.105	0.00361	0.525	-0.991	-0.0921	0.731	21093.0	4.59	1.0
theta[52]	0.169	0.00382	0.562	-0.76	0.179	1.08	21645.0	4.71	1.0
