k1,k2,obs,pred,pval
0,0,0.01963,0.019116,0.0249
1,0,0.050687,0.010575,0.0061
2,0,0.040062,0.010748,0.0172
2,1,9.8e-05,0.010819,0.1362
3,0,0.02501,0.008584,0.0465
3,1,0.0281,0.008616,0.0311
3,2,0.012589,0.011053,0.095
4,0,-0.002035,0.009868,0.1422
4,1,0.044675,0.010883,0.0084
4,3,0.0284,0.011872,0.043
5,0,-0.025144,0.009011,0.191
5,1,0.014552,0.008235,0.0751
5,2,0.0016,0.01035,0.1296
5,3,0.02974,0.009425,0.0337
5,4,0.050939,0.010489,0.006
6,0,0.035627,0.012007,0.0275
6,1,-0.031791,0.011925,0.1953
6,3,-0.012409,0.011266,0.174
6,5,0.026165,0.011186,0.0469
7,0,0.025034,0.009853,0.0483
7,1,0.005364,0.010615,0.117
7,2,0.019852,0.009429,0.0634
7,4,0.005037,0.011061,0.1267
7,5,0.045825,0.008335,0.0038
7,6,-0.015309,0.012438,0.1828
8,0,0.036873,0.011108,0.0239
8,1,-0.002402,0.011524,0.1476
8,2,-0.013992,0.012297,0.1782
8,4,0.015242,0.012307,0.0866
8,5,0.012317,0.010433,0.0913
8,6,0.045489,0.012563,0.012
9,0,-0.020906,0.008775,0.1833
9,1,0.038783,0.009948,0.0164
9,3,0.00735,0.01046,0.1097
9,5,0.026552,0.010124,0.047
9,7,0.018883,0.007473,0.0597
9,8,0.020744,0.011382,0.0633
10,1,0.027469,0.012036,0.0508
10,2,-0.006465,0.01227,0.1612
10,3,0.015455,0.010162,0.0794
10,4,0.000695,0.012005,0.1402
10,5,0.040161,0.008895,0.008
10,6,0.014059,0.013703,0.0947
10,7,0.010768,0.011051,0.1039
10,8,0.006384,0.013157,0.1256
10,9,0.001776,0.011492,0.1391
11,1,0.030632,0.011714,0.0362
11,2,0.000714,0.011058,0.136
11,3,0.01478,0.010197,0.0801
11,4,0.02942,0.011239,0.038
11,5,0.027179,0.009752,0.0371
11,6,-0.028404,0.013385,0.1954
11,7,-0.009545,0.012117,0.1664
11,8,0.020119,0.011578,0.0655
11,9,0.027434,0.009964,0.0397
12,0,0.005162,0.011359,0.1251
12,1,0.029443,0.011675,0.0376
12,2,0.003862,0.013973,0.1349
12,3,0.030644,0.014224,0.0467
12,4,0.029398,0.014905,0.0483
12,5,0.008571,0.011717,0.1081
12,6,0.016544,0.014823,0.0933
12,7,0.023226,0.010858,0.0574
12,8,0.001761,0.016242,0.1488
12,9,0.019953,0.013426,0.08
12,10,0.009975,0.013185,0.1135
12,11,-0.003546,0.011464,0.156
13,1,-0.03333,0.011199,0.1963
13,2,0.025093,0.011532,0.0539
13,3,0.009692,0.008777,0.0978
13,4,-0.005756,0.01093,0.1578
13,5,0.000183,0.007473,0.1298
13,6,-0.009771,0.012618,0.168
13,7,-0.024686,0.01194,0.192
13,8,-0.036656,0.011842,0.1989
13,9,-0.017765,0.010222,0.1839
13,12,-0.019906,0.010994,0.187
14,0,0.022478,0.011878,0.0625
14,1,0.017918,0.010571,0.0739
14,2,-0.010377,0.010815,0.1699
14,3,0.039737,0.009171,0.0133
14,4,0.013535,0.011554,0.0921
14,5,0.007454,0.009145,0.109
14,6,0.027616,0.01248,0.05
14,7,0.019311,0.011321,0.0691
14,8,0.027281,0.011527,0.0415
14,9,0.039949,0.010157,0.0144
14,10,-0.009892,0.013353,0.178
14,11,-0.068966,0.012762,0.2
14,12,-0.011061,0.011413,0.1765
14,13,-0.007704,0.011674,0.1612
15,0,0.008915,0.0116,0.112
15,1,-0.013091,0.011841,0.174
15,2,0.040046,0.012973,0.0218
15,3,0.002945,0.012053,0.1286
15,4,-0.000248,0.012922,0.147
15,5,0.015726,0.012523,0.0869
15,6,0.048863,0.012432,0.0084
15,7,-0.011926,0.010801,0.1773
15,8,0.031939,0.013701,0.0447
15,9,-0.001767,0.012393,0.1496
15,10,0.015204,0.01219,0.0877
15,11,0.029649,0.010863,0.0345
15,13,-0.014734,0.009687,0.1791
15,14,-0.000926,0.010409,0.1481
16,0,0.051018,0.011663,0.0094
16,1,0.012987,0.010387,0.092
16,2,-0.005654,0.009256,0.1555
16,3,0.027049,0.008125,0.0273
16,4,-0.01641,0.009552,0.1812
16,5,0.049128,0.007042,0.0016
16,6,0.02431,0.011272,0.0516
16,7,0.017283,0.01111,0.0779
16,8,0.027898,0.010435,0.0347
16,9,0.029545,0.009864,0.0309
16,10,0.00952,0.011516,0.106
16,11,-0.044631,0.012111,0.1982
16,12,0.00391,0.009721,0.1285
16,13,0.003444,0.011237,0.127
16,14,-0.00723,0.010839,0.1622
16,15,-0.000909,0.009148,0.1418
17,0,0.002388,0.006319,0.1184
17,1,-0.006303,0.005935,0.1459
17,2,0.013919,0.009771,0.086
17,3,-0.003929,0.00917,0.1402
17,4,0.047717,0.008949,0.0082
17,6,0.037527,0.009096,0.0207
17,7,0.009683,0.006649,0.0894
17,8,0.00175,0.009646,0.1277
17,9,-0.00863,0.008429,0.1586
17,10,0.002302,0.007373,0.1198
17,11,0.014574,0.006846,0.066
17,12,-0.002395,0.011896,0.1447
17,13,0.013782,0.006181,0.0715
17,14,0.006491,0.005854,0.103
17,15,0.050905,0.010323,0.0057
17,16,0.007098,0.00621,0.1002
18,0,-0.0065,0.01096,0.1615
18,1,0.026013,0.010621,0.0409
18,2,0.034117,0.012049,0.0306
18,3,0.037473,0.012007,0.0239
18,4,0.014495,0.011978,0.0911
18,5,0.019458,0.011182,0.0707
18,6,-0.022161,0.013716,0.189
18,7,0.004415,0.010537,0.1226
18,8,0.034506,0.014376,0.0391
18,9,0.023834,0.011028,0.0532
18,10,0.013165,0.011979,0.094
18,11,-0.001595,0.012626,0.15
18,12,0.038678,0.014236,0.024
18,13,-0.004934,0.011182,0.1547
18,14,-0.01245,0.012354,0.1785
18,15,0.000775,0.013215,0.1428
18,16,0.000565,0.009587,0.133
18,17,0.011019,0.008754,0.0897
19,0,0.032874,0.010623,0.0339
19,1,0.020368,0.009708,0.0599
19,2,0.032616,0.009646,0.0282
19,3,-0.003,0.009011,0.1436
19,4,-0.009671,0.009369,0.1635
19,5,0.013793,0.009041,0.0838
19,6,-0.012675,0.011658,0.1721
19,7,0.000722,0.010125,0.1335
19,8,0.022946,0.010926,0.0584
19,9,0.006203,0.009125,0.112
19,10,-0.002748,0.010851,0.1448
19,11,0.045012,0.010796,0.0106
19,12,-0.036471,0.010738,0.1965
19,13,0.044369,0.010534,0.0115
19,14,0.01275,0.010959,0.0917
19,15,-0.020005,0.011449,0.1873
19,17,-0.036638,0.007597,0.196
19,18,0.039359,0.011261,0.0194
20,0,0.025084,0.013129,0.0599
20,1,-0.02309,0.012788,0.1911
20,2,-0.006906,0.013146,0.1626
20,3,0.008347,0.014406,0.1224
20,4,-0.018212,0.015733,0.1869
20,5,0.006131,0.012094,0.1235
20,6,-0.02192,0.016888,0.195
20,7,0.072008,0.012118,0.0005
20,8,-0.020124,0.015993,0.1896
20,9,0.002959,0.013122,0.135
20,10,0.001932,0.014982,0.1457
20,11,-0.020902,0.014813,0.1904
20,13,-0.022157,0.013218,0.1901
20,14,0.00454,0.013035,0.1299
20,16,-0.009989,0.011118,0.1663
20,17,-0.00954,0.010449,0.1645
20,18,-0.020437,0.014623,0.1872
20,19,-0.006898,0.012951,0.163
21,0,-0.044443,0.014842,0.1991
21,1,-0.004984,0.012849,0.1594
21,2,-0.021497,0.013469,0.1909
21,3,-0.040456,0.012874,0.199
21,4,-0.018319,0.01377,0.1854
21,5,-0.011787,0.012142,0.1732
21,6,-0.003572,0.015202,0.1595
21,7,-0.008802,0.013405,0.1694
21,8,0.004217,0.014987,0.1395
21,9,0.012443,0.014028,0.1046
21,10,-0.030063,0.015395,0.1946
21,11,-0.012033,0.01408,0.1812
21,13,0.022745,0.014093,0.0696
21,14,-0.005456,0.01466,0.1638
21,16,-0.005299,0.012257,0.1583
21,17,-0.028948,0.009183,0.193
21,18,0.018451,0.014608,0.0871
21,19,-0.024798,0.01294,0.1937
22,0,-0.007675,0.009715,0.1554
22,1,0.026976,0.009596,0.0391
22,2,-0.004678,0.010686,0.159
22,3,0.020017,0.010037,0.0679
22,4,0.038535,0.01001,0.0225
22,5,0.010278,0.009351,0.0994
22,6,0.016766,0.012146,0.081
22,7,0.016776,0.010678,0.0785
22,8,0.019464,0.011129,0.0697
22,9,0.038785,0.010153,0.0163
22,10,0.01062,0.010844,0.1027
22,11,0.037958,0.011235,0.017
22,12,0.017085,0.012343,0.0817
22,13,0.025898,0.010602,0.0438
22,14,0.018414,0.010053,0.0669
22,15,-0.020917,0.011382,0.19
22,16,0.013371,0.009329,0.0862
22,17,0.012748,0.008523,0.0839
22,19,-0.029064,0.009287,0.1926
22,20,0.000658,0.012453,0.1433
22,21,-0.01601,0.013506,0.181
23,0,0.010213,0.00917,0.0971
23,1,0.002088,0.008129,0.1256
23,2,0.001728,0.010446,0.133
23,3,-0.035457,0.009922,0.194
23,4,0.03996,0.009743,0.0154
23,5,-0.001689,0.011052,0.1454
23,6,0.023753,0.010609,0.0532
23,7,0.001159,0.007358,0.1245
23,8,0.01947,0.012325,0.0723
23,9,0.027338,0.009595,0.0423
23,10,0.048496,0.010275,0.0099
23,11,0.016714,0.009386,0.0705
23,12,0.019785,0.013286,0.0776
23,13,0.024743,0.008519,0.0404
23,14,-0.011833,0.008519,0.17
23,15,0.01063,0.01222,0.1081
23,16,0.024213,0.007679,0.0348
23,17,-0.013648,0.009132,0.1678
23,19,0.004779,0.008095,0.1128
23,20,0.054227,0.012104,0.0074
23,21,0.024508,0.011521,0.0531
24,0,-0.028413,0.010965,0.1957
24,1,-0.034382,0.011293,0.1974
24,2,0.03257,0.014098,0.0379
24,3,-0.019083,0.013581,0.1877
24,4,0.007795,0.014138,0.1251
24,5,0.015402,0.012469,0.0887
24,6,0.011472,0.014312,0.1107
24,7,-0.004333,0.010569,0.1558
24,8,-0.017015,0.015582,0.1878
24,9,0.003741,0.012192,0.129
24,10,0.007028,0.01302,0.1223
24,11,-9.4e-05,0.012503,0.148
24,12,0.003967,0.017628,0.1492
24,13,0.034295,0.011563,0.022
24,14,0.023956,0.011669,0.0511
24,15,0.015129,0.015992,0.1025
24,16,0.000287,0.009954,0.1415
24,17,0.025161,0.009913,0.0522
24,18,0.016345,0.014595,0.0924
24,19,0.043079,0.012773,0.015
24,20,0.016501,0.016908,0.1024
24,21,0.041514,0.016137,0.0273
24,22,0.027753,0.012432,0.0459
24,23,0.033366,0.013196,0.0371
25,0,0.024225,0.010455,0.0514
25,1,0.029196,0.01006,0.0375
25,2,0.001156,0.011483,0.1377
25,3,0.026204,0.011727,0.0506
25,4,0.030737,0.012301,0.0385
25,5,0.020869,0.010867,0.0666
25,6,-0.010841,0.012599,0.1721
25,7,-0.001673,0.010415,0.1457
25,8,0.018387,0.012625,0.0779
25,9,0.031784,0.012294,0.0378
25,10,-0.012481,0.010974,0.1759
25,11,0.000183,0.010245,0.1389
25,12,0.015654,0.015465,0.0973
25,13,-0.015635,0.009593,0.1756
25,14,-0.013126,0.011059,0.1799
25,15,0.077075,0.014134,0.0002
25,16,-0.030693,0.008676,0.1942
25,17,0.0029,0.009799,0.1224
25,18,0.015353,0.011455,0.0857
25,19,0.014052,0.010597,0.0885
25,20,0.015695,0.014984,0.0973
25,21,-0.028668,0.013148,0.1962
25,22,0.008088,0.010533,0.1103
25,23,0.023799,0.010792,0.0591
25,24,-0.005365,0.014478,0.1616
26,0,0.000801,0.006287,0.125
26,1,0.031289,0.006653,0.0244
26,2,0.019478,0.008573,0.0625
26,3,0.018755,0.009579,0.0692
26,4,0.02531,0.008455,0.0407
26,5,0.013792,0.008749,0.0819
26,6,0.023611,0.008754,0.0444
26,7,0.023703,0.006514,0.0375
26,8,0.025617,0.00981,0.0471
26,9,0.013943,0.009143,0.0814
26,10,0.046382,0.007777,0.0046
26,11,0.024218,0.006781,0.0348
26,12,0.046726,0.011391,0.0146
26,13,0.013927,0.007244,0.0786
26,14,0.011103,0.007113,0.0845
26,15,0.017005,0.00941,0.0712
26,16,-0.019122,0.005927,0.1866
26,17,0.002764,0.007111,0.114
26,19,0.026252,0.006558,0.0346
26,20,0.023485,0.010393,0.0506
26,21,0.010253,0.010052,0.0998
26,24,-0.001989,0.010704,0.1466
26,25,0.00647,0.010321,0.1126
27,0,0.033064,0.010516,0.0272
27,1,0.007585,0.009808,0.1119
27,2,0.052048,0.010301,0.0069
27,3,0.032005,0.010581,0.0382
27,4,-0.000358,0.010694,0.1385
27,5,0.008591,0.010405,0.1076
27,6,-0.010808,0.010909,0.1708
27,7,-0.018013,0.008595,0.1798
27,8,0.018093,0.012583,0.0797
27,9,0.017397,0.009944,0.0704
27,10,0.000747,0.0113,0.1372
27,11,0.004438,0.010939,0.1295
27,12,-0.044305,0.0137,0.199
27,13,0.035012,0.009021,0.0224
27,14,0.035226,0.009322,0.0221
27,15,-0.020533,0.012394,0.1847
27,17,0.000329,0.007966,0.1283
27,18,0.002592,0.010422,0.1266
