name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta_mu[1]	-0.702	0.00114	0.0868	-0.849	-0.697	-0.566	5760.0	3.01	1.0
theta_mu[2]	0.265	0.000755	0.0579	0.172	0.265	0.361	5883.0	3.07	1.0
theta_mu[3]	1.29	0.00351	0.233	0.992	1.25	1.72	4413.0	2.31	1.0
theta_mu[4]	1.0	0.00198	0.143	0.796	0.989	1.26	5217.0	2.73	1.0
theta_pr[1]	-0.444	0.00543	0.66	-1.55	-0.438	0.613	14781.0	7.73	1.0
theta_pr[2]	0.481	0.00542	0.68	-0.666	0.487	1.61	15741.0	8.23	1.0
theta_pr[3]	0.913	0.0056	0.693	-0.271	0.925	2.04	15328.0	8.01	1.0
theta_pr[4]	0.431	0.00584	0.698	-0.747	0.46	1.54	14278.0	7.46	1.0
theta_pr[5]	1.06	0.00501	0.661	-0.0559	1.07	2.12	17374.0	9.08	1.0
theta_pr[6]	0.78	0.00581	0.721	-0.402	0.787	1.95	15380.0	8.04	1.0
theta_pr[7]	0.00378	0.00553	0.683	-1.11	0.00869	1.12	15253.0	7.97	1.0
theta_pr[8]	-0.627	0.00484	0.625	-1.69	-0.611	0.389	16674.0	8.71	1.0
theta_pr[9]	-0.0375	0.00523	0.641	-1.12	-0.0288	0.992	15030.0	7.86	1.0
theta_pr[10]	-0.281	0.00642	0.783	-1.62	-0.241	0.966	14855.0	7.76	1.0
theta_pr[11]	1.32	0.0055	0.699	0.187	1.32	2.48	16132.0	8.43	1.0
theta_pr[12]	-0.323	0.00493	0.605	-1.33	-0.317	0.662	15081.0	7.88	1.0
theta_pr[13]	-0.156	0.00626	0.756	-1.44	-0.126	1.03	14588.0	7.62	1.0
theta_pr[14]	-0.126	0.00576	0.695	-1.31	-0.107	0.986	14536.0	7.6	1.0
theta_pr[15]	0.316	0.00541	0.681	-0.765	0.31	1.45	15809.0	8.26	1.0
theta_pr[16]	-0.00221	0.00622	0.783	-1.33	0.0139	1.26	15810.0	8.26	1.0
theta_pr[17]	-0.453	0.00477	0.611	-1.46	-0.442	0.533	16431.0	8.59	1.0
theta_pr[18]	-0.983	0.00614	0.725	-2.22	-0.959	0.17	13936.0	7.28	1.0
theta_pr[19]	-0.214	0.00518	0.65	-1.29	-0.21	0.83	15730.0	8.22	1.0
theta_pr[20]	-0.606	0.00587	0.733	-1.86	-0.565	0.536	15597.0	8.15	1.0
theta_pr[21]	0.441	0.00559	0.692	-0.711	0.448	1.58	15324.0	8.01	1.0
theta_pr[22]	-0.538	0.00462	0.608	-1.55	-0.531	0.445	17268.0	9.03	1.0
theta_pr[23]	1.67	0.00567	0.707	0.517	1.66	2.83	15557.0	8.13	1.0
theta_pr[24]	-0.631	0.00509	0.644	-1.72	-0.627	0.414	15986.0	8.36	1.0
theta_pr[25]	-0.825	0.00525	0.693	-2.0	-0.802	0.279	17439.0	9.11	1.0
theta_pr[26]	0.181	0.00518	0.643	-0.896	0.185	1.22	15418.0	8.06	1.0
theta_pr[27]	-0.257	0.00589	0.666	-1.39	-0.243	0.796	12799.0	6.69	1.0
theta_pr[28]	0.306	0.00542	0.661	-0.799	0.314	1.38	14862.0	7.77	1.0
theta_pr[29]	0.116	0.00506	0.636	-0.927	0.116	1.16	15812.0	8.26	1.0
theta_pr[30]	0.249	0.00511	0.66	-0.859	0.261	1.33	16681.0	8.72	1.0
theta_pr[31]	0.0513	0.00533	0.679	-1.08	0.0606	1.15	16209.0	8.47	1.0
theta_pr[32]	0.242	0.00604	0.74	-1.02	0.258	1.44	15017.0	7.85	1.0
theta_pr[33]	-0.927	0.00638	0.801	-2.27	-0.905	0.346	15753.0	8.23	1.0
theta_pr[34]	-0.313	0.00569	0.703	-1.5	-0.294	0.794	15250.0	7.97	1.0
theta_pr[35]	0.0281	0.00557	0.665	-1.06	0.0301	1.13	14259.0	7.45	1.0
theta_pr[36]	0.216	0.00538	0.671	-0.887	0.228	1.3	15563.0	8.13	1.0
theta_pr[37]	0.394	0.00531	0.64	-0.672	0.401	1.44	14536.0	7.6	1.0
theta_pr[38]	0.177	0.00506	0.635	-0.885	0.185	1.19	15728.0	8.22	1.0
theta_pr[39]	-0.505	0.00539	0.646	-1.61	-0.483	0.511	14378.0	7.52	1.0
theta_pr[40]	-0.474	0.00558	0.692	-1.64	-0.449	0.626	15371.0	8.03	1.0
theta_pr[41]	0.532	0.0057	0.682	-0.599	0.541	1.64	14325.0	7.49	1.0
theta_pr[42]	-0.0646	0.0048	0.628	-1.11	-0.056	0.938	17139.0	8.96	1.0
theta_pr[43]	-0.235	0.00505	0.636	-1.3	-0.228	0.822	15846.0	8.28	1.0
theta_pr[44]	-0.136	0.0056	0.686	-1.3	-0.111	0.929	15027.0	7.85	1.0
theta_pr[45]	-0.394	0.00606	0.709	-1.61	-0.377	0.742	13684.0	7.15	1.0
theta_pr[46]	0.534	0.00541	0.681	-0.602	0.542	1.65	15848.0	8.28	1.0
theta_pr[47]	0.392	0.00573	0.697	-0.78	0.406	1.53	14817.0	7.74	1.0
theta_pr[48]	-1.06	0.00523	0.657	-2.17	-1.03	0.00233	15794.0	8.26	1.0
theta_pr[49]	-0.866	0.00559	0.69	-2.04	-0.847	0.219	15242.0	7.97	1.0
theta_pr[50]	0.681	0.00589	0.729	-0.546	0.706	1.83	15332.0	8.01	1.0
theta_pr[51]	-0.233	0.00585	0.721	-1.45	-0.21	0.923	15199.0	7.94	1.0
theta_pr[52]	0.513	0.00598	0.754	-0.757	0.539	1.71	15882.0	8.3	1.0
theta_pr[53]	0.677	0.0057	0.677	-0.46	0.702	1.75	14089.0	7.36	1.0
theta_pr[54]	0.195	0.00537	0.659	-0.887	0.196	1.26	15049.0	7.87	1.0
theta_pr[55]	0.0124	0.00573	0.679	-1.12	0.0403	1.09	14030.0	7.33	1.0
theta_pr[56]	-0.609	0.0053	0.652	-1.69	-0.6	0.438	15109.0	7.9	1.0
theta_pr[57]	0.2	0.00535	0.673	-0.941	0.222	1.26	15834.0	8.28	1.0
theta_pr[58]	0.508	0.00531	0.646	-0.555	0.503	1.58	14793.0	7.73	1.0
theta_pr[59]	-0.525	0.00528	0.652	-1.61	-0.524	0.533	15254.0	7.97	1.0
theta_pr[60]	-0.475	0.00527	0.645	-1.57	-0.462	0.566	14931.0	7.8	1.0
theta_pr[61]	-0.216	0.00646	0.813	-1.59	-0.195	1.08	15840.0	8.28	1.0
theta_pr[62]	-0.115	0.00584	0.716	-1.31	-0.103	1.04	15007.0	7.84	1.0
theta_pr[63]	0.101	0.00695	0.885	-1.39	0.137	1.49	16200.0	8.47	1.0
theta_pr[64]	-0.225	0.00559	0.65	-1.31	-0.206	0.8	13532.0	7.07	1.0
theta_pr[65]	0.185	0.0073	0.88	-1.32	0.223	1.56	14505.0	7.58	1.0
theta_pr[66]	0.609	0.00556	0.661	-0.502	0.625	1.68	14160.0	7.4	1.0
theta_pr[67]	0.205	0.00523	0.663	-0.886	0.211	1.29	16091.0	8.41	1.0
theta_pr[68]	0.559	0.00563	0.666	-0.524	0.549	1.66	14011.0	7.32	1.0
theta_pr[69]	0.112	0.0053	0.623	-0.954	0.13	1.11	13845.0	7.24	1.0
theta_pr[70]	-0.0845	0.00628	0.799	-1.43	-0.0527	1.18	16160.0	8.45	1.0
theta_pr[71]	0.189	0.00595	0.74	-1.11	0.224	1.34	15450.0	8.08	1.0
theta_pr[72]	-0.301	0.00589	0.719	-1.53	-0.293	0.849	14906.0	7.79	1.0
theta_pr[73]	-1.46	0.00587	0.708	-2.65	-1.44	-0.322	14544.0	7.6	1.0
theta_pr[74]	-0.863	0.00517	0.651	-1.93	-0.865	0.194	15879.0	8.3	1.0
theta_pr[75]	-0.52	0.005	0.637	-1.58	-0.509	0.506	16222.0	8.48	1.0
theta_pr[76]	-0.466	0.00547	0.646	-1.57	-0.442	0.563	13935.0	7.28	1.0
theta_pr[77]	1.17	0.00548	0.702	0.0293	1.18	2.31	16432.0	8.59	1.0
theta_pr[78]	-0.821	0.0058	0.718	-2.03	-0.795	0.304	15321.0	8.01	1.0
theta_pr[79]	-0.636	0.00602	0.734	-1.89	-0.614	0.534	14866.0	7.77	1.0
theta_pr[80]	-0.367	0.00531	0.661	-1.49	-0.354	0.689	15516.0	8.11	1.0
theta_pr[81]	-0.318	0.0052	0.653	-1.42	-0.299	0.731	15774.0	8.24	1.0
theta_pr[82]	-0.55	0.00664	0.786	-1.88	-0.529	0.682	13994.0	7.31	1.0
theta_pr[83]	-0.222	0.00561	0.694	-1.38	-0.19	0.857	15267.0	7.98	1.0
theta_pr[84]	0.68	0.00549	0.701	-0.503	0.694	1.81	16317.0	8.53	1.0
theta_pr[85]	0.325	0.00625	0.776	-1.01	0.36	1.51	15398.0	8.05	1.0
theta_pr[86]	0.652	0.00544	0.698	-0.52	0.665	1.77	16481.0	8.61	1.0
theta_pr[87]	0.507	0.00542	0.655	-0.596	0.526	1.56	14636.0	7.65	1.0
theta_pr[88]	0.973	0.00588	0.728	-0.234	0.977	2.15	15338.0	8.02	1.0
theta_pr[89]	0.679	0.00543	0.664	-0.454	0.706	1.74	14983.0	7.83	1.0
theta_pr[90]	0.579	0.00529	0.669	-0.519	0.58	1.68	15979.0	8.35	1.0
theta_pr[91]	0.126	0.00574	0.691	-1.07	0.156	1.2	14503.0	7.58	1.0
theta_pr[92]	-0.214	0.00498	0.621	-1.26	-0.205	0.785	15561.0	8.13	1.0
theta_pr[93]	-0.753	0.00507	0.637	-1.82	-0.734	0.259	15781.0	8.25	1.0
theta_pr[94]	0.106	0.00575	0.69	-1.07	0.121	1.21	14378.0	7.51	1.0
theta_pr[95]	-0.317	0.00511	0.644	-1.4	-0.311	0.723	15850.0	8.28	1.0
theta_pr[96]	-0.376	0.00577	0.69	-1.56	-0.353	0.708	14315.0	7.48	1.0
theta_pr[97]	0.125	0.00515	0.628	-0.937	0.137	1.13	14900.0	7.79	1.0
theta_pr[98]	-0.342	0.00553	0.696	-1.49	-0.33	0.762	15831.0	8.27	1.0
theta_pr[99]	-0.191	0.00564	0.676	-1.32	-0.183	0.899	14392.0	7.52	1.0
theta_pr[100]	1.06	0.00535	0.661	-0.059	1.08	2.12	15266.0	7.98	1.0
theta_pr[101]	0.0905	0.00563	0.695	-1.09	0.118	1.19	15253.0	7.97	1.0
theta_pr[102]	-0.332	0.00545	0.676	-1.46	-0.325	0.765	15350.0	8.02	1.0
theta_pr[103]	-0.0746	0.00495	0.63	-1.14	-0.0661	0.953	16190.0	8.46	1.0
theta_pr[104]	-0.544	0.00573	0.695	-1.68	-0.526	0.571	14726.0	7.7	1.0
theta_pr[105]	-0.501	0.00563	0.697	-1.69	-0.474	0.61	15327.0	8.01	1.0
theta_pr[106]	1.03	0.00545	0.678	-0.0921	1.04	2.14	15459.0	8.08	1.0
theta_pr[107]	-0.0865	0.00684	0.859	-1.58	-0.0633	1.29	15776.0	8.25	1.0
theta_pr[108]	0.221	0.00572	0.689	-0.952	0.247	1.28	14475.0	7.57	1.0
theta_pr[109]	-0.061	0.00538	0.689	-1.22	-0.0496	1.04	16375.0	8.56	1.0
theta_pr[110]	0.745	0.00562	0.671	-0.367	0.747	1.84	14249.0	7.45	1.0
theta_pr[111]	-1.18	0.00581	0.714	-2.41	-1.15	-0.0676	15110.0	7.9	1.0
theta_pr[112]	1.1	0.00616	0.73	-0.122	1.12	2.27	14026.0	7.33	1.0
theta_pr[113]	0.624	0.00592	0.712	-0.596	0.647	1.74	14464.0	7.56	1.0
theta_pr[114]	0.267	0.00517	0.644	-0.802	0.273	1.29	15532.0	8.12	1.0
theta_pr[115]	1.34	0.00609	0.722	0.0873	1.37	2.46	14071.0	7.35	1.0
theta_pr[116]	0.294	0.00578	0.719	-0.93	0.309	1.45	15477.0	8.09	1.0
theta_pr[117]	0.449	0.00506	0.662	-0.665	0.462	1.53	17136.0	8.96	1.0
theta_pr[118]	-0.495	0.00536	0.655	-1.59	-0.478	0.552	14977.0	7.83	1.0
theta_pr[119]	-0.828	0.00622	0.716	-2.05	-0.794	0.284	13243.0	6.92	1.0
theta_pr[120]	-0.948	0.00533	0.656	-2.08	-0.939	0.0941	15195.0	7.94	1.0
