item,b0,b1,b2,b3,b4,f1,f2,p1,p2,fwe1,fwe2
6,2.488686,0.522521,-0.714288,-1.176934,-1.331456,7.361337,7.603453,0.006987,0.000584,0.333933,0.024595
10,1.199419,0.661214,-0.345037,0.563222,-0.222416,1.973143,3.383032,0.160936,0.034975,1.0,0.877425
11,1.043021,0.496658,-1.598002,-0.368523,0.078046,44.249496,1.349862,0.0,0.260607,0.0002,1.0
12,-0.096392,0.525264,-0.646338,-0.163683,0.163383,8.308778,0.727266,0.004176,0.48392,0.212158,1.0
13,0.18117,0.716943,-0.595279,0.798347,0.386914,6.928193,4.206765,0.008835,0.015603,0.410518,0.587682
14,0.51304,0.268357,-0.624186,-0.520441,-0.594993,8.684033,3.161549,0.003407,0.043471,0.171366,0.926615
15,1.842506,0.929607,-0.883177,-0.922279,-0.601699,12.79629,4.58423,0.000392,0.010786,0.019796,0.446911
16,3.196786,0.842874,-2.312831,0.332347,-0.854353,40.247828,5.829741,0.0,0.003222,0.0002,0.15197
17,0.931907,0.693365,-0.840398,-0.334333,-0.54334,13.852159,1.936547,0.000229,0.14566,0.009598,1.0
18,0.32075,0.717951,-1.123513,1.097696,0.824686,22.210591,8.020998,3e-06,0.000388,0.0002,0.016397
19,2.362809,0.973338,-2.242361,0.144974,-0.460428,56.282205,1.801729,0.0,0.166466,0.0002,1.0
20,1.520058,0.802509,0.635547,-0.950062,-0.672346,6.245447,4.571647,0.012863,0.010903,0.542691,0.45171
21,0.208415,0.616556,-0.294187,-0.261762,-0.492255,1.757727,1.672225,0.185742,0.189272,1.0,1.0
22,2.636118,0.693361,-1.525244,-0.50477,-0.493485,26.287607,1.380429,0.0,0.252773,0.0002,1.0
23,2.462539,0.743844,-1.697406,-0.309499,-0.113655,35.469981,0.485557,0.0,0.615723,0.0002,1.0
24,0.784363,0.726663,-1.110265,-1.447302,-0.151611,22.878199,13.826039,2e-06,2e-06,0.0002,0.0002
25,2.022258,0.764165,-0.497081,-0.292839,0.344977,2.888705,1.49922,0.090025,0.224629,0.997001,1.0
26,0.50752,0.353765,-1.185795,-1.585977,-0.94374,22.055387,13.453945,4e-06,2e-06,0.0002,0.0002
27,0.562082,0.8006,-0.625633,0.397574,0.090519,7.38524,1.016828,0.00689,0.362763,0.330934,1.0
28,0.626919,0.529247,-0.226739,0.555455,0.083881,0.955263,2.151731,0.329045,0.117788,1.0,0.9994
29,1.105548,0.752376,-0.548496,-0.490946,-0.396811,5.47022,1.669339,0.019888,0.189822,0.711058,1.0
30,1.375592,0.962981,-0.906749,0.025554,-0.245606,13.238229,0.5124,0.000313,0.599478,0.013597,1.0
31,1.077593,0.429224,-1.326387,0.376637,-0.07553,32.819584,1.500802,0.0,0.224291,0.0002,1.0
34,-0.240634,0.512067,-0.742981,1.242782,0.174047,10.499669,10.867475,0.001303,2.6e-05,0.062787,0.0008
35,0.583426,0.573231,-0.278434,-0.223189,-0.732539,1.704391,4.170153,0.19249,0.01615,1.0,0.59828
36,0.776964,0.378589,-0.865382,-0.368783,-0.479216,15.762894,1.775638,8.6e-05,0.170808,0.003799,1.0
37,-0.715846,0.257981,-0.538374,0.731007,0.633776,6.069465,4.188041,0.014202,0.015892,0.577485,0.592282
39,0.197527,0.490785,0.374941,-0.301006,0.114214,2.904028,1.30435,0.089207,0.272607,0.996601,1.0
40,0.9992,0.408275,-0.871572,-0.464979,-0.403967,15.258397,1.601183,0.000112,0.203099,0.004799,1.0
42,0.798066,0.741052,-0.460516,-0.726067,-0.377826,4.44288,3.594252,0.03569,0.028403,0.895821,0.811038
