item_id,item,n_elements,n_rules,distractor,shape_set,beta,alpha,gamma
1,6,1,3,md,1,-1.1,1.152,0.25
2,6,1,3,md,2,-0.186,1.106,0.25
3,6,1,3,md,3,-0.214,1.155,0.25
4,6,1,3,pd,1,-2.435,1.265,0.25
5,6,1,3,pd,2,-0.748,1.212,0.25
6,6,1,3,pd,3,-1.202,1.25,0.25
7,10,3,2,md,1,-0.514,1.025,0.25
8,10,3,2,md,2,-0.543,1.007,0.25
9,10,3,2,md,3,-0.205,0.996,0.25
10,10,3,2,pd,1,-1.013,1.105,0.25
11,10,3,2,pd,2,-1.669,1.086,0.25
12,10,3,2,pd,3,-0.595,1.108,0.25
13,11,1,3,md,1,1.611,1.198,0.25
14,11,1,3,md,2,2.506,1.148,0.25
15,11,1,3,md,3,1.454,1.184,0.25
16,11,1,3,pd,1,-0.314,1.295,0.25
17,11,1,3,pd,2,-0.47,1.299,0.25
18,11,1,3,pd,3,-0.176,1.289,0.25
19,12,2,4,md,1,2.044,1.174,0.25
20,12,2,4,md,2,2.81,1.181,0.25
21,12,2,4,md,3,2.134,1.206,0.25
22,12,2,4,pd,1,1.229,1.328,0.25
23,12,2,4,pd,2,1.387,1.292,0.25
24,12,2,4,pd,3,0.672,1.35,0.25
25,13,2,3,md,1,1.216,1.179,0.25
26,13,2,3,md,2,0.257,1.17,0.25
27,13,2,3,md,3,0.758,1.194,0.25
28,13,2,3,pd,1,0.203,1.275,0.25
29,13,2,3,pd,2,-0.368,1.298,0.25
30,13,2,3,pd,3,0.163,1.248,0.25
31,14,3,4,md,1,1.305,1.045,0.25
32,14,3,4,md,2,1.994,1.057,0.25
33,14,3,4,md,3,2.412,1.049,0.25
34,14,3,4,pd,1,0.782,1.155,0.25
35,14,3,4,pd,2,1.071,1.141,0.25
36,14,3,4,pd,3,0.872,1.164,0.25
37,15,2,3,md,1,-0.461,1.287,0.25
38,15,2,3,md,2,0.642,1.261,0.25
39,15,2,3,md,3,0.477,1.251,0.25
40,15,2,3,pd,1,-1.357,1.417,0.25
41,15,2,3,pd,2,-0.397,1.348,0.25
42,15,2,3,pd,3,-0.89,1.377,0.25
43,16,1,4,md,1,-0.825,1.299,0.25
44,16,1,4,md,2,-0.458,1.238,0.25
45,16,1,4,md,3,0.614,1.217,0.25
46,16,1,4,pd,1,-2.949,1.489,0.25
47,16,1,4,pd,2,-3.312,1.415,0.25
48,16,1,4,pd,3,-2.171,1.399,0.25
49,17,2,4,md,1,0.809,1.324,0.25
50,17,2,4,md,2,1.44,1.29,0.25
51,17,2,4,md,3,1.609,1.282,0.25
52,17,2,4,pd,1,-0.411,1.444,0.25
53,17,2,4,pd,2,-0.022,1.431,0.25
54,17,2,4,pd,3,0.277,1.443,0.25
55,18,4,3,md,1,1.638,1.076,0.25
56,18,4,3,md,2,0.769,1.113,0.25
57,18,4,3,md,3,0.827,1.105,0.25
58,18,4,3,pd,1,0.858,1.179,0.25
59,18,4,3,pd,2,-1.102,1.226,0.25
60,18,4,3,pd,3,-0.909,1.231,0.25
61,19,1,3,md,1,0.293,1.33,0.25
62,19,1,3,md,2,0.228,1.273,0.25
63,19,1,3,md,3,0.481,1.293,0.25
64,19,1,3,pd,1,-2.223,1.425,0.25
65,19,1,3,pd,2,-1.586,1.375,0.25
66,19,1,3,pd,3,-1.372,1.376,0.25
67,20,2,2,md,1,-1.606,1.225,0.25
68,20,2,2,md,2,-0.897,1.162,0.25
69,20,2,2,md,3,-0.782,1.202,0.25
70,20,2,2,pd,1,-1.443,1.301,0.25
71,20,2,2,pd,2,-0.074,1.269,0.25
72,20,2,2,pd,3,-0.964,1.296,0.25
73,21,3,6,md,1,1.225,1.503,0.25
74,21,3,6,md,2,1.93,1.503,0.25
75,21,3,6,md,3,1.828,1.527,0.25
76,21,3,6,pd,1,0.98,1.629,0.25
77,21,3,6,pd,2,1.344,1.601,0.25
78,21,3,6,pd,3,0.954,1.673,0.25
79,22,1,3,md,1,-0.833,1.27,0.25
80,22,1,3,md,2,-0.312,1.235,0.25
81,22,1,3,md,3,-0.17,1.252,0.25
82,22,1,3,pd,1,-2.567,1.382,0.25
83,22,1,3,pd,2,-1.683,1.329,0.25
84,22,1,3,pd,3,-2.2,1.362,0.25
85,23,1,4,md,1,-0.272,1.255,0.25
86,23,1,4,md,2,0.063,1.229,0.25
87,23,1,4,md,3,-0.129,1.241,0.25
88,23,1,4,pd,1,-2.326,1.379,0.25
89,23,1,4,pd,2,-1.794,1.346,0.25
90,23,1,4,pd,3,-1.998,1.379,0.25
91,24,3,5,md,1,1.797,1.388,0.25
92,24,3,5,md,2,2.79,1.403,0.25
93,24,3,5,md,3,2.099,1.379,0.25
94,24,3,5,pd,1,-0.055,1.533,0.25
95,24,3,5,pd,2,1.602,1.526,0.25
96,24,3,5,pd,3,0.053,1.527,0.25
97,25,1,2,md,1,-1.083,1.143,0.25
98,25,1,2,md,2,-1.21,1.159,0.25
99,25,1,2,md,3,-1.312,1.127,0.25
100,25,1,2,pd,1,-2.112,1.227,0.25
101,25,1,2,pd,2,-1.437,1.245,0.25
102,25,1,2,pd,3,-2.042,1.203,0.25
103,26,3,3,md,1,2.832,1.063,0.25
104,26,3,3,md,2,3.196,1.079,0.25
105,26,3,3,md,3,2.818,1.094,0.25
106,26,3,3,pd,1,0.63,1.159,0.25
107,26,3,3,pd,2,2.242,1.176,0.25
108,26,3,3,pd,3,2.019,1.167,0.25
109,27,2,3,md,1,1.168,1.187,0.25
110,27,2,3,md,2,0.288,1.202,0.25
111,27,2,3,md,3,0.678,1.196,0.25
112,27,2,3,pd,1,-0.109,1.331,0.25
113,27,2,3,pd,2,-0.382,1.32,0.25
114,27,2,3,pd,3,0.11,1.299,0.25
115,28,4,2,md,1,-0.041,0.972,0.25
116,28,4,2,md,2,-0.242,0.974,0.25
117,28,4,2,md,3,0.354,0.944,0.25
118,28,4,2,pd,1,0.013,1.032,0.25
119,28,4,2,pd,2,-0.889,1.047,0.25
120,28,4,2,pd,3,-0.519,1.059,0.25
121,29,2,6,md,1,1.029,1.486,0.25
122,29,2,6,md,2,0.665,1.54,0.25
123,29,2,6,md,3,0.6,1.571,0.25
124,29,2,6,pd,1,-0.73,1.652,0.25
125,29,2,6,pd,2,0.033,1.688,0.25
126,29,2,6,pd,3,-0.118,1.669,0.25
127,30,2,6,md,1,0.207,1.504,0.25
128,30,2,6,md,2,0.273,1.512,0.25
129,30,2,6,md,3,0.374,1.563,0.25
130,30,2,6,pd,1,-0.936,1.685,0.25
131,30,2,6,pd,2,-0.973,1.656,0.25
132,30,2,6,pd,3,-0.902,1.66,0.25
133,31,4,3,md,1,1.129,1.047,0.25
134,31,4,3,md,2,0.681,1.037,0.25
135,31,4,3,md,3,1.477,1.024,0.25
136,31,4,3,pd,1,-0.72,1.161,0.25
137,31,4,3,pd,2,-0.924,1.146,0.25
138,31,4,3,pd,3,-0.619,1.15,0.25
139,34,2,3,md,1,2.13,1.132,0.25
140,34,2,3,md,2,1.218,1.129,0.25
141,34,2,3,md,3,2.301,1.11,0.25
142,34,2,3,pd,1,1.372,1.23,0.25
143,34,2,3,pd,2,-0.717,1.264,0.25
144,34,2,3,pd,3,0.808,1.225,0.25
145,35,3,6,md,1,1.183,1.436,0.25
146,35,3,6,md,2,1.163,1.442,0.25
